source,target,ligand_complex,receptor_complex,consensus,cellphonedb,membership
Granulocyte precursor,T activated,S100A8,CD69,True,False,consensus
Granulocyte precursor,T activated,LGALS1,CD69,True,False,consensus
Granulocyte precursor,T proliferating,S100A8,ITGB2,True,False,consensus
Granulocyte precursor,T proliferating,S100A9,ITGB2,True,False,consensus
Granulocyte precursor,T proliferating,S100A8,CD69,True,False,consensus
Monocyte classical,B naive,S100A8,CD69,True,False,consensus
Monocyte classical,B naive,CXCL8,CD79A,True,False,consensus
Monocyte classical,CD4 T memory,S100A8,CD69,True,False,consensus
Monocyte classical,CD4 T naive,S100A8,CD69,True,False,consensus
Monocyte classical,CD8 T cytotoxic,S100A9,ITGB2,True,False,consensus
Monocyte classical,CD8 T cytotoxic,S100A8,ITGB2,True,False,consensus
Monocyte classical,CD8 T cytotoxic,S100A8,CD69,True,False,consensus
Monocyte classical,CD8 T memory,S100A8,CD69,True,False,consensus
Monocyte classical,CD8 T memory,S100A9,ITGB2,True,False,consensus
Monocyte classical,CD8 T memory,S100A8,ITGB2,True,False,consensus
Monocyte classical,CD8 T memory,LGALS1,CD69,True,False,consensus
Monocyte classical,Dendritic cell,S100A9,ITGB2,True,False,consensus
Monocyte classical,Dendritic cell,S100A8,ITGB2,True,False,consensus
Monocyte classical,Dendritic cell,S100A9,CD36,True,False,consensus
Monocyte classical,Dendritic cell,S100A8,CD36,True,False,consensus
Monocyte classical,Dendritic cell,S100A9,CD68,True,False,consensus
Monocyte classical,Dendritic cell,S100A8,CD68,True,False,consensus
Monocyte classical,Erythroid early,S100A9,CD36,True,False,consensus
Monocyte classical,Erythroid early,S100A8,CD36,True,False,consensus
Monocyte classical,Erythroid early,S100A12,CD36,True,False,consensus
Monocyte classical,Erythroid late,S100A9,CD36,True,False,consensus
Monocyte classical,Erythroid late,S100A8,CD36,True,False,consensus
Monocyte classical,Monocyte classical,S100A9,ITGB2,True,False,consensus
Monocyte classical,Monocyte classical,S100A8,ITGB2,True,False,consensus
Monocyte classical,Monocyte classical,S100A9,CD36,True,False,consensus
Monocyte classical,Monocyte classical,S100A8,CD36,True,False,consensus
Monocyte classical,Monocyte classical,S100A9,CD68,True,False,consensus
Monocyte classical,Monocyte classical,S100A8,CD68,True,False,consensus
Monocyte classical,Monocyte classical,S100A12,CD36,True,False,consensus
Monocyte classical,Monocyte non-classical,S100A9,CD68,True,False,consensus
Monocyte classical,Monocyte non-classical,S100A9,ITGB2,True,False,consensus
Monocyte classical,Monocyte non-classical,S100A8,CD68,True,False,consensus
Monocyte classical,Monocyte non-classical,S100A8,ITGB2,True,False,consensus
Monocyte classical,NK,S100A9,ITGB2,True,False,consensus
Monocyte classical,NK,B2M,KLRD1,True,False,consensus
Monocyte classical,NK,S100A8,ITGB2,True,False,consensus
Monocyte classical,NK,S100A8,CD69,True,False,consensus
Monocyte classical,NK,HLA-B,KLRD1,True,False,consensus
Monocyte classical,NK,B2M,KLRC1,True,False,consensus
Monocyte classical,Plasmacytoid DC,S100A9,CD68,True,False,consensus
Monocyte classical,Plasmacytoid DC,S100A8,CD68,True,False,consensus
Monocyte classical,Plasmacytoid DC,S100A9,CD36,True,False,consensus
Monocyte classical,Plasmacytoid DC,S100A8,CD36,True,False,consensus
Monocyte classical,Platelet,S100A9,CD68,True,False,consensus
Monocyte classical,Platelet,LGALS1,ITGB1,True,False,consensus
Monocyte classical,Platelet,S100A8,CD68,True,False,consensus
Monocyte classical,Platelet,S100A9,CD36,True,False,consensus
Monocyte classical,Platelet,S100A8,CD36,True,False,consensus
Monocyte classical,Pre-B small,S100A8,CD69,True,False,consensus
Monocyte classical,T activated,S100A8,CD69,True,False,consensus
Monocyte classical,T activated,LGALS1,CD69,True,False,consensus
Monocyte classical,T proliferating,S100A9,ITGB2,True,False,consensus
Monocyte classical,T proliferating,S100A8,ITGB2,True,False,consensus
Monocyte classical,T proliferating,S100A8,CD69,True,False,consensus
Monocyte non-classical,Monocyte non-classical,HLA-B,LILRB2,True,False,consensus
Monocyte non-classical,NK,B2M,KLRD1,True,False,consensus
Monocyte non-classical,NK,HLA-B,KLRD1,True,False,consensus
Monocyte non-classical,NK,B2M,KLRC1,True,False,consensus
NK,CD8 T memory,HLA-C,CD8A,True,False,consensus
NK,CD8 T memory,HLA-C,CD8B,True,False,consensus
NK,Dendritic cell,B2M,CD1C,True,False,consensus
NK,Monocyte non-classical,HLA-B,LILRB2,True,False,consensus
NK,Monocyte non-classical,HLA-C,LILRB2,True,False,consensus
NK,Monocyte non-classical,HLA-A,LILRB2,True,False,consensus
NK,NK,B2M,KLRD1,True,False,consensus
NK,NK,HLA-B,KLRD1,True,False,consensus
NK,NK,B2M,KLRC1,True,False,consensus
NK,NK,B2M,KLRC2,True,False,consensus
NK,T proliferating,HLA-B,CD8A,True,False,consensus
NK,T proliferating,HLA-C,CD8A,True,False,consensus
NK,T proliferating,HLA-A,CD8A,True,False,consensus
NK,T proliferating,HLA-C,CD8B,True,False,consensus
Plasmacytoid DC,Monocyte classical,APP,CD74,True,False,consensus
Plasmacytoid DC,NK,B2M,KLRD1,True,False,consensus
Plasmacytoid DC,NK,HLA-B,KLRD1,True,False,consensus
Plasmacytoid DC,NK,B2M,KLRC1,True,False,consensus
Platelet,Dendritic cell,B2M,CD1C,True,False,consensus
Platelet,NK,B2M,KLRD1,True,False,consensus
Platelet,NK,B2M,KLRC1,True,False,consensus
Platelet,NK,CLEC1B,KLRB1,True,False,consensus
Pre-B large,B naive,HMGB1,CXCR4,True,False,consensus
Pre-B large,CD8 T memory,HMGB1,CXCR4,True,False,consensus
Pre-B large,NK,B2M,KLRD1,True,False,consensus
Pre-B large,NK,HLA-B,KLRD1,True,False,consensus
Pre-B large,Pre-B large,HMGB1,CXCR4,True,False,consensus
Pre-B large,Pre-B small,HMGB1,CXCR4,True,False,consensus
Pre-B large,T activated,HMGB1,CXCR4,True,False,consensus
