,diffmap_pca_marker,diffmap_pca_diffusion,diffmap_scvi_marker,diffmap_scvi_diffusion
diffmap_pca_marker,1.0,1.0,0.8022530041227334,0.24097723915363664
diffmap_pca_diffusion,1.0,1.0,0.8022530041227334,0.24097723915363664
diffmap_scvi_marker,0.8022530041227334,0.8022530041227334,1.0,0.517149189138956
diffmap_scvi_diffusion,0.24097723915363664,0.24097723915363664,0.517149189138956,1.0
