program,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
program_18,Reactome,Hemostasis,30/162,3.197475054724064e-11,6.155139480343823e-09,5.774307507025291,139.5423458048131,F13A1;PRKAR2B;TUBB1;GP9;SPARC;PLEK;ESAM;ACTN1;MGLL;PF4;ACTB;TUBA1C;GP1BA;CLEC1B;GNG11;FERMT3;GP6;CLU;SELP;LY6G6F;ITGA2B;EHD3;TLN1;GATA1;PPBP;PDE5A;MMRN1;PRKG1;VWF;CD9
program_18,Reactome,Platelet Degranulation,15/48,2.9938588114187667e-09,2.881589105990563e-07,10.106048703849176,198.34841347550423,F13A1;ACTN1;PF4;FERMT3;PPBP;SELP;LY6G6F;SPARC;PLEK;MMRN1;CD9;VWF;ITGA2B;CLU;TLN1
program_18,Reactome,Response to Elevated Platelet Cytosolic Ca2+,15/48,2.9938588114187667e-09,2.881589105990563e-07,10.106048703849176,198.34841347550423,F13A1;ACTN1;PF4;FERMT3;PPBP;SELP;LY6G6F;SPARC;PLEK;MMRN1;CD9;VWF;ITGA2B;CLU;TLN1
program_18,Reactome,Smooth Muscle Contraction,8/13,3.102090843195246e-08,2.3886099492603393e-06,31.669287469287468,547.5177825047356,TPM1;PDE5A;TPM4;CALD1;MYL9;MYL6;MYLK;TLN1
program_18,Reactome,Cell Junction Organization,7/18,1.2822426565941588e-05,0.0007740399570557814,13.179493141129969,148.45796023483388,ACTN1;ACTB;PARVB;PARD3;RSU1;ILK;CLDN5
program_18,Reactome,Cell-extracellular Matrix Interactions,5/8,1.407345376465057e-05,0.0007740399570557814,31.222887060583396,348.7977480958761,ACTN1;ACTB;PARVB;RSU1;ILK
program_18,Reactome,Muscle Contraction,9/34,2.5194929158386356e-05,0.0012125059657473434,7.636237008464588,80.85910422989534,SCN1B;TPM1;TPM4;PDE5A;CALD1;MYL9;MYL6;MYLK;TLN1
program_18,Reactome,Cell-Cell Communication,7/20,2.8743058710520992e-05,0.0012295641781722869,11.215092097445039,117.27749945484948,ACTN1;ACTB;PARVB;PARD3;RSU1;ILK;CLDN5
program_18,Reactome,RUNX1 Regulates Genes Involved in Megakaryocyte Differentiation and Platelet Function,5/10,5.8417041398388034e-05,0.0022490560938379393,19.848167539267017,193.47801003340456,GP1BA;GATA1;PF4;MYL9;ITGA2B
program_18,Reactome,Regulation of Cytoskeletal Remodeling and Cell Spreading by IPP Complex Components,3/3,0.00012145712495887582,0.004250999373560654,136.44615384615383,1230.1915968597166,ACTN1;PARVB;RSU1
program_18,Reactome,Formation of Fibrin Clot (Clotting Cascade),5/12,0.00016937456268678434,0.005434100552867665,14.53996509598604,126.25630308220902,F13A1;GP1BA;PF4;GP9;VWF
program_18,Reactome,RHO GTPases Activate PAKs,4/7,0.00018358173699214837,0.005436843749382856,25.281273131014064,217.4910146228038,MYL9;MYL6;MYLK;CTTN
program_18,Reactome,Platelet Aggregation (Plug Formation),5/13,0.00026437215869098935,0.007270234364002207,12.82260548198337,105.63458268395748,GP1BA;GP9;VWF;ITGA2B;TLN1
program_18,Reactome,Defects of Contact Activation System (CAS) and Kallikrein Kinin System (KKS),3/4,0.00046812994031470557,0.01201533513474411,45.45811965811966,348.51670486576245,VWF;GP1BA;GP9
program_18,Reactome,Platelet Adhesion to Exposed Collagen,4/9,0.0006112327551588716,0.014707788171010348,16.071125765426284,118.92685667197536,VWF;GP1BA;GP9;GP6
program_18,Reactome,Neurotransmitter Receptors and Postsynaptic Signal Transmission,6/23,0.000678404859525028,0.015363874759831517,7.40302343159486,54.01072894657113,PRKAR2B;GNG11;TUBB1;ADCY6;TUBA1C;NRGN
program_18,Reactome,Defective Binding of VWF Variant to GPIb IX V,3/5,0.0011277809186320611,0.020675983508254454,27.26051282051282,185.03082252376865,VWF;GP1BA;GP9
program_18,Reactome,Defects of Platelet Adhesion to Exposed Collagen,3/5,0.0011277809186320611,0.020675983508254454,27.26051282051282,185.03082252376865,VWF;GP1BA;GP9
program_18,Reactome,Enhanced Binding of GP1BA Variant to VWF Multimer Collagen,3/5,0.0011277809186320611,0.020675983508254454,27.26051282051282,185.03082252376865,VWF;GP1BA;GP9
program_18,Reactome,Signaling by RAF1 Mutants,4/10,0.000979776564332527,0.020675983508254454,13.591470705460344,94.16423716799501,VWF;ACTB;ITGA2B;TLN1
program_18,Reactome,High Laminar Flow Shear Stress Activates Signaling by PIEZO1 and PECAM1 CDH5 KDR in Endothelial Cell,4/11,0.0014808691519670604,0.023755609312804928,11.773056994818653,76.70295088884967,PRKAR2B;GNG11;ADCY6;TLN1
