resource,method,position,source,target,ligand_complex,receptor_complex,score
consensus,SingleCellSignalR magnitude,89,T proliferating,CD8 T memory,HLA-B,CD3D,0.97055095
consensus,SingleCellSignalR magnitude,90,Pre-B small,NK,HLA-B,KLRD1,0.970455
consensus,SingleCellSignalR magnitude,91,Erythroid late,CD4 T memory,HMGB1,CXCR4,0.9703443
consensus,SingleCellSignalR magnitude,92,Granulocyte precursor,Pre-B large,HMGB1,CXCR4,0.9703159
consensus,SingleCellSignalR magnitude,93,T activated,CD4 T memory,HLA-B,CD3D,0.9702776
consensus,SingleCellSignalR magnitude,94,CD8 T cytotoxic,CD8 T cytotoxic,HLA-B,CD3D,0.9700873
consensus,SingleCellSignalR magnitude,95,HSPC,Pre-B small,HMGB1,CXCR4,0.9700582
consensus,SingleCellSignalR magnitude,96,HSPC,B naive,HMGB1,CXCR4,0.970045
consensus,SingleCellSignalR magnitude,97,T proliferating,CD4 T memory,HLA-B,CD3D,0.9699449
consensus,SingleCellSignalR magnitude,98,Dendritic cell,T proliferating,HLA-B,CD3D,0.9699448
consensus,SingleCellSignalR magnitude,99,Platelet,Pre-B small,HMGB1,CXCR4,0.9699214
consensus,SingleCellSignalR magnitude,100,Platelet,B naive,HMGB1,CXCR4,0.9699081
consensus,Merged magnitude,1,NK,NK,B2M,KLRD1,-3.3306343865505135e-08
consensus,Merged magnitude,2,CD8 T cytotoxic,NK,B2M,KLRD1,-2.997327557473985e-07
consensus,Merged magnitude,3,CD8 T memory,NK,B2M,KLRD1,-5.328366614628256e-07
consensus,Merged magnitude,4,CD4 T memory,NK,B2M,KLRD1,-1.1987851321402158e-06
consensus,Merged magnitude,5,T proliferating,NK,B2M,KLRD1,-1.6316136463023807e-06
consensus,Merged magnitude,6,Monocyte non-classical,NK,B2M,KLRD1,-2.131000830463268e-06
consensus,Merged magnitude,7,Pre-B large,CD8 T memory,HMGB1,CXCR4,-4.028433002098952e-06
consensus,Merged magnitude,8,Plasmacytoid DC,NK,B2M,KLRD1,-5.626032710486872e-06
consensus,Merged magnitude,9,Pre-B large,Pre-B large,HMGB1,CXCR4,-7.489671622450508e-06
consensus,Merged magnitude,10,CD4 T naive,NK,B2M,KLRD1,-1.201481221708865e-05
consensus,Merged magnitude,11,Monocyte classical,NK,S100A9,ITGB2,-1.467618205419323e-05
consensus,Merged magnitude,12,Platelet,NK,B2M,KLRD1,-1.6106540129232367e-05
consensus,Merged magnitude,13,Monocyte classical,NK,B2M,KLRD1,-1.760333536208794e-05
consensus,Merged magnitude,14,T activated,NK,B2M,KLRD1,-2.079620169890588e-05
consensus,Merged magnitude,15,Monocyte classical,NK,S100A8,ITGB2,-2.079620169890588e-05
consensus,Merged magnitude,16,Pre-B large,Pre-B small,HMGB1,CXCR4,-2.4254718897940013e-05
consensus,Merged magnitude,17,Pre-B large,B naive,HMGB1,CXCR4,-2.6083578089835124e-05
consensus,Merged magnitude,18,Monocyte classical,Erythroid early,S100A9,CD36,-2.6083578089835124e-05
consensus,Merged magnitude,19,Pre-B small,NK,B2M,KLRD1,-2.994045013362976e-05
consensus,Merged magnitude,20,Monocyte classical,Erythroid early,S100A8,CD36,-3.196845046574603e-05
consensus,Merged magnitude,21,Monocyte classical,T proliferating,S100A9,ITGB2,-3.4062815010160976e-05
consensus,Merged magnitude,22,Dendritic cell,NK,B2M,KLRD1,-3.622353566181191e-05
consensus,Merged magnitude,23,Monocyte classical,Dendritic cell,S100A9,ITGB2,-3.622353566181191e-05
consensus,Merged magnitude,24,B naive,NK,B2M,KLRD1,-4.074400396214294e-05
consensus,Merged magnitude,25,Monocyte classical,T proliferating,S100A8,ITGB2,-4.310374405127164e-05
consensus,Merged magnitude,26,Pre-B large,T activated,HMGB1,CXCR4,-4.310374405127164e-05
consensus,Merged magnitude,27,Pre-B large,T proliferating,HMGB1,CXCR4,-5.320586022732163e-05
consensus,Merged magnitude,28,Monocyte classical,Dendritic cell,S100A8,ITGB2,-5.320586022732163e-05
consensus,Merged magnitude,29,Monocyte classical,T activated,S100A8,CD69,-5.8654687655436206e-05
consensus,Merged magnitude,30,Pre-B large,CD4 T memory,HMGB1,CXCR4,-7.659153025593097e-05
consensus,Merged magnitude,31,Erythroid early,CD8 T memory,HMGB1,CXCR4,-9.691252116256338e-05
consensus,Merged magnitude,32,Monocyte classical,CD8 T memory,S100A8,CD69,-0.0001360742025619
consensus,Merged magnitude,33,Erythroid early,Pre-B large,HMGB1,CXCR4,-0.0001446999618929
consensus,Merged magnitude,34,Erythroid late,CD8 T memory,HMGB1,CXCR4,-0.0001491119494014
consensus,Merged magnitude,35,Plasmacytoid DC,Dendritic cell,APP,CD74,-0.0001581341671231
consensus,Merged magnitude,36,Plasmacytoid DC,B naive,APP,CD74,-0.0001674206097251
consensus,Merged magnitude,37,Monocyte classical,Monocyte non-classical,S100A9,CD68,-0.0001867858721397
consensus,Merged magnitude,38,Pre-B large,NK,B2M,KLRD1,-0.0001867858721397
consensus,Merged magnitude,39,Monocyte classical,Monocyte non-classical,S100A9,ITGB2,-0.0001917922552793
consensus,Merged magnitude,40,CD8 T cytotoxic,T proliferating,HLA-B,CD3D,-0.0002020029738387
consensus,Merged magnitude,41,Plasmacytoid DC,Plasmacytoid DC,APP,CD74,-0.0002020029738387
consensus,Merged magnitude,42,Erythroid late,Pre-B large,HMGB1,CXCR4,-0.0002232161038078
consensus,Merged magnitude,43,CD8 T cytotoxic,NK,HLA-B,KLRD1,-0.000234218426131
consensus,Merged magnitude,44,Monocyte classical,Monocyte non-classical,S100A8,CD68,-0.0002398185148706
consensus,Merged magnitude,45,Monocyte classical,Monocyte non-classical,S100A8,ITGB2,-0.0002454844870312
consensus,Merged magnitude,46,T proliferating,CD8 T memory,HMGB1,CXCR4,-0.0002512163771214
consensus,Merged magnitude,47,CD8 T memory,T proliferating,HLA-B,CD3D,-0.0002688075652007
consensus,Merged magnitude,48,Pre-B large,CD8 T cytotoxic,HMGB1,CXCR4,-0.0002931847719349
consensus,Merged magnitude,49,CD8 T memory,NK,HLA-B,KLRD1,-0.0002994437633562
consensus,Merged magnitude,50,NK,T proliferating,HLA-B,CD3D,-0.0003251379573848
consensus,Merged magnitude,51,T proliferating,Pre-B large,HMGB1,CXCR4,-0.0003317260962064
consensus,Merged magnitude,52,NK,NK,HLA-B,KLRD1,-0.0003450997304575
consensus,Merged magnitude,53,Monocyte classical,T proliferating,S100A8,CD69,-0.0003518852086695
consensus,Merged magnitude,54,HSPC,NK,B2M,KLRD1,-0.000365653550621
consensus,Merged magnitude,55,Monocyte classical,CD8 T cytotoxic,S100A9,ITGB2,-0.0004012251134694
consensus,Merged magnitude,56,Erythroid early,Pre-B small,HMGB1,CXCR4,-0.0004012251134694
consensus,Merged magnitude,57,Erythroid early,B naive,HMGB1,CXCR4,-0.0004085366636263
consensus,Merged magnitude,58,Granulocyte precursor,NK,B2M,KLRD1,-0.0004460798207716
consensus,Merged magnitude,59,Monocyte classical,CD8 T cytotoxic,S100A8,ITGB2,-0.0004460798207716
consensus,Merged magnitude,60,T activated,T proliferating,HLA-B,CD3D,-0.0004615568188478
consensus,Merged magnitude,61,CD8 T cytotoxic,CD8 T memory,HLA-B,CD3D,-0.0004693938700331
consensus,Merged magnitude,62,T activated,NK,HLA-B,KLRD1,-0.0005013983839205
consensus,Merged magnitude,63,Plasmacytoid DC,Pre-B small,APP,CD74,-0.0005260907605689
consensus,Merged magnitude,64,Pre-B large,CD4 T naive,HMGB1,CXCR4,-0.0005428803504184
consensus,Merged magnitude,65,Erythroid early,Erythroid early,GDF11,BMPR2,-0.0005474785671549
consensus,Merged magnitude,66,Erythroid late,Pre-B small,HMGB1,CXCR4,-0.0005599321865907
consensus,Merged magnitude,67,Erythroid late,B naive,HMGB1,CXCR4,-0.0005772464015373
consensus,Merged magnitude,68,T proliferating,T proliferating,HLA-B,CD3D,-0.0006037091629229
consensus,Merged magnitude,69,CD8 T cytotoxic,CD4 T memory,HLA-B,CD3D,-0.0006216785767669
consensus,Merged magnitude,70,Erythroid early,T activated,HMGB1,CXCR4,-0.0006771588133006
consensus,Merged magnitude,71,CD8 T memory,CD8 T memory,HLA-B,CD3D,-0.0007057828483217
consensus,Merged magnitude,72,NK,CD8 T cytotoxic,B2M,KLRD1,-0.0007057828483217
consensus,Merged magnitude,73,T proliferating,NK,HLA-B,KLRD1,-0.0007154549208256
consensus,Merged magnitude,74,Pre-B large,Dendritic cell,HMGB1,CXCR4,-0.0007251925654272
consensus,Merged magnitude,75,NK,CD8 T memory,HLA-B,CD3D,-0.000744863944212
consensus,Merged magnitude,76,Erythroid early,T proliferating,HMGB1,CXCR4,-0.0008054477174088
consensus,Merged magnitude,77,CD8 T memory,CD4 T memory,HLA-B,CD3D,-0.000815773657433
consensus,Merged magnitude,78,CD8 T cytotoxic,CD8 T cytotoxic,B2M,KLRD1,-0.0008366218749663
consensus,Merged magnitude,79,Erythroid late,T activated,HMGB1,CXCR4,-0.0008683839719076
consensus,Merged magnitude,80,Pre-B large,NK,HMGB1,CXCR4,-0.0008791020077885
consensus,Merged magnitude,81,T proliferating,Pre-B small,HMGB1,CXCR4,-0.0008898851729319
consensus,Merged magnitude,82,CD8 T cytotoxic,CD8 T cytotoxic,HLA-B,CD3D,-0.000900733789397
consensus,Merged magnitude,83,T proliferating,B naive,HMGB1,CXCR4,-0.0009116476844964
consensus,Merged magnitude,84,CD8 T memory,CD8 T cytotoxic,B2M,KLRD1,-0.0009226266815452
consensus,Merged magnitude,85,NK,CD4 T memory,HLA-B,CD3D,-0.0009671957106765
consensus,Merged magnitude,86,Monocyte classical,Plasmacytoid DC,S100A9,CD68,-0.0009785011053761
consensus,Merged magnitude,87,T activated,CD8 T memory,HLA-B,CD3D,-0.0009785011053761
consensus,Merged magnitude,88,Monocyte classical,CD4 T memory,S100A8,CD69,-0.0009898717219741
consensus,Merged magnitude,89,Erythroid late,T proliferating,HMGB1,CXCR4,-0.0010477024906351
consensus,Merged magnitude,90,HSPC,CD8 T memory,HMGB1,CXCR4,-0.00105946426642
consensus,Merged magnitude,91,Pre-B large,Plasmacytoid DC,HMGB1,CXCR4,-0.0010712912073674
consensus,Merged magnitude,92,Erythroid early,Erythroid early,TCTN1,TMEM67,-0.001094890522973
consensus,Merged magnitude,93,T activated,CD4 T memory,HLA-B,CD3D,-0.001095140368777
consensus,Merged magnitude,94,CD4 T memory,CD8 T cytotoxic,B2M,KLRD1,-0.001107162755584
consensus,Merged magnitude,95,Platelet,CD8 T memory,HMGB1,CXCR4,-0.0011192502751331
consensus,Merged magnitude,96,T proliferating,CD8 T cytotoxic,B2M,KLRD1,-0.0011314027327757
consensus,Merged magnitude,97,Monocyte non-classical,T proliferating,HLA-B,CD3D,-0.0011436204924966
consensus,Merged magnitude,98,CD8 T memory,CD8 T cytotoxic,HLA-B,CD3D,-0.0011559033606443
consensus,Merged magnitude,99,T proliferating,CD8 T memory,HLA-B,CD3D,-0.0011682511395801
consensus,Merged magnitude,100,CD8 T cytotoxic,CD4 T naive,HLA-B,CD3D,-0.0011806641992693
consensus,CellPhoneDB specificity,1,B naive,B naive,FAM3C,LAMP1,-0.0
consensus,CellPhoneDB specificity,2,NK,NK,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,3,CD8 T cytotoxic,NK,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,4,CD8 T memory,NK,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,5,CD4 T memory,NK,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,6,T proliferating,NK,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,7,B naive,CD8 T memory,FAM3C,LAMP1,-0.0
consensus,CellPhoneDB specificity,8,B naive,Dendritic cell,CD47,SIRPA,-0.0
consensus,CellPhoneDB specificity,9,B naive,Dendritic cell,GNAS,ADCY7,-0.0
consensus,CellPhoneDB specificity,10,B naive,Dendritic cell,HLA-DOB,CD4,-0.0
consensus,CellPhoneDB specificity,11,B naive,Dendritic cell,IL16,CD4,-0.0
consensus,CellPhoneDB specificity,12,B naive,Dendritic cell,LGALS9,HAVCR2,-0.0
consensus,CellPhoneDB specificity,13,Pre-B large,NK,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,14,Monocyte classical,Monocyte non-classical,S100A9,CD68,-0.0
consensus,CellPhoneDB specificity,15,Plasmacytoid DC,B naive,APP,CD74,-0.0
consensus,CellPhoneDB specificity,16,Plasmacytoid DC,Dendritic cell,APP,CD74,-0.0
consensus,CellPhoneDB specificity,17,Erythroid late,CD8 T memory,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,18,Erythroid early,Pre-B large,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,19,Monocyte classical,CD8 T memory,S100A8,CD69,-0.0
consensus,CellPhoneDB specificity,20,Erythroid early,CD8 T memory,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,21,Pre-B large,CD4 T memory,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,22,Monocyte classical,T activated,S100A8,CD69,-0.0
consensus,CellPhoneDB specificity,23,Monocyte classical,Dendritic cell,S100A8,ITGB2,-0.0
consensus,CellPhoneDB specificity,24,Pre-B large,T proliferating,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,25,Pre-B large,T activated,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,26,Monocyte classical,T proliferating,S100A8,ITGB2,-0.0
consensus,CellPhoneDB specificity,27,B naive,NK,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,28,Monocyte classical,Dendritic cell,S100A9,ITGB2,-0.0
consensus,CellPhoneDB specificity,29,HSPC,NK,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,30,Monocyte classical,T proliferating,S100A8,CD69,-0.0
consensus,CellPhoneDB specificity,31,NK,NK,HLA-B,KLRD1,-0.0
consensus,CellPhoneDB specificity,32,T proliferating,Pre-B large,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,33,NK,T proliferating,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,34,CD8 T memory,NK,HLA-B,KLRD1,-0.0
consensus,CellPhoneDB specificity,35,Pre-B large,CD8 T cytotoxic,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,36,CD8 T memory,T proliferating,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,37,T proliferating,CD8 T memory,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,38,Monocyte classical,Monocyte non-classical,S100A8,ITGB2,-0.0
consensus,CellPhoneDB specificity,39,Monocyte classical,Monocyte non-classical,S100A8,CD68,-0.0
consensus,CellPhoneDB specificity,40,CD8 T cytotoxic,NK,HLA-B,KLRD1,-0.0
consensus,CellPhoneDB specificity,41,Erythroid late,Pre-B large,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,42,Plasmacytoid DC,Plasmacytoid DC,APP,CD74,-0.0
consensus,CellPhoneDB specificity,43,CD8 T cytotoxic,T proliferating,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,44,Monocyte classical,Monocyte non-classical,S100A9,ITGB2,-0.0
consensus,CellPhoneDB specificity,45,Erythroid early,T activated,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,46,CD8 T cytotoxic,CD4 T memory,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,47,T proliferating,T proliferating,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,48,Erythroid late,B naive,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,49,Erythroid late,Pre-B small,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,50,Erythroid early,Erythroid early,GDF11,BMPR2,-0.0
consensus,CellPhoneDB specificity,51,Pre-B large,CD4 T naive,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,52,Plasmacytoid DC,Pre-B small,APP,CD74,-0.0
consensus,CellPhoneDB specificity,53,T activated,NK,HLA-B,KLRD1,-0.0
consensus,CellPhoneDB specificity,54,CD8 T cytotoxic,CD8 T memory,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,55,T activated,T proliferating,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,56,Monocyte classical,CD8 T cytotoxic,S100A8,ITGB2,-0.0
consensus,CellPhoneDB specificity,57,Granulocyte precursor,NK,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,58,Erythroid early,B naive,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,59,Erythroid early,Pre-B small,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,60,Monocyte classical,CD8 T cytotoxic,S100A9,ITGB2,-0.0
consensus,CellPhoneDB specificity,61,Monocyte classical,Plasmacytoid DC,S100A9,CD68,-0.0
consensus,CellPhoneDB specificity,62,NK,CD4 T memory,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,63,CD8 T memory,CD8 T cytotoxic,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,64,T proliferating,B naive,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,65,CD8 T cytotoxic,CD8 T cytotoxic,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,66,T proliferating,Pre-B small,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,67,Pre-B large,NK,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,68,Erythroid late,T activated,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,69,CD8 T cytotoxic,CD8 T cytotoxic,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,70,CD8 T memory,CD4 T memory,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,71,Erythroid early,T proliferating,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,72,NK,CD8 T memory,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,73,Pre-B large,Dendritic cell,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,74,T proliferating,NK,HLA-B,KLRD1,-0.0
consensus,CellPhoneDB specificity,75,NK,CD8 T cytotoxic,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,76,CD8 T memory,CD8 T memory,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,77,Erythroid early,CD4 T memory,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,78,Monocyte classical,Plasmacytoid DC,S100A8,CD68,-0.0
consensus,CellPhoneDB specificity,79,CD8 T cytotoxic,CD4 T naive,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,80,T proliferating,CD8 T memory,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,81,CD8 T memory,CD8 T cytotoxic,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,82,Monocyte non-classical,T proliferating,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,83,T proliferating,CD8 T cytotoxic,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,84,Platelet,CD8 T memory,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,85,CD4 T memory,CD8 T cytotoxic,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,86,T activated,CD4 T memory,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,87,Erythroid early,Erythroid early,TCTN1,TMEM67,-0.0
consensus,CellPhoneDB specificity,88,Pre-B large,Plasmacytoid DC,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,89,HSPC,CD8 T memory,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,90,Erythroid late,T proliferating,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,91,Monocyte classical,CD4 T memory,S100A8,CD69,-0.0
consensus,CellPhoneDB specificity,92,T activated,CD8 T memory,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,93,Pre-B small,T proliferating,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,94,T activated,CD8 T cytotoxic,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,95,Plasmacytoid DC,CD8 T cytotoxic,B2M,KLRD1,-0.0
consensus,CellPhoneDB specificity,96,Erythroid late,CD4 T memory,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,97,CD8 T memory,CD4 T naive,HLA-B,CD3D,-0.0
consensus,CellPhoneDB specificity,98,T proliferating,T proliferating,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,99,Platelet,Pre-B large,HMGB1,CXCR4,-0.0
consensus,CellPhoneDB specificity,100,T proliferating,CD4 T memory,HLA-B,CD3D,-0.0
consensus,NATMI specificity,1,Dendritic cell,Platelet,FBLN2,ITGB3,0.6670875
consensus,NATMI specificity,2,Erythroid early,Platelet,TGM2,ITGB3,0.6355808
consensus,NATMI specificity,3,Platelet,Dendritic cell,PROS1,AXL,0.6087818
consensus,NATMI specificity,4,Erythroid early,Platelet,TNXB,ITGA2B_ITGB3,0.60790133
consensus,NATMI specificity,5,HSPC,Platelet,CD34,SELP,0.60352486
consensus,NATMI specificity,6,Erythroid early,Platelet,TGM2,TBXA2R,0.54726297
consensus,NATMI specificity,7,Platelet,Erythroid early,PPBP,ACKR1,0.5418446
consensus,NATMI specificity,8,Platelet,Erythroid early,PF4,ACKR1,0.5389686
consensus,NATMI specificity,9,Dendritic cell,Plasmacytoid DC,EFNB1,EPHB1,0.48147058
consensus,NATMI specificity,10,Platelet,Platelet,LTBP1,ITGB5,0.4383221
consensus,NATMI specificity,11,Monocyte classical,Platelet,VCAN,SELP,0.43692514
consensus,NATMI specificity,12,Platelet,CD4 T memory,TNFSF4,TNFRSF4,0.4290966
consensus,NATMI specificity,13,Pre-B large,Platelet,CD24,SELP,0.41365924
consensus,NATMI specificity,14,Erythroid early,Platelet,ICAM4,ITGB3,0.40507427
consensus,NATMI specificity,15,T proliferating,Plasmacytoid DC,CD70,TNFRSF17,0.3916849
consensus,NATMI specificity,16,Erythroid early,Platelet,COL18A1,ITGB3,0.39124742
consensus,NATMI specificity,17,Monocyte non-classical,Monocyte classical,C1QA,CD93,0.37919602
consensus,NATMI specificity,18,Plasmacytoid DC,Dendritic cell,GAS6,AXL,0.37607816
consensus,NATMI specificity,19,Monocyte classical,Platelet,THBS1,ITGA2B_ITGB3,0.36567593
consensus,NATMI specificity,20,Pre-B small,Platelet,CD24,SELP,0.35931635
consensus,NATMI specificity,21,Erythroid early,Platelet,COL18A1,ITGB5,0.3561411
consensus,NATMI specificity,22,Platelet,Monocyte non-classical,PF4,LRP1,0.34745836
consensus,NATMI specificity,23,Platelet,NK,CLEC1B,KLRB1,0.33831498
consensus,NATMI specificity,24,Platelet,T proliferating,PF4,CXCR3,0.33457825
consensus,NATMI specificity,25,Erythroid early,Plasmacytoid DC,COL18A1,PTPRS,0.322701
consensus,NATMI specificity,26,Erythroid early,Erythroid early,ICAM4,RHAG,0.31838414
consensus,NATMI specificity,27,Monocyte non-classical,Dendritic cell,C1QA,CD33,0.31732956
consensus,NATMI specificity,28,Platelet,Monocyte classical,PF4,LRP1,0.31494406
consensus,NATMI specificity,29,Plasmacytoid DC,Monocyte classical,PROC,ITGAM,0.30771768
consensus,NATMI specificity,30,Platelet,Dendritic cell,PF4,THBD,0.30680117
consensus,NATMI specificity,31,Erythroid early,Monocyte non-classical,ERFE,LRP1,0.30482566
consensus,NATMI specificity,32,Erythroid early,Platelet,ICAM4,ITGA2B,0.303946
consensus,NATMI specificity,33,Platelet,Erythroid early,SPARC,ENG,0.3018498
consensus,NATMI specificity,34,Erythroid early,Platelet,LTBP1,ITGB5,0.30137068
consensus,NATMI specificity,35,Plasmacytoid DC,Dendritic cell,PROC,THBD,0.29017788
consensus,NATMI specificity,36,B naive,Monocyte non-classical,FCER2,ITGAX_ITGB2,0.28088117
consensus,NATMI specificity,37,Dendritic cell,Erythroid early,EFNB1,EPHB4,0.28082708
consensus,NATMI specificity,38,Monocyte classical,Erythroid early,CXCL8,ACKR1,0.2786621
consensus,NATMI specificity,39,Erythroid early,Monocyte classical,ERFE,LRP1,0.27630085
consensus,NATMI specificity,40,CD4 T memory,Platelet,CD40LG,ITGA2B_ITGB3,0.2704328
consensus,NATMI specificity,41,B naive,Monocyte classical,FCER2,ITGAM_ITGB2,0.2692989
consensus,NATMI specificity,42,Platelet,Monocyte classical,GP1BA,ITGAM_ITGB2,0.26574746
consensus,NATMI specificity,43,HSPC,Platelet,SERPING1,SELP,0.26525712
consensus,NATMI specificity,44,Platelet,Platelet,VCL,ITGB5,0.2634726
consensus,NATMI specificity,45,Pre-B large,Monocyte non-classical,CD24,SIGLEC10,0.25710106
consensus,NATMI specificity,46,Platelet,Platelet,TLN1,ITGB3,0.25419903
consensus,NATMI specificity,47,Plasmacytoid DC,Erythroid early,ASIP,ATRN,0.24788556
consensus,NATMI specificity,48,Pre-B large,Platelet,MFGE8,ITGB3,0.24080268
consensus,NATMI specificity,49,Erythroid early,NK,TGM2,ADGRG1,0.23630731
consensus,NATMI specificity,50,Platelet,Platelet,TLN1,ITGB5,0.23138995
consensus,NATMI specificity,51,Monocyte non-classical,Platelet,ADM,RAMP1,0.22862296
consensus,NATMI specificity,52,Platelet,Plasmacytoid DC,PF4,CXCR3,0.22504991
consensus,NATMI specificity,53,Monocyte non-classical,Erythroid early,CXCL2,ACKR1,0.22416672
consensus,NATMI specificity,54,Pre-B small,Monocyte non-classical,CD24,SIGLEC10,0.22332539
consensus,NATMI specificity,55,NK,Monocyte classical,SPON2,ITGAM,0.22236644
consensus,NATMI specificity,56,Monocyte classical,Monocyte non-classical,S100A12,TLR4,0.22189257
consensus,NATMI specificity,57,Pre-B large,Platelet,MFGE8,ITGB5,0.21919565
consensus,NATMI specificity,58,Erythroid early,Dendritic cell,IL15RA,AXL,0.21807908
consensus,NATMI specificity,59,Dendritic cell,Monocyte non-classical,CD1D,LILRB2,0.20893484
consensus,NATMI specificity,60,Dendritic cell,Platelet,ADAM15,ITGB3,0.20779158
consensus,NATMI specificity,61,Monocyte classical,Monocyte non-classical,CD14,TLR4,0.2073116
consensus,NATMI specificity,62,Platelet,Platelet,THBS1,ITGA2B_ITGB3,0.206325
consensus,NATMI specificity,63,B naive,Dendritic cell,FCER2,ITGAX_ITGB2,0.20342667
consensus,NATMI specificity,64,Plasmacytoid DC,Plasmacytoid DC,APP,TNFRSF21,0.20191374
consensus,NATMI specificity,65,Dendritic cell,Plasmacytoid DC,SPINT1,ST14,0.20118336
consensus,NATMI specificity,66,T proliferating,Platelet,IL32,ITGB3,0.19876789
consensus,NATMI specificity,67,Granulocyte precursor,Monocyte non-classical,RETN,TLR4,0.1959414
consensus,NATMI specificity,68,Erythroid early,Erythroid early,CDH1,LRP5,0.19253264
consensus,NATMI specificity,69,Monocyte classical,Erythroid early,S100A12,CD36,0.19246165
consensus,NATMI specificity,70,Granulocyte precursor,Platelet,ADAM15,ITGB3,0.19152604
consensus,NATMI specificity,71,Monocyte non-classical,Monocyte non-classical,SERPINA1,LRP1,0.18227887
consensus,NATMI specificity,72,Dendritic cell,Monocyte non-classical,SEMA4A,LILRB2,0.18099388
consensus,NATMI specificity,73,Granulocyte precursor,Platelet,VCAN,SELP,0.17988174
consensus,NATMI specificity,74,HSPC,T proliferating,AVP,LDLR,0.17644386
consensus,NATMI specificity,75,Plasmacytoid DC,Platelet,SELPLG,ESAM,0.17563342
consensus,NATMI specificity,76,Erythroid early,CD8 T cytotoxic,CDH1,KLRG1,0.1749516
consensus,NATMI specificity,77,Monocyte classical,B naive,CXCL8,CD79A,0.17459401
consensus,NATMI specificity,78,Dendritic cell,Erythroid early,JAML,CXADR,0.17424957
consensus,NATMI specificity,79,Erythroid early,Dendritic cell,CXADR,JAML,0.17424957
