resource,method,position,source,target,ligand_complex,receptor_complex,score
consensus,CellPhoneDB magnitude,65,Monocyte classical,Monocyte classical,S100A8,CD36,2.9637516
consensus,CellPhoneDB magnitude,66,Erythroid early,Pre-B large,HMGB1,CXCR4,2.9568093
consensus,CellPhoneDB magnitude,67,Erythroid late,CD8 T memory,HMGB1,CXCR4,2.9504642
consensus,CellPhoneDB magnitude,68,CD8 T cytotoxic,CD8 T memory,B2M,KLRD1,2.9490993
consensus,CellPhoneDB magnitude,69,Monocyte classical,B naive,S100A8,CD69,2.9490006
consensus,CellPhoneDB magnitude,70,Monocyte classical,Monocyte classical,S100A8,CD68,2.9397876
consensus,CellPhoneDB magnitude,71,CD8 T memory,T proliferating,B2M,KLRD1,2.937791
consensus,CellPhoneDB magnitude,72,CD8 T memory,NK,B2M,KLRC1,2.9373703
consensus,CellPhoneDB magnitude,73,Monocyte classical,Granulocyte precursor,S100A9,ITGB2,2.929707
consensus,CellPhoneDB magnitude,74,CD8 T cytotoxic,Dendritic cell,B2M,CD1C,2.9237447
consensus,CellPhoneDB magnitude,75,Pre-B large,NK,B2M,KLRD1,2.9233313
consensus,CellPhoneDB magnitude,76,Monocyte classical,Platelet,S100A9,CD68,2.9159577
consensus,CellPhoneDB magnitude,77,Monocyte classical,Erythroid late,S100A8,CD36,2.915804
consensus,CellPhoneDB magnitude,78,CD8 T cytotoxic,T proliferating,HLA-B,CD3D,2.9141488
consensus,CellPhoneDB magnitude,79,Monocyte classical,NK,S100A8,CD69,2.9119055
consensus,CellPhoneDB magnitude,80,CD8 T memory,CD8 T memory,B2M,KLRD1,2.9097292
consensus,CellPhoneDB magnitude,81,Monocyte classical,CD4 T memory,S100A9,ITGB2,2.9083312
consensus,CellPhoneDB magnitude,82,Erythroid late,Pre-B large,HMGB1,CXCR4,2.9082236
consensus,CellPhoneDB magnitude,83,Monocyte non-classical,CD8 T cytotoxic,B2M,KLRD1,2.903677
consensus,CellPhoneDB magnitude,84,CD8 T cytotoxic,NK,HLA-B,KLRD1,2.9020705
consensus,CellPhoneDB magnitude,85,Monocyte classical,Dendritic cell,S100A9,CD36,2.8896255
consensus,CellPhoneDB magnitude,86,Monocyte classical,Plasmacytoid DC,S100A9,CD36,2.8861978
consensus,CellPhoneDB magnitude,87,T proliferating,CD8 T memory,HMGB1,CXCR4,2.885111
consensus,CellPhoneDB magnitude,88,CD8 T memory,Dendritic cell,B2M,CD1C,2.8843746
consensus,CellPhoneDB magnitude,89,NK,NK,B2M,KLRC2,2.867444
consensus,CellPhoneDB magnitude,90,CD8 T memory,T proliferating,HLA-B,CD3D,2.867172
consensus,CellPhoneDB magnitude,91,NK,T proliferating,B2M,KLRC1,2.8650818
consensus,CellPhoneDB magnitude,92,Monocyte classical,CD4 T naive,S100A8,CD69,2.8633926
consensus,CellPhoneDB magnitude,93,Monocyte classical,Granulocyte precursor,S100A8,ITGB2,2.8630316
consensus,CellPhoneDB magnitude,94,Pre-B large,CD8 T cytotoxic,HMGB1,CXCR4,2.856995
consensus,CellPhoneDB magnitude,95,CD8 T memory,NK,HLA-B,KLRD1,2.8550937
consensus,CellPhoneDB magnitude,96,Monocyte classical,CD8 T cytotoxic,S100A8,CD69,2.8508377
consensus,CellPhoneDB magnitude,97,Monocyte classical,Platelet,S100A8,CD68,2.8492823
consensus,CellPhoneDB magnitude,98,Plasmacytoid DC,CD8 T cytotoxic,B2M,KLRD1,2.8490317
consensus,CellPhoneDB magnitude,99,NK,T proliferating,HLA-B,CD3D,2.8484628
consensus,CellPhoneDB magnitude,100,T proliferating,Pre-B large,HMGB1,CXCR4,2.8428702
consensus,NATMI magnitude,1,NK,NK,B2M,KLRD1,11.058282
consensus,NATMI magnitude,2,Pre-B large,CD8 T memory,HMGB1,CXCR4,10.852417
consensus,NATMI magnitude,3,CD8 T cytotoxic,NK,B2M,KLRD1,10.7851305
consensus,NATMI magnitude,4,CD8 T memory,NK,B2M,KLRD1,10.625397
consensus,NATMI magnitude,5,Pre-B large,Pre-B large,HMGB1,CXCR4,10.500426
consensus,NATMI magnitude,6,CD4 T memory,NK,B2M,KLRD1,10.174149
consensus,NATMI magnitude,7,T proliferating,NK,B2M,KLRD1,10.141152
consensus,NATMI magnitude,8,Monocyte non-classical,NK,B2M,KLRD1,9.803187
consensus,NATMI magnitude,9,Plasmacytoid DC,NK,B2M,KLRD1,9.581478
consensus,NATMI magnitude,10,Pre-B large,Pre-B small,HMGB1,CXCR4,9.382257
consensus,NATMI magnitude,11,Pre-B large,B naive,HMGB1,CXCR4,9.373714
consensus,NATMI magnitude,12,CD4 T naive,NK,B2M,KLRD1,9.272171
consensus,NATMI magnitude,13,Platelet,NK,B2M,KLRD1,9.137566
consensus,NATMI magnitude,14,Monocyte classical,NK,B2M,KLRD1,9.055122
consensus,NATMI magnitude,15,T activated,NK,B2M,KLRD1,8.990064
consensus,NATMI magnitude,16,Pre-B small,NK,B2M,KLRD1,8.887914
consensus,NATMI magnitude,17,Pre-B large,T activated,HMGB1,CXCR4,8.868658
consensus,NATMI magnitude,18,Erythroid early,CD8 T memory,HMGB1,CXCR4,8.838786
consensus,NATMI magnitude,19,Dendritic cell,NK,B2M,KLRD1,8.820151
consensus,NATMI magnitude,20,B naive,NK,B2M,KLRD1,8.708928
consensus,NATMI magnitude,21,Monocyte classical,NK,S100A9,ITGB2,8.625128
consensus,NATMI magnitude,22,Erythroid late,CD8 T memory,HMGB1,CXCR4,8.585684
consensus,NATMI magnitude,23,Pre-B large,T proliferating,HMGB1,CXCR4,8.577165
consensus,NATMI magnitude,24,Erythroid early,Pre-B large,HMGB1,CXCR4,8.552106
consensus,NATMI magnitude,25,Monocyte classical,NK,S100A8,ITGB2,8.407596
consensus,NATMI magnitude,26,Erythroid late,Pre-B large,HMGB1,CXCR4,8.307214
consensus,NATMI magnitude,27,T proliferating,CD8 T memory,HMGB1,CXCR4,8.245234
