library,pathway,set_size,source,target,ligand_complex,receptor_complex,magnitude_rank,specificity_rank,significant
KEGG_2021_Human,Cell adhesion molecules,148,CD8 T cytotoxic,T proliferating,HLA-B,CD8A,0.0030203684445673,0.0425604236783712,True
KEGG_2021_Human,Antigen processing and presentation,78,CD4 T naive,NK,HLA-B,KLRD1,0.0031202318179482,0.0307495375129016,True
KEGG_2021_Human,Graft-versus-host disease,42,CD4 T naive,NK,HLA-B,KLRD1,0.0031202318179482,0.0307495375129016,True
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,131,CD4 T naive,NK,HLA-B,KLRD1,0.0031202318179482,0.0307495375129016,True
KEGG_2021_Human,Antigen processing and presentation,78,B naive,NK,HLA-B,KLRD1,0.0036002360585752,0.0324625501912772,True
KEGG_2021_Human,Graft-versus-host disease,42,B naive,NK,HLA-B,KLRD1,0.0036002360585752,0.0324625501912772,True
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,131,B naive,NK,HLA-B,KLRD1,0.0036002360585752,0.0324625501912772,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T memory,T proliferating,HLA-B,CD8A,0.0042068669352019,0.0460119188803852,True
KEGG_2021_Human,Cell adhesion molecules,148,CD8 T memory,T proliferating,HLA-B,CD8A,0.0042068669352019,0.0460119188803852,True
KEGG_2021_Human,Antigen processing and presentation,78,NK,NK,B2M,KLRC1,0.0045155240379975,0.0037298319567341,True
KEGG_2021_Human,Antigen processing and presentation,78,NK,T proliferating,HLA-B,CD8A,0.0047355076894402,0.0479976349771549,True
KEGG_2021_Human,Cell adhesion molecules,148,NK,T proliferating,HLA-B,CD8A,0.0047355076894402,0.0479976349771549,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T cytotoxic,NK,B2M,KLRC1,0.0050879317641621,0.0041743731895501,True
KEGG_2021_Human,Antigen processing and presentation,78,CD8 T memory,NK,B2M,KLRC1,0.0053999039877507,0.0044090741001736,True
KEGG_2021_Human,Antigen processing and presentation,78,Monocyte classical,NK,HLA-B,KLRD1,0.0056129525813897,0.0389837901182324,True
KEGG_2021_Human,Graft-versus-host disease,42,Monocyte classical,NK,HLA-B,KLRD1,0.0056129525813897,0.0389837901182324,True
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,131,Monocyte classical,NK,HLA-B,KLRD1,0.0056129525813897,0.0389837901182324,True
KEGG_2021_Human,Antigen processing and presentation,78,T proliferating,T proliferating,HLA-A,CD8A,0.0062763727240479,0.0343256383580433,True
KEGG_2021_Human,Cell adhesion molecules,148,T proliferating,T proliferating,HLA-A,CD8A,0.0062763727240479,0.0343256383580433,True
