resource,library,pathway,set_size,n_tested,n_significant,significant_share,fold_enrichment,n_lr_pairs,n_senders,n_receivers,ligands
cellphonedb,Reactome_Pathways_2024,Regulation of TNFR1 Signaling,50,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,TNF Signaling,59,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,TNFR1-induced NF-kappa-B Signaling Pathway,33,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,TNFR1-induced Proapoptotic Signaling,26,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Extracellular Matrix Organization,300,107,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Integrin Cell Surface Interactions,85,107,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,TNFs Bind Their Physiological Receptors,29,13,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,FasL CD95L Signaling,5,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,TRAIL Signaling,8,3,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,DAP12 Interactions,45,72,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,DAP12 Signaling,29,72,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,EPH-Ephrin Signaling,92,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,EPH-ephrin Mediated Repulsion of Cells,51,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,EPHB-mediated Forward Signaling,42,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Ephrin Signaling,19,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Interleukin-10 Signaling,46,46,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Neutrophil Degranulation,478,99,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Arachidonate Metabolism,59,26,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Biosynthesis of Lipoxins (LX),6,26,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Biosynthesis of Specialized Proresolving Mediators (SPMs),19,26,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Fatty Acid Metabolism,176,26,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Synthesis of 5-Eicosatetraenoic Acids,9,26,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Synthesis of Leukotrienes (LT) and Eoxins (EX),20,26,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,HIV Infection,227,32,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Host Interactions of HIV Factors,126,32,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Nef-mediates Down Modulation of Cell Surface Receptors by Recruiting Them to Clathrin Adapters,22,32,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,The Role of Nef in HIV-1 Replication and Disease Pathogenesis,29,32,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Formyl Peptide Receptors Bind Formyl Peptides and Many Other Ligands,9,39,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Interleukin-4 and Interleukin-13 Signaling,112,19,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Signaling by TGF-beta Receptor Complex,94,42,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Signaling by TGFB Family Members,161,42,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Signaling by TGFBR3,49,42,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,TGF-beta Receptor Signaling Activates SMADs,47,42,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,TGFBR3 Regulates TGF-beta Signaling,8,42,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,CTLA4 Inhibitory Signaling,21,3,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Costimulation by the CD28 Family,78,9,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Other Semaphorin Interactions,19,14,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Semaphorin Interactions,64,14,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Other Interleukin Signaling,24,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Signaling by CSF1 (M-CSF) in Myeloid Cells,31,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Interleukin-2 Family Signaling,44,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Cell-Cell Communication,157,19,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Signal Regulatory Protein Family Interactions,16,19,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Constitutive Signaling by Aberrant PI3K in Cancer,83,18,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers,451,18,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,FLT3 Signaling,38,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,FLT3 Signaling Through SRC Family Kinases,6,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,FLT3 Signaling by CBL Mutants,7,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,FLT3 Signaling in Disease,28,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,IGF1R Signaling Cascade,53,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,IRS-mediated Signalling,48,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,IRS-related Events Triggered by IGF1R,52,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Insulin Receptor Signalling Cascade,54,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Intracellular Signaling by Second Messengers,321,18,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,MAPK Family Signaling Cascades,314,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,MAPK1 MAPK3 Signaling,271,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Negative Regulation of FLT3,15,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Negative Regulation of the PI3K AKT Network,118,18,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,PI3K AKT Signaling in Cancer,110,18,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,PI3K Cascade,44,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",111,18,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,PIP3 Activates AKT Signaling,281,18,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,RAF MAP Kinase Cascade,265,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,STAT5 Activation,7,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Signaling by Insulin Receptor,82,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),54,12,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Non-integrin membrane-ECM Interactions,59,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,"Platelet Activation, Signaling and Aggregation",262,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Platelet Degranulation,128,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,RUNX1 Regulates Genes Involved in Megakaryocyte Differentiation and Platelet Function,65,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Response to Elevated Platelet Cytosolic Ca2+,133,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Syndecan Interactions,27,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,Transcriptional Regulation by RUNX1,202,2,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,CD28 Co-Stimulation,35,6,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,CD28 Dependent PI3K Akt Signaling,24,6,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,CD28 Dependent Vav1 Pathway,12,6,0,0.0,0.0,0,0,0,
cellphonedb,Reactome_Pathways_2024,G Alpha (Q) Signalling Events,219,1,0,0.0,0.0,0,0,0,
