cell_type,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Granulocyte precursor,GO_BP,Spliceosomal Complex Assembly (GO:0000245),3/59,0.020378313037528607,0.11413435015204977,6.2958440685560655,24.511509167509573,SNRPE;SRSF9;SNRPG
Granulocyte precursor,GO_BP,Spliceosomal snRNP Assembly (GO:0000387),2/37,0.05122645310297062,0.18322332854899145,7.128640862809096,21.18275075061749,SNRPE;SNRPG
Granulocyte precursor,GO_BP,Steroid Metabolic Process (GO:0008202),1/59,0.4424441069640161,0.49369245912201026,2.579590000642632,2.1035037965602954,TSPO
Granulocyte precursor,GO_BP,Sterol Homeostasis (GO:0055092),2/54,0.09890709742581318,0.23309812483308934,4.81624085402423,11.142730962639764,LCP1;NPC2
Granulocyte precursor,GO_BP,Sterol Transport (GO:0015918),1/21,0.1875796446245826,0.2946223766114368,7.375206308454062,12.342789442048794,NPC2
Granulocyte precursor,GO_BP,Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223),1/19,0.17133854181412753,0.27849740486098346,8.17333875228612,14.418700526540675,TYROBP
Granulocyte precursor,GO_BP,Substantia Nigra Development (GO:0021762),3/35,0.004870410492841857,0.04344285902565731,10.958169425511198,58.34761749148015,HSPA5;YWHAE;COX6B1
Granulocyte precursor,GO_BP,Sulfur Compound Biosynthetic Process (GO:0044272),1/58,0.43688799442753395,0.48900321607109726,2.624583197123243,2.17336071332158,GSTP1
Granulocyte precursor,GO_BP,Superoxide Anion Generation (GO:0042554),1/11,0.10307937838639729,0.23309812483308934,14.406373075546007,32.73496655872962,CYBA
Granulocyte precursor,GO_BP,Superoxide Metabolic Process (GO:0006801),1/24,0.2113493142081956,0.31258931323525346,6.432730763077908,9.998026738751566,CYBA
Granulocyte precursor,GO_BP,Supramolecular Fiber Organization (GO:0097435),5/252,0.10382490098262982,0.23441715924984388,2.2599033816425123,5.118792896186237,VIM;TAGLN2;TPM3;STMN1;CST3
Granulocyte precursor,GO_BP,Synaptic Vesicle Endocytosis (GO:0048488),2/35,0.04634940177598477,0.17749672348368936,7.554983270047746,23.205485395225953,AP2S1;CANX
