cell_type,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
B naive,GO_BP,Immunoglobulin Mediated Immune Response (GO:0016064),13/28,1.7957555319261484e-19,2.4978959449092724e-16,93.43045161290323,4032.803136342071,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;CD19;HLA-DRA;CD74;HLA-DPA1;GAPT
B naive,GO_BP,B Cell Receptor Signaling Pathway (GO:0050853),14/44,4.462020365121074e-18,3.1033351639417065e-15,51.23337581857337,2046.8210116969472,PRKCB;LAT2;MS4A1;BLK;IGHD;CD19;BLNK;IGHM;IGKC;CD79A;CD79B;IGLC3;MEF2C;IGHA1
B naive,GO_BP,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),10/17,1.2414699701851922e-16,4.301240214088797e-14,147.8745406824147,5415.914716178028,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1;GAPT
B naive,GO_BP,MHC Class II Protein Complex Assembly (GO:0002399),9/12,1.5460964105279644e-16,4.301240214088797e-14,285.25512868332714,10384.892150829974,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),9/12,1.5460964105279644e-16,4.301240214088797e-14,285.25512868332714,10384.892150829974,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),18/123,2.446918551449899e-16,5.672772841778017e-14,19.239615659287153,691.597459753815,PRKCB;LAT2;BLK;HLA-DRB1;IGHA1;IGHD;NFKBID;MS4A1;CD19;BLNK;IGHM;IGKC;CD79B;CD79A;IGLC3;HLA-DPA1;MEF2C;PDE4B
B naive,GO_BP,B Cell Activation (GO:0042113),15/73,4.0656559635377245e-16,8.079039207544249e-14,28.66751906374548,1015.9420844106742,PRKCB;KLF6;CD40;LAT2;CD22;TPD52;MEF2C;BLNK;CD79A;HHEX;CD79B;BANK1;FCRLA;PAX5;MS4A1
B naive,GO_BP,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),9/16,7.771118747360651e-15,1.3512032721973332e-12,133.09260226283726,4323.960676170493,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),10/24,1.1793641453892567e-14,1.640495526236456e-12,76.46022264458323,2452.1723057892104,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),10/24,1.1793641453892567e-14,1.640495526236456e-12,76.46022264458323,2452.1723057892104,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),10/29,1.154154255768574e-13,1.4594805179764422e-11,56.84090450232183,1693.3040948169066,FCGR2B;HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Regulation Of B Cell Proliferation (GO:0030888),10/42,7.588537144102404e-12,8.796379306205371e-10,34.082495457298606,872.6612426678088,FCGR2B;MZB1;CD40;CD22;IKZF3;TNFRSF13C;CD74;TNFRSF13B;LYN;MEF2C
B naive,GO_BP,Regulation Of B Cell Activation (GO:0050864),8/25,7.150259093532045e-11,7.650777230079288e-09,50.74515769944341,1185.4722146987704,FCGR2B;MZB1;ZFP36L1;CD22;IKZF3;LAPTM5;CD19;BANK1
B naive,GO_BP,Regulation Of T Cell Activation (GO:0050863),10/55,1.350115592206126e-10,1.3414362776848007e-08,24.328891580860084,552.8901356945843,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;LAPTM5;HLA-DRA;HLA-DPA1
B naive,GO_BP,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),9/41,1.9247853518979437e-10,1.784917616326693e-08,30.675517172122916,686.2431135140889,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Positive Regulation Of Lymphocyte Activation (GO:0051251),9/42,2.4290308011134676e-10,2.1117386527180208e-08,29.758349245937413,658.8010069335546,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPA1
B naive,GO_BP,Positive Regulation Of T Cell Activation (GO:0050870),11/96,2.700151178783077e-09,2.2093589939336823e-07,14.226434600132698,280.6869581940411,HLA-DRB5;HLA-DOA;HLA-DMB;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;TNFRSF13C;HLA-DPA1;RHOH
B naive,GO_BP,B Cell Proliferation (GO:0042100),6/15,3.911688523605064e-09,3.022865964630358e-07,70.77621431470708,1370.1777328368903,CD40;CD19;CD79A;GAPT;MEF2C;MS4A1
B naive,GO_BP,B Cell Differentiation (GO:0030183),8/52,3.963541636267342e-08,2.8281482198953403e-06,19.929169706697795,339.66365618275455,MS4A1;BLNK;HHEX;CD79A;CD79B;TPD52;PAX5;KLF6
B naive,GO_BP,Lymphocyte Differentiation (GO:0030098),9/73,4.066352580726585e-08,2.8281482198953403e-06,15.432044042342179,262.6215119067837,MS4A1;BLNK;RHOH;HHEX;CD79A;CD79B;TPD52;PAX5;KLF6
B naive,GO_BP,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),12/167,1.0231903698745194e-07,6.7774181166450314e-06,8.517701945465555,137.0938616009045,BIRC3;PRKCB;CD40;EEF1D;TRIM38;LTB;REL;CXXC5;HLA-DRB1;TRAF5;CD74;PIM2
B naive,GO_BP,Regulation Of B Cell Receptor Signaling Pathway (GO:0050855),5/16,3.5073439734570134e-07,2.121180637860307e-05,49.21438896919827,731.4851075037152,FCGR2B;PRKCB;FOXP1;CD22;LYN
B naive,GO_BP,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),13/223,3.4114704075829493e-07,2.121180637860307e-05,6.812978622327791,101.45173933196702,BIRC3;PRKCB;CD40;EEF1D;TRIM38;LTB;REL;CXXC5;HLA-DRB1;TRAF5;CD74;RHOH;PIM2
B naive,GO_BP,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),18/457,6.701278637488132e-07,3.88394941031083e-05,4.541346798198451,64.55886555833838,BIRC3;PRKCB;P2RX5;CD40;EEF1D;TRIM38;LTB;REL;CXXC5;HLA-DRB1;PTPN6;PMAIP1;LAPTM5;TRAF5;NCF1;CD74;LYN;PIM2
B naive,GO_BP,B Cell Homeostasis (GO:0001782),4/9,1.1023672219915823e-06,6.133571223161164e-05,83.78972935461485,1149.4317529495497,GAPT;TNFRSF13B;MEF2C;LYN
B naive,GO_BP,Negative Regulation Of B Cell Activation (GO:0050869),5/20,1.2056653530351143e-06,6.450309638737862e-05,36.50664136622391,497.52999460719985,FCGR2B;LAPTM5;TNFRSF13B;LYN;BANK1
B naive,GO_BP,Response To Cytokine (GO:0034097),9/116,2.219239577131393e-06,0.00011433193525147289,9.239383083368754,120.28148537696345,NFKB2;CD40;SP100;CIITA;REL;AFF3;SELL;CXCR4;CD74
B naive,GO_BP,Regulation Of Monocyte Differentiation (GO:0045655),4/14,8.425692256282459e-06,0.00041857635458888927,43.87895310796074,512.691557287843,HLA-DRB1;FOXP1;CD74;ZFP36L1
B naive,GO_BP,Positive Regulation Of Cytokine Production (GO:0001819),12/276,1.9664514212214872e-05,0.0009432185954893409,4.980243991716517,53.969384444432805,CD40;FOXP1;LTB;IGHD;LAPTM5;POU2F2;POU2AF1;LY9;CYBA;CD74;HLA-DPA1;PDE4B
B naive,GO_BP,Regulation Of Viral Entry Into Host Cell (GO:0046596),5/35,2.2392330329735172e-05,0.0010382577162887207,18.538719550542954,198.49021517004775,SNX3;CIITA;TRIM38;HLA-DRB1;CD74
B naive,GO_BP,Regulation Of DNA-templated Transcription (GO:0006355),33/1576,2.8810330851450583e-05,0.0012927474262699277,2.4082280531260123,25.177486116725255,PRKCB;MDM4;EBF1;FOXP1;KLF2;HLA-DRB1;REL;HHEX;BCL11A;PIM2;SP110;PAX5;SP100;BACH2;BCL7A;ARID5B;PRDM2;POU2F2;IRF8;CD74;TCF4;RHOH;NFKB2;PFDN5;CIITA;SP140;IKZF3;NCF1;SPIB;BTG1;JUN;MEF2C;KLF6
B naive,GO_BP,Response To Type II Interferon (GO:0034341),6/64,3.9247215662485346e-05,0.0017060274058286599,11.46558126249643,116.32554585239241,CD40;SP100;CIITA;IRF8;HLA-DPA1;CD74
B naive,GO_BP,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),6/66,4.6793346629892464e-05,0.0019724104594600125,11.085449021649069,110.51937189543237,HLA-DMB;CD40;TNFRSF13C;HLA-DPA1;CD74;MEF2C
B naive,GO_BP,Regulation Of Immune Response (GO:0050776),6/68,5.545869346846606e-05,0.0022689130180775377,10.729645244215938,105.14915081569792,BIRC3;FCGR2B;HLA-DRB1;CD22;HLA-DRA;LYN
B naive,GO_BP,Lymphocyte Proliferation (GO:0046651),4/22,5.788710587222475e-05,0.002300598979093275,24.894367650092843,242.89474085029252,MEF2C;CD40;CD79A;MS4A1
B naive,GO_BP,Positive Regulation Of Monocyte Differentiation (GO:0045657),3/9,7.544277986213974e-05,0.0029150251885621216,54.86173320350535,520.7550366952293,HLA-DRB1;ZFP36L1;CD74
B naive,GO_BP,Antibacterial Humoral Response (GO:0019731),4/24,8.280302081895909e-05,0.003031026367346634,22.463414634146343,211.13466777605592,JCHAIN;IGHM;RNASE6;IGHA1
B naive,GO_BP,Negative Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050858),4/24,8.280302081895909e-05,0.003031026367346634,22.463414634146343,211.13466777605592,FCGR2B;CD22;LAPTM5;EZR
B naive,GO_BP,Cellular Component Assembly (GO:0022607),10/229,9.420817034549573e-05,0.0033600914089893475,4.999426039854358,46.34469761792976,LIMD2;MDM4;CD40;VAMP2;EZR;STX7;JCHAIN;CHCHD10;CD74;STAG3
B naive,GO_BP,Negative Regulation Of B Cell Proliferation (GO:0030889),3/10,0.00010699406085484312,0.0037207184662271697,47.54447257383966,434.68661953254394,FCGR2B;TNFRSF13B;LYN
B naive,GO_BP,Positive Regulation Of DNA-templated Transcription (GO:0045893),24/1056,0.00011731193822085087,0.003980022099151307,2.5673500744226243,23.23624865057942,KLF2;HLA-DRB1;PTMA;REL;EAF2;HHEX;PIM2;SP100;PRDM2;POU2F2;IRF8;CHCHD10;CD74;TCF4;NCOA3;NFKB2;CD40;CIITA;POU2AF1;NCF1;SPIB;JUN;MEF2C;KLF6
B naive,GO_BP,Positive Regulation Of B Cell Proliferation (GO:0030890),4/27,0.00013363624085837973,0.0044259050246191955,19.592821179145687,174.77558789176481,TNFRSF13C;CD40;CD74;MEF2C
B naive,GO_BP,Cellular Response To Fluid Shear Stress (GO:0071498),3/11,0.000146050767030044,0.004724572486948633,41.94892032762472,370.4742506459139,MTSS1;MEF2C;KLF2
B naive,GO_BP,Positive Regulation By Symbiont Of Entry Into Host (GO:0075294),3/12,0.00019332387827621138,0.005845945971352393,37.53137908061292,320.93621389175723,HLA-DRB1;CD74;TRIM38
B naive,GO_BP,Positive Regulation Of Viral Entry Into Host Cell (GO:0046598),3/12,0.00019332387827621138,0.005845945971352393,37.53137908061292,320.93621389175723,HLA-DRB1;CD74;TRIM38
B naive,GO_BP,Regulation Of Immune Effector Process (GO:0002697),3/12,0.00019332387827621138,0.005845945971352393,37.53137908061292,320.93621389175723,FCGR2B;HLA-DRB1;HLA-DRA
B naive,GO_BP,B Cell Activation Involved In Immune Response (GO:0002312),3/13,0.0002495015348126345,0.007230346560924471,33.95527426160338,281.6944999417236,FCGR2B;GAPT;CD19
B naive,GO_BP,Immune Response-Regulating Cell Surface Receptor Signaling Pathway (GO:0002768),3/13,0.0002495015348126345,0.007230346560924471,33.95527426160338,281.6944999417236,LYN;CD40;CD24
B naive,GO_BP,Epithelial Cell Differentiation Involved In Kidney Development (GO:0035850),2/3,0.0002870825652580452,0.007986636965478819,168.9966414777498,1378.2927870214419,MTSS1;MEF2C
B naive,GO_BP,Nephron Tubule Development (GO:0072080),2/3,0.0002870825652580452,0.007986636965478819,168.9966414777498,1378.2927870214419,MTSS1;MEF2C
B naive,GO_BP,Regulation Of Lymphocyte Proliferation (GO:0050670),3/14,0.00031524949187345785,0.008598275356783919,31.001100715465054,249.9354061721834,MZB1;CD22;IKZF3
B naive,GO_BP,Negative Regulation Of Lymphocyte Proliferation (GO:0050672),4/34,0.00033463702629468446,0.008782643463696341,15.090852208734827,120.76400329763746,FCGR2B;HLA-DRB1;TNFRSF13B;LYN
B naive,GO_BP,Regulation Of Apoptotic Process (GO:0042981),16/604,0.00032978666302877564,0.008782643463696341,2.9694552085707775,23.8063141989668,BIRC3;NOP53;EVI2B;STK4;FCMR;PMAIP1;PTPN6;IKZF3;CTSH;IFT57;CD74;JUN;PTMA;PIM2;MEF2C;TCL1A
B naive,GO_BP,Positive Regulation Of Myeloid Leukocyte Differentiation (GO:0002763),4/35,0.00037492666448371017,0.009482236187215288,14.611050527081062,115.2633648207004,EVI2B;HLA-DRB1;ZFP36L1;CD74
B naive,GO_BP,Translational Elongation (GO:0006414),4/35,0.00037492666448371017,0.009482236187215288,14.611050527081062,115.2633648207004,EEF1B2;EEF1D;EEF1A1;EEF2
B naive,GO_BP,B Cell Mediated Immunity (GO:0019724),3/15,0.0003912115670051246,0.00971741588757372,28.51959493670886,223.77221549691882,FCGR2B;CD74;CD19
B naive,GO_BP,Negative Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002862),3/16,0.0004780100800840135,0.011464000368911426,26.405719643694326,201.89493037615648,HLA-DRB1;RHBDF2;LYN
B naive,GO_BP,Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861),3/16,0.0004780100800840135,0.011464000368911426,26.405719643694326,201.89493037615648,HLA-DRB1;RHBDF2;LYN
B naive,GO_BP,Positive Regulation Of Immune Response (GO:0050778),5/68,0.0005530265867348223,0.013038304782171826,8.889804055822946,66.67445922823974,FCGR2B;HLA-DMB;HLA-DRB1;HLA-DRA;CD74
B naive,GO_BP,Negative Regulation Of T Cell Activation (GO:0050868),4/41,0.0006925399971679979,0.016055385601011416,12.269618320610688,89.26324702665453,FCGR2B;HLA-DRB1;LAPTM5;RIPOR2
B naive,GO_BP,Protein-Containing Complex Assembly (GO:0065003),10/296,0.0007287767427345275,0.01661849916629062,3.817386046639458,27.57734316145023,MZB1;MDM4;CD40;PFDN5;VAMP2;CYBA;CHCHD10;JCHAIN;CD74;TCF4
B naive,GO_BP,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),18/783,0.0007580070443823485,0.017006254818320108,2.564174190027111,18.423124565337844,NFKB2;CD40;CIITA;REL;KLF2;EAF2;PRDM2;POU2AF1;IRF8;POU2F2;TCF4;SPIB;HHEX;PTMA;JUN;NCOA3;MEF2C;KLF6
B naive,GO_BP,Inflammatory Response (GO:0006954),8/198,0.0007887407226983766,0.017414894369419714,4.621529127040938,33.02116255087413,FCGR2B;NFKB2;CD40;CIITA;REL;CXCR4;CYBA;BLNK
B naive,GO_BP,Cellular Response To Cytokine Stimulus (GO:0071345),9/254,0.0009576888140488092,0.01988276328868498,4.017872621016416,27.92818301424724,CD40;ZFP36L1;IL4R;PTPN6;RIPOR2;IRF8;CXCR4;HLA-DPA1;TCL1A
B naive,GO_BP,"Positive Regulation Of CD4-positive, CD25-positive, Alpha-Beta Regulatory T Cell Differentiation (GO:0032831)",2/5,0.0009445676631250723,0.01988276328868498,72.41993522849945,504.3891507225822,HLA-DRB1;HLA-DRA
B naive,GO_BP,"Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)",2/5,0.0009445676631250723,0.01988276328868498,72.41993522849945,504.3891507225822,HLA-DRB1;HLA-DRA
B naive,GO_BP,Regulation Of Stem Cell Division (GO:2000035),2/5,0.0009445676631250723,0.01988276328868498,72.41993522849945,504.3891507225822,EVI2B;NCOA3
B naive,GO_BP,Regulation Of Interleukin-12 Production (GO:0032655),4/45,0.0009881766049333867,0.02021402437444619,11.08479720408351,76.7029072879802,LAPTM5;CD40;FOXP1;LTB
B naive,GO_BP,Protein-Containing Complex Organization (GO:0043933),6/116,0.001018372543666171,0.020529800119415128,6.054287010433994,41.71130987213346,MDM4;CD40;VAMP2;CHCHD10;JCHAIN;CD74
B naive,GO_BP,Regulation Of Myoblast Differentiation (GO:0045661),4/46,0.0010740398786694154,0.021342706731845098,10.823439604849574,73.99258487868222,RIPOR2;BTG1;MEF2C;ZFP36L1
B naive,GO_BP,Positive Regulation Of Viral Life Cycle (GO:1903902),3/22,0.0012586151660197845,0.02431574577685445,18.27543005517689,122.03862945480172,HLA-DRB1;CD74;TRIM38
B naive,GO_BP,Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902235),3/22,0.0012586151660197845,0.02431574577685445,18.27543005517689,122.03862945480172,FCGR2B;PMAIP1;HERPUD1
B naive,GO_BP,Positive Regulation Of B Cell Activation (GO:0050871),4/49,0.0013628877409586873,0.02576409883746569,10.108296283868803,66.69604998424953,TNFRSF13C;CD40;CD74;MEF2C
B naive,GO_BP,Positive Regulation Of B Cell Receptor Signaling Pathway (GO:0050861),2/6,0.0014076718272087651,0.02576409883746569,56.32381752029107,369.8119419821926,PRKCB;FOXP1
B naive,GO_BP,Positive Regulation Of Respiratory Burst (GO:0060267),2/6,0.0014076718272087651,0.02576409883746569,56.32381752029107,369.8119419821926,JCHAIN;IGHA1
B naive,GO_BP,Regulation Of T-helper Cell Differentiation (GO:0045622),2/6,0.0014076718272087651,0.02576409883746569,56.32381752029107,369.8119419821926,HLA-DRB1;HLA-DRA
B naive,GO_BP,Regulation Of MAPK Cascade (GO:0043408),7/169,0.0014477896612900703,0.02615422621888945,4.762432915921288,31.135439860247768,STK4;HLA-DRB1;PTPN6;LYN;LAPTM5;CD74;CD24
B naive,GO_BP,Antimicrobial Humoral Response (GO:0019730),4/52,0.001701979241741792,0.03035196314439529,9.481624301566066,60.45448994882265,JCHAIN;IGHM;RNASE6;IGHA1
B naive,GO_BP,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),15/642,0.0017789520148218533,0.03132306648882529,2.5968213399770192,16.442373774120963,NOP53;MDM4;SP100;BACH2;CIITA;KLF2;CXXC5;ARID5B;PRDM2;IRF8;EZR;JUN;HHEX;BCL11A;MEF2C
B naive,GO_BP,Negative Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002701),2/7,0.0019579823201535673,0.03281389647389894,46.080833524158464,287.3527401501602,FCGR2B;CD22
B naive,GO_BP,"Positive Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043372)",2/7,0.0019579823201535673,0.03281389647389894,46.080833524158464,287.3527401501602,HLA-DRB1;HLA-DRA
B naive,GO_BP,Positive Regulation Of Memory T Cell Differentiation (GO:0043382),2/7,0.0019579823201535673,0.03281389647389894,46.080833524158464,287.3527401501602,HLA-DRB1;HLA-DRA
B naive,GO_BP,Store-Operated Calcium Entry (GO:0002115),2/7,0.0019579823201535673,0.03281389647389894,46.080833524158464,287.3527401501602,ORAI2;MS4A1
B naive,GO_BP,Positive Regulation Of T Cell Proliferation (GO:0042102),4/57,0.002390384272440485,0.03958362527338946,8.593350931012342,51.87205404290291,TNFRSF13C;HLA-DMB;HLA-DPA1;CD24
B naive,GO_BP,Negative Regulation Of DNA-templated Transcription (GO:0045892),18/871,0.002468362859359391,0.04039403220434015,2.2893436373995875,13.745677429559962,NOP53;MDM4;PFDN5;FOXP1;SP100;BACH2;KLF2;CIITA;CXXC5;BCL7A;ARID5B;PRDM2;IRF8;EZR;JUN;HHEX;BCL11A;MEF2C
B naive,GO_BP,Positive Regulation Of Immune Effector Process (GO:0002699),3/28,0.002563849706413499,0.040526306154786106,13.971159096550013,83.3553631124492,HLA-DRB1;HLA-DMB;HLA-DRA
B naive,GO_BP,Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916),3/28,0.002563849706413499,0.040526306154786106,13.971159096550013,83.3553631124492,HLA-DRB1;STX7;HLA-DRA
B naive,GO_BP,Retina Homeostasis (GO:0001895),3/28,0.002563849706413499,0.040526306154786106,13.971159096550013,83.3553631124492,JCHAIN;IGKC;IGHA1
B naive,GO_BP,Regulation Of Memory T Cell Differentiation (GO:0043380),2/8,0.0025937555460996144,0.040538359153084985,38.98953691145127,232.16898497969922,HLA-DRB1;HLA-DRA
B naive,GO_BP,Cellular Response To Tumor Necrosis Factor (GO:0071356),5/98,0.002842618412429361,0.042979154474883055,6.02843387994584,35.34488673407114,BIRC3;CD40;ZFP36L1;TRAF5;TCL1A
B naive,GO_BP,Positive Regulation Of Interleukin-12 Production (GO:0032735),3/29,0.00283912927804051,0.042979154474883055,13.443276809171245,78.83484177376799,CD40;LAPTM5;LTB
B naive,GO_BP,Regulation Of Interleukin-6 Production (GO:0032675),5/98,0.002842618412429361,0.042979154474883055,6.02843387994584,35.34488673407114,PTPN6;POU2F2;POU2AF1;CYBA;CD74
B naive,GO_BP,Positive Regulation Of Leukocyte Apoptotic Process (GO:2000108),2/9,0.003313273479310324,0.04851329904969116,33.789252728799326,192.93050410766472,MEF2C;LYN
B naive,GO_BP,Regulation Of Respiratory Burst (GO:0060263),2/9,0.003313273479310324,0.04851329904969116,33.789252728799326,192.93050410766472,JCHAIN;IGHA1
B naive,GO_BP,Regulation Of Viral-Induced Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039531),2/9,0.003313273479310324,0.04851329904969116,33.789252728799326,192.93050410766472,BIRC3;NOP53
B naive,GO_BP,NIK/NF-kappaB Signaling (GO:0038061),3/31,0.0034426013041664416,0.04886386136832163,12.49864534754608,70.88641580450133,BIRC3;NFKB2;REL
B naive,GO_BP,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),12/489,0.0034133809174162672,0.04886386136832163,2.7291096698932047,15.50148485912842,SP100;CIITA;KLF2;HLA-DRB1;NCF1;CD74;HHEX;TCF4;JUN;PIM2;MEF2C;KLF6
B naive,GO_BP,Regulation Of Response To Biotic Stimulus (GO:0002831),3/31,0.0034426013041664416,0.04886386136832163,12.49864534754608,70.88641580450133,BIRC3;FCGR2B;FOXP1
B naive,KEGG,Intestinal immune network for IgA production,15/45,1.22591916495373e-19,2.1821361136176395e-17,55.06195042198754,2397.6960801113655,HLA-DRB5;HLA-DMB;HLA-DOA;CD40;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;CXCR4;TNFRSF13C;HLA-DPA1;TNFRSF13B;HLA-DQB1
B naive,KEGG,Leishmaniasis,17/71,2.4761179424455167e-19,2.20374496877651e-17,35.12774041946854,1504.9575765749237,PRKCB;HLA-DRB5;HLA-DOA;HLA-DMB;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;PTPN6;HLA-DRA;HLA-DPB1;CYBA;HLA-DPA1;NCF1;EEF1A1;JUN;HLA-DQB1
B naive,KEGG,Hematopoietic cell lineage,18/90,7.006906583336087e-19,4.157431239446078e-17,28.043098724610296,1172.2637949730592,HLA-DRB5;HLA-DOA;HLA-DMB;CD24;HLA-DQA1;HLA-DMA;IL4R;HLA-DOB;HLA-DRB1;CD22;HLA-DRA;HLA-DPB1;CD19;HLA-DPA1;CD37;FCER2;HLA-DQB1;MS4A1
B naive,KEGG,Asthma,12/25,2.7421121160965436e-18,1.220239891662962e-16,98.80882208468415,3995.6117023932134,HLA-DRB5;HLA-DMB;HLA-DOA;CD40;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;HLA-DPA1;HLA-DQB1
B naive,KEGG,Allograft rejection,12/34,2.67664277903017e-16,9.528848293347406e-15,59.2587680518715,2124.82968601961,HLA-DRB5;HLA-DMB;HLA-DOA;CD40;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;HLA-DPA1;HLA-DQB1
B naive,KEGG,Autoimmune thyroid disease,12/35,4.0383641561082203e-16,1.1980480329787721e-14,56.734296517862184,2010.976743452008,HLA-DRB5;HLA-DMB;HLA-DOA;CD40;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;HLA-DPA1;HLA-DQB1
B naive,KEGG,Systemic lupus erythematosus,12/43,6.930937297886055e-15,1.7624383414624541e-13,42.30874489495179,1379.3827585221786,HLA-DRB5;HLA-DOA;HLA-DMB;CD40;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;HLA-DPA1;HLA-DQB1
B naive,KEGG,Inflammatory bowel disease,13/59,1.4875989477918056e-14,3.3099076588367673e-13,31.09548387096774,990.0499793454303,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;IL4R;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;HLA-DPA1;JUN;HLA-DQB1
B naive,KEGG,Epstein-Barr virus infection,19/184,2.536033817877227e-14,5.015711328690516e-13,12.959751317070735,405.7126603309528,HLA-DRB5;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DPB1;BLNK;FCER2;HLA-DOA;HLA-DMB;HLA-DQA1;HLA-DPA1;HLA-DQB1;NFKB2;CD40;HLA-DRA;TRAF5;CD19;JUN;LYN
B naive,KEGG,Graft-versus-host disease,11/38,6.051578512758078e-14,9.79255432064489e-13,44.359270808347325,1350.1130951101054,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;HLA-DPA1;HLA-DQB1
B naive,KEGG,Type I diabetes mellitus,11/38,6.051578512758078e-14,9.79255432064489e-13,44.359270808347325,1350.1130951101054,HLA-DRB5;HLA-DMB;HLA-DOA;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;HLA-DPA1;HLA-DQB1
B naive,KEGG,Staphylococcus aureus infection,12/53,1.1064065051414834e-13,1.5149258301168004e-12,32.097887571506185,957.5598723798337,FCGR2B;HLA-DRB5;HLA-DOA;HLA-DMB;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;HLA-DPA1;HLA-DQB1
B naive,KEGG,Viral myocarditis,12/53,1.1064065051414834e-13,1.5149258301168004e-12,32.097887571506185,957.5598723798337,HLA-DRB5;HLA-DMB;HLA-DOA;CD40;HLA-DQA1;HLA-DMA;HLA-DOB;HLA-DRB1;HLA-DRA;HLA-DPB1;HLA-DPA1;HLA-DQB1
