source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Dendritic cell,T proliferating,LRPAP1,LDLR,0.26145822,0.0,0.047549237,0.3721543291468928,0.10921745157204167,0.014152275,0.7397007,0.38822936231630406,1.0
Dendritic cell,T proliferating,ICAM2,ITGAL_ITGB2,0.2375777,0.002,0.049185734,0.2676843207519891,0.10180949820952911,0.00708971,0.7429451,1.0,1.0
Dendritic cell,T proliferating,ICAM1,SPN,0.2128002,0.012,0.038774375,0.35184719430248584,0.06984602137218654,0.011497554,0.71958625,1.0,1.0
Dendritic cell,T proliferating,ICAM1,ITGAL_ITGB2,0.22744332,0.0,0.042643625,0.5249784004414676,0.28425144125633406,0.033229716,0.72908187,0.10662512957111679,1.0
Dendritic cell,T proliferating,HLA-F,KIR3DL2,0.21485542,0.203,0.042528223,0.25872176190101703,-0.09640433541887844,0.014485942,0.7288142,1.0,1.0
Dendritic cell,T proliferating,HLA-DQA2,LAG3,0.25372273,0.0,0.06235857,0.8804322101179498,0.47774093307957877,0.09150223,0.7649444,0.058529996949489675,1.0
T proliferating,CD4 T naive,SIRPG,CD47,0.34170875,0.0,0.11409013,0.5688354298763314,0.18845536191754664,0.0144018885,0.8148782,0.21779880231503632,1.0
T proliferating,CD4 T naive,S100A9,ITGB2,0.25852576,1.0,0.05212379,-0.30826557011613076,-2.830498262636334,0.00032203956,0.7484459,1.0,1.0
T proliferating,CD4 T naive,S100A8,ITGB2,0.24059108,1.0,0.038499966,-0.30870318248037176,-2.91571528382136,0.00026421912,0.71886915,1.0,1.0
T proliferating,CD4 T naive,S100A8,CD69,0.33707917,1.0,0.058060855,-0.20283134563056412,-2.671407150650205,0.00046323167,0.7584639,1.0,1.0
T proliferating,CD4 T naive,LGALS9,CD47,0.24605033,0.82,0.058609992,-0.0371193189077499,-0.2177876527056076,0.0011613771,0.75932515,1.0,1.0
Dendritic cell,T proliferating,GNAI2,CXCR3,0.68125355,0.0,0.4612668,1.4138795396673363,0.7613761747202281,0.04438552,0.8984864,0.04189056102692508,1.0
Dendritic cell,T proliferating,GNAI2,CCR5,0.41272253,0.0,0.06677228,0.9241889468374798,0.3522222822059342,0.068676166,0.7710368,0.0613588964331649,1.0
Dendritic cell,T proliferating,FAM3C,LAMP1,0.28296885,0.028,0.044647668,0.15831706016852298,-0.02376091946377175,0.003799003,0.73359346,1.0,1.0
Dendritic cell,T proliferating,FAM3C,CLEC2D,0.42499426,0.002,0.07156347,0.21973228980122494,0.01105269411103875,0.0063558393,0.77709603,1.0,1.0
Dendritic cell,T proliferating,CD99,CD99L2,0.491084,0.0,0.06940492,0.3630147211469732,-0.026165465280811012,0.0126359435,0.77443224,0.8206457722107946,1.0
Dendritic cell,T proliferating,CD86,CTLA4,0.32409093,0.0,0.043475203,0.9212863455146715,0.4576173893513099,0.117180474,0.730985,0.058529996949489675,1.0
Dendritic cell,T proliferating,CD14,ITGA4,0.27797472,0.009,0.06152604,0.21800548850346244,-0.07167104376774625,0.00719492,0.76373386,1.0,1.0
Dendritic cell,T proliferating,BSG,SLC16A7,0.34895977,0.0,0.062117297,0.22075813238846131,0.01514669492724928,0.0061467243,0.7645957,0.666426322791294,1.0
Dendritic cell,T proliferating,BSG,SLC16A1,0.34763137,0.0,0.060541257,0.3226520037415429,0.05482556462239649,0.005983481,0.762275,0.5354683974900919,1.0
Dendritic cell,T proliferating,BAG6,NCR3,0.26913068,0.0,0.06836265,0.3962996097114719,0.20162307846139127,0.015180168,0.7731078,0.19794440137854952,1.0
Dendritic cell,T proliferating,APP,LRP10,0.23050053,0.003,0.049302224,0.27059922367340705,0.06950663016669076,0.0049892315,0.7431709,1.0,1.0
T proliferating,CD8 T cytotoxic,APP,CD74,0.4867887,1.0,0.06397889,-0.26743213489939904,-1.2883853992679675,0.00044770533,0.76724267,1.0,1.0
T proliferating,CD4 T naive,TOR2A,ATP5F1B,0.24536632,0.978,0.058744665,0.07689089356336481,-0.184402877376386,0.0018721685,0.7595348,1.0,1.0
T proliferating,CD4 T naive,TNF,VSIR,0.22551668,0.435,0.038579628,0.13082002982407112,-0.11954821638039831,0.007610107,0.71907794,1.0,1.0
T proliferating,CD4 T naive,SPON2,ITGB2,0.25543785,1.0,0.049778104,-0.09376585529332136,-0.4716958978368713,0.0019180988,0.7440865,1.0,1.0
Dendritic cell,T activated,TGFB1,ITGB1,0.27469844,0.512,0.070950076,-0.0006872436324835002,-0.22661478439993366,0.0016046008,0.7763496,1.0,1.0
Dendritic cell,T activated,SIRPA,CD47,0.2207323,0.194,0.03963402,0.18113407285849245,-0.013666218473386268,0.00773666,0.7217933,1.0,1.0
Dendritic cell,T activated,SELPLG,ITGB2,0.25162995,1.0,0.06116099,-0.036950998608527116,-0.31016200963167795,0.0020552785,0.7631965,1.0,1.0
Dendritic cell,T activated,RETN,CAP1,0.22283234,1.0,0.04783655,-0.08367496378604451,-0.49177488463572155,0.001536681,0.7402803,1.0,1.0
Dendritic cell,T activated,PTDSS1,JMJD6,0.20917857,0.0,0.043546345,0.28416341452139365,0.20091620980958816,0.0077940165,0.73114574,0.28050472857465153,1.0
Dendritic cell,T activated,IL1B,SIGIRR,0.2641605,0.0,0.064864,0.3270492953433158,0.22866818043002496,0.010547146,0.76846737,0.18499831209415818,1.0
Dendritic cell,T activated,HLA-F,CD8A,0.22928724,0.997,0.050469864,-0.0768338437114535,-0.34021383703871055,0.0025259373,0.74539834,1.0,1.0
Dendritic cell,T activated,CLEC11A,ITGB1,0.23992571,0.0,0.056516048,0.17282901873816148,0.02698640379010206,0.0025977714,0.75598514,1.0,1.0
Dendritic cell,T activated,CD14,ITGB2,0.22528484,1.0,0.045455623,-0.1799046641786085,-0.5734460460860487,0.0018039376,0.73534226,1.0,1.0
Dendritic cell,T activated,ADAM15,ITGB1,0.20775665,0.001,0.04316278,0.26986433583267966,0.007514794700386324,0.0059617255,0.73027533,0.9719221025566362,1.0
Dendritic cell,Pre-B small,SIRPA,CD47,0.30762306,0.0,0.06142578,0.2996902981192866,0.29222790021408024,0.011990467,0.7635867,0.24082144381793547,1.0
Dendritic cell,Pre-B small,RETN,CAP1,0.2589084,0.994,0.06699053,-0.03780758405926389,-0.3384719361181106,0.0021519756,0.77132463,1.0,1.0
Dendritic cell,Pre-B small,FAM3C,CLEC2D,0.2565175,0.448,0.039634768,0.009527454441664364,0.004411053354601499,0.0035201232,0.72179514,1.0,1.0
T proliferating,CD8 T cytotoxic,FAM3C,LAMP1,0.25676438,0.015,0.04996934,0.1373483309285134,0.1387761777419042,0.0042518163,0.7444515,1.0,1.0
T proliferating,CD8 T cytotoxic,FAM3C,CLEC2D,0.36360675,0.003,0.07784174,0.1689356900669366,0.18748353512042643,0.0069134384,0.78429437,1.0,1.0
Dendritic cell,Pre-B small,CD22,PTPRC,0.29477045,1.0,0.050885405,-0.18587689182374528,-0.37549300429746946,0.0026978499,0.7461757,1.0,1.0
Dendritic cell,Pre-B small,APP,LRP10,0.27552393,0.0,0.075629525,0.36618341247554076,0.3837033530205245,0.007653472,0.7818455,0.15077801714536476,1.0
Dendritic cell,Pre-B small,ADAM28,ITGA4,0.2621451,0.0,0.06756139,0.3226646658558161,0.27736370122518134,0.013430691,0.7720721,0.19248698294576,1.0
Dendritic cell,Pre-B large,VCAN,SELL,0.34408456,0.998,0.09086967,-0.096486152881811,-0.6620337819523888,0.002671438,0.7970962,1.0,1.0
Dendritic cell,Pre-B large,VCAN,CD44,0.31984228,1.0,0.06614304,-0.20523601346425036,-0.8849504922022641,0.0012674468,0.7701999,1.0,1.0
Dendritic cell,Pre-B large,TGFB1,ITGB1,0.26863182,0.623,0.06680235,-0.009776797842184083,-0.32863222173123985,0.0015107964,0.7710765,1.0,1.0
Dendritic cell,Pre-B large,LRPAP1,SORL1,0.25553703,0.007,0.042744547,0.08644261751387158,-0.1459104858567658,0.003043999,0.7293152,1.0,1.0
