source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Plasmacytoid DC,B naive,MIF,CD74,2.5627441,0.0,2.7034328,0.8194826958424002,1.4935391826302111,0.005327688,0.9554116,0.34395062749951866,0.0025721184499299544
NK,B naive,MIF,CD74,2.5614061,0.0,2.6913142,0.8179053549930735,1.660776390388285,0.0053038057,0.9553158,0.22192066892235723,0.002745401742835797
Plasmacytoid DC,Plasmacytoid DC,MIF,CD74,2.5285068,0.0,2.6625545,0.8000043801345756,0.9798193778416215,0.005247129,0.955086,0.35414106848109395,0.0029242626697988236
NK,Plasmacytoid DC,MIF,CD74,2.5271688,0.0,2.6506193,0.7984270392852489,1.1470565855996955,0.0052236076,0.9549895,0.3570937659538338,0.0030157829083878856
CD8 T memory,Dendritic cell,MIF,CD74,2.5557268,0.0,2.5122824,0.8014220111383779,1.135425796810619,0.004950986,0.9538233,0.40129545569684766,0.0033957772267840572
Erythroid late,Dendritic cell,MIF,CD74,2.553841,0.0,2.4950833,0.7991987390841361,1.2467745681796258,0.004917091,0.9536718,0.4070197336383128,0.003494249739571557
CD8 T memory,B naive,MIF,CD74,2.5396879,0.0,2.4946117,0.7922988866595664,1.5779137341824847,0.0049161618,0.95366764,0.3208432344997219,0.003594110248016525
Erythroid late,B naive,MIF,CD74,2.5378022,0.0,2.4775336,0.7900756146053246,1.6892625055514916,0.004882506,0.95351565,0.19142169678554743,0.0036953586030887718
T activated,Dendritic cell,MIF,CD74,2.551255,0.0,2.471495,0.7961496216334998,1.0570868583599333,0.004870605,0.9534615,0.41855804961066084,0.003797992654607347
B naive,Monocyte non-classical,RPS19,C5AR1,2.5172267,0.0,2.457219,0.9263396922540874,0.73054072460709,0.032631475,0.95333284,0.04654609635179942,0.004007416553428889
CD8 T memory,Plasmacytoid DC,MIF,CD74,2.5054505,0.0,2.456891,0.7728205709517418,1.0641939293938951,0.0048418255,0.95332986,0.42685163644422414,0.004114204762497486
CD4 T memory,Pre-B small,MIF,CD74,2.4214132,0.0,2.994794,0.7789766920095438,0.9276618368917031,0.0059018764,0.95754164,0.26714257800078106,0.0044428653326739126
T activated,B naive,MIF,CD74,2.535216,0.0,2.454111,0.7870264971546883,1.499574795731799,0.004836347,0.95330465,0.4293968316997913,0.0044428653326739126
Monocyte non-classical,Dendritic cell,MIF,CD74,2.5489464,0.0,2.4504366,0.7934275107291746,1.0632984233067582,0.004829105,0.9532713,0.42437165014868206,0.0045551809599078015
Erythroid late,Plasmacytoid DC,MIF,CD74,2.5035648,0.0,2.4400713,0.7705972988975001,1.175542700762902,0.0048086783,0.9531768,0.4371007443097853,0.004783950808682915
CD4 T naive,Monocyte non-classical,RPS19,C5AR1,2.499339,0.0,2.4376264,0.8944238239556312,0.7287053530430484,0.03237129,0.95315444,0.04705858408702232,0.004900403391989766
Monocyte non-classical,B naive,MIF,CD74,2.5329075,0.0,2.4332008,0.7843043862503631,1.505786360678624,0.0047951387,0.95311385,0.438633978071169,0.0050182341014743705
Erythroid early,T proliferating,IL7,IL2RG_IL7R,0.06791335,0.998,0.003951812,-0.03387613839210968,-0.5519851390535263,0.004066044,0.45031887,1.0,0.005097704879814323
CD4 T memory,Monocyte non-classical,RPS19,C5AR1,2.4877033,0.0,2.4248817,0.8736500357172516,0.6723958989458324,0.032202046,0.95303726,0.05789331968041655,0.005258022745321583
T activated,Plasmacytoid DC,MIF,CD74,2.5009787,0.0,2.417003,0.7675481814468638,0.9858549909432094,0.004763217,0.95296437,0.44665687962701767,0.00537997981145329
T activated,Monocyte non-classical,RPS19,C5AR1,2.4763336,0.0,2.4124284,0.8533597608015987,0.647264567904467,0.03203667,0.95292187,0.05789331968041655,0.005503310948234152
Monocyte non-classical,Plasmacytoid DC,MIF,CD74,2.49867,0.0,2.3964088,0.7648260705425386,0.9920665558900342,0.0047226325,0.9527722,0.4537045839215008,0.005754092990522043
CD8 T cytotoxic,Dendritic cell,MIF,CD74,2.542218,0.0,2.3890674,0.7854949480812241,1.1095236784652387,0.0047081644,0.9527031,0.44643216480076336,0.006010360670774094
Granulocyte precursor,Monocyte non-classical,RPS19,C5AR1,2.4418683,0.0,2.3746781,0.7918524196910272,0.6461856119598527,0.03153535,0.95256686,0.05789331968041655,0.006140549883045469
HSPC,Monocyte non-classical,RPS19,C5AR1,2.4416056,0.0,2.3743904,0.791380152201226,0.5781560177995765,0.031531528,0.9525641,0.05789331968041655,0.006272108251257499
CD8 T cytotoxic,B naive,MIF,CD74,2.526179,0.0,2.3722634,0.7763718236024126,1.5520116158371045,0.004675049,0.95254385,0.37588935182084293,0.006405035834553208
CD8 T cytotoxic,Plasmacytoid DC,MIF,CD74,2.4919417,0.0,2.3363929,0.7568935078945881,1.0382918110485149,0.0046043578,0.9521983,0.48087868878952905,0.006950409676499377
CD8 T cytotoxic,Monocyte non-classical,RPS19,C5AR1,2.3935742,0.0,2.321781,0.7056548680861061,0.5400119352554374,0.030832883,0.95205534,0.05789331968041655,0.007090165787859261
Monocyte non-classical,Monocyte non-classical,RPS19,C5AR1,2.3818507,0.0,2.30894,0.6847342224958063,0.5979594259449345,0.030662358,0.95192856,0.05789331968041655,0.007231286253431952
T proliferating,Erythroid early,TNF,SEMA4C,0.07676418,0.005,0.0044528637,0.2769112099616451,0.0867664464629577,0.028047616,0.46513274,1.0,0.007644390599324356
CD4 T naive,Dendritic cell,MIF,CD74,2.5292373,0.0,2.2706676,0.7701902128681436,1.0182652717145761,0.004474832,0.9515447,0.4779882352763472,0.00766281722222053
CD4 T naive,B naive,MIF,CD74,2.5131984,0.0,2.2546964,0.7610670883893321,1.460753209086442,0.0044433577,0.9513817,0.4841262395130975,0.007957306628145745
CD4 T naive,Plasmacytoid DC,MIF,CD74,2.478961,0.0,2.2206035,0.7415887726815076,0.9470334042978524,0.00437617,0.9510281,0.4939661604682039,0.009030770567726889
Plasmacytoid DC,Pre-B small,MIF,CD74,2.356022,0.0,2.4566143,0.701878892440434,0.7753200078437459,0.0048412797,0.95332736,0.42769877413755497,0.009030770567726889
NK,Pre-B small,MIF,CD74,2.3546839,0.0,2.445602,0.7003015515911073,0.9425572156018199,0.0048195776,0.9532273,0.4362396744025545,0.009349661520359306
CD8 T memory,Monocyte non-classical,RPS19,C5AR1,2.3538547,0.0,2.278276,0.6347665313197729,0.4928290587161698,0.030255144,0.9516218,0.05789331968041655,0.009511135175097551
Plasmacytoid DC,Pre-B large,APP,CD74,2.3403478,0.0,4.7167025,2.1307115959448333,1.3515743937038398,0.033006087,0.96587366,0.013619959633551663,0.010003652681738846
HSPC,T proliferating,GDF11,ACVR2B_TGFBR1,0.07295008,0.013,0.0053094486,0.21142481758931997,0.0498485737658198,0.01399031,0.4870715,1.0,0.010189631687344755
CD8 T memory,Pre-B small,MIF,CD74,2.3329656,0.0,2.2668583,0.6746950832576002,0.8596945593960195,0.004467325,0.95150596,0.4939661604682039,0.01050830097134138
Erythroid late,Pre-B small,MIF,CD74,2.33108,0.0,2.2513392,0.6724718112033584,0.9710433307650262,0.0044367416,0.95134723,0.4939661604682039,0.010851460808856303
Plasmacytoid DC,Monocyte non-classical,RPS19,C5AR1,2.3285346,0.0,2.2505424,0.5895776085884767,0.429500981621621,0.029886845,0.95133907,0.05789331968041655,0.011199995699473535
T activated,Pre-B small,MIF,CD74,2.3284938,0.0,2.230055,0.6694226937527221,0.7813556209453337,0.0043947967,0.95112693,0.4939661604682039,0.011376277905056919
Monocyte non-classical,Pre-B small,MIF,CD74,2.3261852,0.0,2.211054,0.666700582848397,0.7875671858921586,0.004357351,0.9509277,0.4939661604682039,0.011732863106192627
Monocyte classical,Dendritic cell,MIF,CD74,2.497087,0.0,1.9774203,0.7322840660519732,1.018112019284132,0.0038969265,0.9482554,0.4939661604682039,0.012647757183695747
CD8 T cytotoxic,Pre-B small,MIF,CD74,2.3194568,0.0,2.1556802,0.6587680202004464,0.8337924410506392,0.004248225,0.9503325,0.4939661604682039,0.012647757183695747
Erythroid early,Erythroid early,TNFSF13B,HLA-DPB1,0.07909651,1.0,0.005831531,-0.4225152381648244,-1.5320328165268384,7.0509486e-05,0.49879256,1.0,0.012733429599096232
B naive,Dendritic cell,MIF,CD74,2.4956353,0.0,1.9641771,0.7305723174804397,0.9899689143201572,0.0038708278,0.9480903,0.4939661604682039,0.012834744522272137
Monocyte classical,B naive,MIF,CD74,2.481048,0.0,1.9635118,0.7231609415731617,1.4605999566559977,0.0038695168,0.948082,0.48824017648451057,0.013023069080857054
T proliferating,Monocyte non-classical,RPS19,C5AR1,2.3115625,0.0,2.2319527,0.5592864032074166,0.4052020617911617,0.029639978,0.9511467,0.05789331968041655,0.013212725088731139
B naive,B naive,MIF,CD74,2.4795964,0.0,1.9503617,0.7214491930016282,1.4324568516920229,0.0038436016,0.9479163,0.4939661604682039,0.013212725088731139
Monocyte classical,Plasmacytoid DC,MIF,CD74,2.4468107,0.0,1.9338219,0.7036826258653371,0.9468801518674081,0.0038110064,0.94770575,0.4939661604682039,0.01340371671345267
B naive,Plasmacytoid DC,MIF,CD74,2.445359,0.0,1.9208707,0.7019708772938037,0.9187370469034334,0.003785483,0.947539,0.4939661604682039,0.013596040651313576
Pre-B small,Monocyte non-classical,RPS19,C5AR1,2.3108387,0.0,2.23116,0.5579967119950046,0.45274791493961175,0.02962945,0.95113844,0.05789331968041655,0.013789693528545106
Platelet,Plasmacytoid DC,PF4,CXCR3,2.4839828,0.0,1.9200184,8.109457865345297,4.108871384732882,0.22504991,0.94752795,2.4869588060239477e-06,0.013789693528545106
CD4 T naive,Pre-B small,MIF,CD74,2.306476,0.0,2.0488467,0.6434632849873659,0.7425340342999768,0.004037687,0.9491191,0.4939661604682039,0.013984679617796435
Erythroid late,Monocyte non-classical,RPS19,C5AR1,2.2993784,0.0,2.2186074,0.5375430916779855,0.44120838391350603,0.029462757,0.9510072,0.05789331968041655,0.014777909057031817
Plasmacytoid DC,Monocyte non-classical,APP,CD74,2.2748504,0.0,4.524367,2.0934502499617027,1.4154501534670059,0.03166018,0.9651809,0.0172593934771485,0.014979536198831458
T proliferating,Erythroid early,GRN,TNFRSF1A,0.0798752,0.967,0.0062124585,-0.11759813929473693,-0.40335728444997554,0.00060245453,0.5067018,1.0,0.015275784221160249
Dendritic cell,Monocyte non-classical,RPS19,C5AR1,2.261311,0.0,2.1769116,0.46960127754306474,0.3125524060405446,0.028909042,0.9505633,0.08771067185347425,0.016007536433910043
Erythroid early,Monocyte non-classical,RPS19,C5AR1,2.2452023,0.0,2.1592677,0.4408498697634178,0.2788984438444012,0.028674733,0.95037174,0.11463568313094816,0.016640200695844175
Platelet,Dendritic cell,MIF,CD74,2.4777298,0.0,1.80086,0.7094618222689009,1.0335690702542193,0.003548977,0.9459121,0.4939661604682039,0.017068577932980097
Platelet,B naive,MIF,CD74,2.461691,0.0,1.7881933,0.7003386977900894,1.476057007626085,0.0035240145,0.9457313,0.4676343357617851,0.01728474046386627
Monocyte classical,Pre-B small,MIF,CD74,2.2743258,0.0,1.7842467,0.6055571381711955,0.7423807818695325,0.0035162368,0.9456746,0.4939661604682039,0.017502222577598956
Dendritic cell,Erythroid early,TNFSF10,RIPK1,0.08425392,0.0,0.006301342,0.19409040945776923,0.04661988607099856,0.01007151,0.50847715,0.5910750512229233,0.017816695963096915
HSPC,Pre-B large,MIF,CD74,2.2104619,0.0,3.8822033,0.8056241337123284,0.424792952921174,0.007650705,0.96251506,0.12952111047169013,0.0179411308752536
B naive,Pre-B small,MIF,CD74,2.272874,0.0,1.7722971,0.603845389599662,0.7142376769055577,0.0034926876,0.9455017,0.4939661604682039,0.01816255538636324
Pre-B large,Monocyte non-classical,RPS19,C5AR1,2.1903205,0.002,2.0991552,0.3429024989429614,0.24407751383827458,0.027876446,0.94970167,0.9688811520875173,0.018609349813696746
Platelet,Plasmacytoid DC,MIF,CD74,2.4274535,0.0,1.7611543,0.6808603820822647,0.9623372028374955,0.0034707284,0.94533896,0.4939661604682039,0.018609349813696746
NK,Monocyte non-classical,RPS19,C5AR1,2.17416,0.001,2.0814543,0.31405553652822077,0.2619526030105287,0.027641382,0.949499,0.9572610593235005,0.019061388592074468
B naive,Monocyte classical,RPS19,C5AR1,2.4350598,0.0,1.7198867,0.6917763421489755,0.7576001426092646,0.022839824,0.9447231,0.05789331968041655,0.019749272577714867
CD4 T naive,Monocyte classical,RPS19,C5AR1,2.4171722,0.0,1.7061733,0.6598604738505194,0.755764771045223,0.022657711,0.94451374,0.05789331968041655,0.02021440088084868
Granulocyte precursor,Pre-B large,MIF,CD74,2.1592474,0.0,3.5531585,0.745241400425327,0.5494768203185733,0.0070022526,0.96088415,0.16483212409791917,0.02021440088084868
Pre-B large,T proliferating,GDF11,ACVR2B_TGFBR1,0.080247074,0.006,0.0063229683,0.24502143654391845,0.08831100099561465,0.016660918,0.5089053,1.0,0.020356164191473354
CD4 T memory,Monocyte classical,RPS19,C5AR1,2.4055367,0.0,1.697253,0.6390866856121398,0.699455316948007,0.02253925,0.94437623,0.05789331968041655,0.020684753519350264
T activated,Monocyte classical,RPS19,C5AR1,2.394167,0.0,1.6885365,0.6187964106964868,0.6743239859066416,0.022423496,0.9442408,0.05789331968041655,0.02116032394028214
Monocyte classical,Dendritic cell,TNFSF13B,HLA-DPB1,2.1503198,0.0,2.9544983,1.619549247940372,2.3171245470426296,0.035723064,0.95726544,0.009475135322957736,0.021400065351524146
HSPC,Monocyte non-classical,MIF,CD74,2.1449642,0.0,3.7238965,0.7683627877291976,0.4886687126843401,0.0073387283,0.96175677,0.14505618164985618,0.02212709191768682
Granulocyte precursor,Monocyte classical,RPS19,C5AR1,2.3597016,0.0,1.6621139,0.5572890695859153,0.6732450299620273,0.022072608,0.9438242,0.05789331968041655,0.022372036401440032
HSPC,Monocyte classical,RPS19,C5AR1,2.359439,0.0,1.6619124,0.5568168020961142,0.6052154358017511,0.022069935,0.94382095,0.05789331968041655,0.022618279614048782
T proliferating,Pre-B large,MIF,CD74,2.1359353,0.0,3.4033816,0.7177561566890669,0.2657203200901379,0.0067070858,0.96006674,0.18610976989753372,0.022865817473558037
Dendritic cell,Erythroid early,LTB,LTBR,0.10380773,1.0,0.0063796784,-0.3502389266950139,-1.2728058856494993,0.0007709595,0.510021,1.0,0.022894192444828612
Monocyte classical,Monocyte non-classical,RPS19,C5AR1,2.1336515,0.927,2.0370848,0.24176725070247518,0.17706903452806266,0.027052166,0.9489799,1.0,0.023114655669431067
Plasmacytoid DC,T proliferating,APP,CD74,2.1183882,0.0,4.0649104,2.004440789318057,1.1265760370199345,0.028445039,0.96333593,0.027195945359462244,0.023364786839866095
Pre-B large,Pre-B large,MIF,CD74,2.097635,0.0,3.1573067,0.6725989388757062,0.3774158765771578,0.0062221424,0.95860296,0.2315483173737166,0.023868941278370522
Granulocyte precursor,Monocyte non-classical,MIF,CD74,2.09375,0.0,3.4082694,0.7079800544421964,0.6133525800817393,0.006716718,0.9600942,0.18520302483581694,0.024122956280357457
CD8 T cytotoxic,Monocyte classical,RPS19,C5AR1,2.3114073,0.0,1.6250894,0.47109151798099425,0.567071353257612,0.021580929,0.94322395,0.05789331968041655,0.024634867730026593
Granulocyte precursor,Dendritic cell,TNFSF13B,HLA-DPB1,2.091528,0.0,2.5497327,1.5135684780641285,1.9227063250097582,0.03082901,0.9541481,0.016774266032640366,0.02489276257344932
Platelet,Pre-B small,MIF,CD74,2.2549686,0.0,1.6249344,0.5827348943881232,0.7578378328396198,0.0032022782,0.9432214,0.4939661604682039,0.02489276257344932
Dendritic cell,Pre-B large,MIF,CD74,2.0871673,0.0,3.0900533,0.6602572804438238,0.24204444766026612,0.006089606,0.95817363,0.2457765274708965,0.025151947954437273
Monocyte non-classical,Monocyte classical,RPS19,C5AR1,2.2996838,0.0,1.6161016,0.4501708723906944,0.625018843947109,0.021461572,0.9430753,0.0594150120037811,0.025151947954437273
T proliferating,Monocyte non-classical,MIF,CD74,2.070438,0.0,3.2646,0.6804948107059361,0.32959607985330397,0.006433587,0.959261,0.21037792939937996,0.025412419621053006
T proliferating,Erythroid early,TNF,RIPK1,0.08536293,0.002,0.0064255875,0.2776041164788537,0.08502668928362736,0.01790283,0.5109169,1.0,0.02543077696193543
Erythroid early,Pre-B large,MIF,CD74,2.044587,0.0,2.8164804,0.6100542571449087,0.21802106588430625,0.005550472,0.9562761,0.315369568606248,0.025937232198116233
Dendritic cell,Dendritic cell,TNFSF13B,HLA-DPB1,2.041671,0.0,2.2064812,1.4236941780894723,1.658026707232985,0.026678734,0.95087934,0.024808787154437083,0.02620157150419656
Pre-B large,Monocyte non-classical,MIF,CD74,2.0321374,0.0,3.0285594,0.6353375928925754,0.44129163634032387,0.005968419,0.957769,0.25715979394962085,0.0264671937517015
CD8 T memory,Monocyte classical,RPS19,C5AR1,2.271688,0.0,1.5946388,0.40020318121466103,0.5198884767183444,0.02117655,0.94271535,0.09738777707034887,0.0264671937517015
Plasmacytoid DC,Monocyte classical,RPS19,C5AR1,2.2463677,0.0,1.5752271,0.3550142584833649,0.4565603996237956,0.020918766,0.9423837,0.14809390443694875,0.026734105105592598
Dendritic cell,Monocyte non-classical,MIF,CD74,2.0216699,0.0,2.9640484,0.622995934460693,0.3059202074234322,0.0058412864,0.95733136,0.27680100165711896,0.026734105105592598
Monocyte non-classical,Dendritic cell,TNFSF13B,HLA-DPB1,1.9913914,0.0,1.8603187,1.3330576844470237,1.7289445267984545,0.022493256,0.9467371,0.03287634554483584,0.02700230126314785
HSPC,T proliferating,MIF,CD74,1.9885021,0.0,3.345729,0.6793533270855519,0.1997945962372687,0.006593469,0.9597379,0.22258537637055198,0.02727177785408292
Plasmacytoid DC,HSPC,APP,CD74,1.983218,0.0,3.6679788,1.9275440898670078,1.01853176804128,0.02566743,0.96147746,0.03905153426566792,0.027542541144702757
Erythroid early,Monocyte non-classical,MIF,CD74,1.9790894,0.0,2.7016313,0.572792911161778,0.2818968256474723,0.0053241374,0.9553974,0.3461155342895815,0.027814583196730025
T proliferating,Erythroid early,TNFSF10,RIPK1,0.08844669,0.024,0.006771066,0.20837597886215942,0.05251451177485255,0.010822277,0.51745784,1.0,0.02796592023833937
T proliferating,Monocyte classical,RPS19,C5AR1,2.2293956,0.003,1.5622157,0.32472305310230476,0.4322614797933363,0.020745976,0.94215816,1.0,0.02808791034392415
CD4 T memory,Pre-B large,MIF,CD74,1.9700965,0.0,2.3378897,0.5222280006304384,0.2095973769631332,0.0046073077,0.95221287,0.47903004628109724,0.02808791034392415
Pre-B small,Monocyte classical,RPS19,C5AR1,2.2286718,0.0,1.5616608,0.3234333618898927,0.47980733294178635,0.020738607,0.94214845,0.19442109803171026,0.028362518199137286
Erythroid late,Monocyte classical,RPS19,C5AR1,2.2172117,0.0,1.5528749,0.3029797415728737,0.4682678019156806,0.020621933,0.9419945,0.23858288192610885,0.028638402307874584
Granulocyte precursor,T proliferating,MIF,CD74,1.9372878,0.0,3.0621543,0.6189705937985506,0.3244784636346679,0.0060346248,0.95799154,0.25028348686026913,0.028638402307874584
T proliferating,T proliferating,MIF,CD74,1.9139757,0.0,2.933075,0.5914853500622903,0.040721963406232575,0.005780246,0.9571163,0.606348931265802,0.029473732945995604
Dendritic cell,Monocyte classical,RPS19,C5AR1,2.1791441,0.002,1.5236907,0.23503792743795288,0.33961182404271917,0.02023437,0.941474,1.0,0.029754728318212548
Plasmacytoid DC,Pre-B large,MIF,CD74,1.904705,0.0,1.9177591,0.44513020106132856,0.05725554791517595,0.0037793512,0.9474987,0.7407255741926653,0.030037003169439143
CD4 T memory,Monocyte non-classical,MIF,CD74,1.904599,0.0,2.2425563,0.4849666546473077,0.27347313672629925,0.004419433,0.9512567,0.5248937571862212,0.03032055299478368
Erythroid early,Monocyte classical,RPS19,C5AR1,2.1630354,0.011,1.5113411,0.2062865196583059,0.3059578618465758,0.02007037,0.9412494,1.0,0.03032055299478368
CD8 T cytotoxic,Erythroid early,LTB,LTBR,0.1155567,1.0,0.0072609126,-0.3415964975342215,-1.2178072183128636,0.0008774532,0.52617186,1.0,0.030499624764849152
