source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
CD8 T cytotoxic,NK,HLA-B,KLRD1,2.9020705,0.0,7.659098,1.677586980853837,2.044288920877895,0.03353357,0.97302127,0.008048663043506177,0.00023421842613105117
Monocyte classical,Monocyte non-classical,S100A8,CD68,3.2021976,0.0,6.44457,2.173658819537528,3.777406239275032,0.11872912,0.9706601,7.559422080581354e-05,0.0002398185148706912
Monocyte classical,Monocyte non-classical,S100A8,ITGB2,3.2015328,0.0,6.4377184,1.505676834300977,3.238858229789648,0.044181038,0.97064495,0.002436349342438381,0.0002454844870312805
CD8 T memory,NK,HLA-B,KLRD1,2.8550937,0.0,7.4685025,1.6339764254439442,1.9857801939352586,0.032699093,0.9726885,0.008889744564774024,0.000299443763356226
NK,NK,HLA-B,KLRD1,2.8363845,0.0,7.392595,1.6166097592598783,1.958657027989931,0.03236675,0.9725525,0.009369905182545248,0.0003450997304575241
Monocyte classical,T proliferating,S100A8,CD69,3.1648822,0.0,6.059923,1.4475578258017952,2.979959079061773,0.048348382,0.96977097,0.0015205199550098443,0.00035188520866953133
Monocyte classical,CD8 T cytotoxic,S100A9,ITGB2,3.2080593,0.0,5.968228,1.4467105713133845,3.338040771824141,0.036873862,0.96954674,0.0054202957944428564,0.00040122511346942836
Monocyte classical,CD8 T cytotoxic,S100A8,ITGB2,3.141384,0.0,5.817704,1.4399455098343683,3.2656889378574387,0.03992598,0.96916735,0.003772817905457153,0.0004460798207716383
T activated,NK,HLA-B,KLRD1,2.7977417,0.0,7.235811,1.5807340955517242,1.8746093077773271,0.03168031,0.97226495,0.01035927773206341,0.0005013983839205636
Plasmacytoid DC,Pre-B small,APP,CD74,2.7916646,0.0,6.0420094,2.387460287323939,2.0696388536324095,0.042280193,0.9697276,0.0029271205752096612,0.0005260907605689058
T proliferating,NK,HLA-B,KLRD1,2.7572749,0.0,7.0716276,1.5431659361140329,1.735937002993441,0.030961469,0.9719538,0.011347629981400697,0.0007154549208256012
Monocyte classical,Plasmacytoid DC,S100A9,CD68,3.1152537,0.0,4.9868374,1.8901194062488111,3.5733828940507295,0.08270997,0.9667797,0.00013695360418679057,0.000978501105376169
Monocyte classical,CD4 T memory,S100A8,CD69,3.0597093,0.0,4.975805,1.339075142935615,3.068834052152377,0.039698873,0.9667441,0.003870719966972114,0.0009898717219741608
Monocyte classical,Plasmacytoid DC,S100A8,CD68,3.0485783,0.0,4.861066,1.8833543447697951,3.5010310600840273,0.08955602,0.96636707,0.00013938622731796862,0.0011806641992693414
Monocyte classical,Pre-B small,S100A8,CD69,3.0463858,0.0,4.838466,1.3253324771545552,3.2520494552150803,0.03860313,0.96629125,0.004385225044158498,0.001205685562876793
Monocyte non-classical,NK,HLA-B,KLRD1,2.6490207,0.0,6.632414,1.4426676753293561,1.6574856744568027,0.029038476,0.9710665,0.015016517348300031,0.0012565086470515611
CD4 T memory,NK,HLA-B,KLRD1,2.6288643,0.0,6.5506353,1.423955100150103,1.5986938786734721,0.028680423,0.97089165,0.015991317243595912,0.0013881180496596425
Pre-B small,NK,HLA-B,KLRD1,2.580082,0.0,6.3527136,1.3786660585672248,1.6410649211442063,0.027813872,0.970455,0.018818894838629262,0.0015689198567970146
Granulocyte precursor,NK,S100A8,ITGB2,2.5798464,0.0,5.7558265,1.2835911569513059,1.8214470153450033,0.039501324,0.9690072,0.003981435005343744,0.0015832816857781944
Granulocyte precursor,Erythroid early,S100A8,CD36,2.530623,0.0,5.4084654,1.8817883269739593,1.876696399698111,0.084594995,0.9680587,0.00014061320961893407,0.001852877314972199
