feature
AHR
AR
ARID2
ARID3A
ARNT
ASCL1
ATF1
ATF2
ATF3
ATF4
ATF6
ATF7
BACH1
BACH2
BATF
BCL11A
BCL6
BHLHE22
BHLHE40
BMAL1
CDX2
CEBPA
CEBPB
CEBPD
CEBPE
CEBPG
CLOCK
CREB1
CREB3
CREB3L1
CREM
CTCF
CTCFL
CUX1
DEAF1
DUX4
E2F1
E2F2
E2F3
E2F4
E2F5
E2F6
E2F7
EBF1
EGR1
EHF
ELF1
ELF3
ELF5
ELK1
ELK4
EOMES
EPAS1
ERG
ESR1
ESR2
ESRRA
ETS1
ETS2
ETV1
ETV4
ETV6
FLI1
FOS
FOSL1
FOSL2
FOXA1
FOXA2
FOXJ2
FOXK1
FOXK2
FOXL2
FOXM1
FOXO1
FOXO3
FOXO4
FOXP1
FOXP2
GABPA
GATA1
GATA2
GATA3
GATA4
GATA6
GFI1B
GLI1
GLI2
GRHL2
HBP1
HES1
HHEX
HIC1
HIF1A
HINFP
HMBOX1
HNF1A
HNF1B
HNF4A
HNF4G
HOXA9
HOXB13
HSF1
IKZF1
IRF1
IRF2
IRF3
IRF4
IRF8
IRF9
JUN
JUNB
JUND
KDM5B
KLF1
KLF13
KLF3
KLF4
KLF5
KLF6
KLF9
KMT2A
KMT2B
LEF1
LHX2
LYL1
MAF
MAFB
MAFF
MAFG
MAFK
MAX
MAZ
MBD1
MBD2
MEF2A
MEF2B
MEF2C
MEIS1
MEIS2
MITF
MNT
MXI1
MYB
MYBL2
MYC
MYCN
MYOD1
NANOG
NCOA1
NCOA2
NCOA3
NEUROD1
NFATC1
NFATC2
NFE2
NFE2L1
NFE2L2
NFIC
NFKB1
NFKB2
NFYA
NFYB
NR1H2
NR1H3
NR1H4
NR2C2
NR2F1
NR2F2
NR2F6
NR3C1
NR4A1
NR5A1
NR5A2
NRF1
ONECUT1
OTX2
PAX5
PAX6
PAX8
PBX2
PBX3
PDX1
PGR
PKNOX1
POU2F1
POU2F2
POU4F2
POU5F1
PPARA
PPARG
PRDM1
PRDM14
PROX1
RARA
RARG
RBPJ
REL
RELA
RELB
REST
RFX1
RFX2
RFX5
RUNX1
RUNX2
RUNX3
RXRA
RXRB
RXRG
SATB1
SIX2
SIX5
SMAD1
SMAD3
SMAD4
SMAD5
SNAI1
SNAI2
SNAPC4
SOX10
SOX11
SOX13
SOX2
SOX6
SOX9
SP1
SP2
SP3
SP4
SPI1
SPIB
SREBF1
SREBF2
SRF
STAT1
STAT2
STAT3
STAT4
STAT5A
STAT5B
STAT6
TAL1
TBP
TBX21
TCF12
TCF3
TCF4
TCF7
TCF7L1
TCF7L2
TEAD1
TEAD2
TEAD4
TFAP2A
TFAP2C
TFAP4
TFDP1
TGIF2
THAP1
THAP11
TP53
TP63
TP73
TWIST1
USF1
USF2
VDR
WT1
XBP1
YY1
ZBED1
ZBTB11
ZBTB33
ZBTB7A
ZC3H8
ZEB1
ZEB2
ZFX
ZHX1
ZHX2
ZKSCAN1
ZNF143
ZNF197
ZNF217
ZNF24
ZNF263
ZNF274
ZNF384
ZNF584
ZNF592
ZNF639
ZNF644
ZNF740
