cell_type,bin,fraction,lineage
Dendritic cell,0,0.125,Plasmacytoid DC
Dendritic cell,1,0.0,Plasmacytoid DC
Dendritic cell,2,0.0,Plasmacytoid DC
Dendritic cell,3,0.0,Plasmacytoid DC
Dendritic cell,4,0.0,Plasmacytoid DC
Dendritic cell,5,0.0,Plasmacytoid DC
Dendritic cell,6,0.0,Plasmacytoid DC
Dendritic cell,7,0.125,Plasmacytoid DC
Dendritic cell,8,0.0,Plasmacytoid DC
Dendritic cell,9,0.0,Plasmacytoid DC
Dendritic cell,10,0.0,Plasmacytoid DC
Dendritic cell,11,0.0,Plasmacytoid DC
Dendritic cell,12,0.0,Plasmacytoid DC
Dendritic cell,13,0.0,Plasmacytoid DC
Dendritic cell,14,0.0,Plasmacytoid DC
Dendritic cell,15,0.0,Plasmacytoid DC
Dendritic cell,16,0.0,Plasmacytoid DC
Dendritic cell,17,0.0,Plasmacytoid DC
Dendritic cell,18,0.0,Plasmacytoid DC
Dendritic cell,19,0.0,Plasmacytoid DC
Dendritic cell,20,0.0,Plasmacytoid DC
Dendritic cell,21,0.0,Plasmacytoid DC
Dendritic cell,22,0.0,Plasmacytoid DC
Dendritic cell,23,0.0,Plasmacytoid DC
Dendritic cell,24,0.0,Plasmacytoid DC
Dendritic cell,25,0.0,Plasmacytoid DC
Dendritic cell,26,0.0,Plasmacytoid DC
Dendritic cell,27,0.0,Plasmacytoid DC
Dendritic cell,28,0.0,Plasmacytoid DC
Dendritic cell,29,0.0,Plasmacytoid DC
Dendritic cell,30,0.0,Plasmacytoid DC
Dendritic cell,31,0.0,Plasmacytoid DC
Dendritic cell,32,0.0,Plasmacytoid DC
Dendritic cell,33,0.0,Plasmacytoid DC
Dendritic cell,34,0.0,Plasmacytoid DC
Dendritic cell,35,0.0,Plasmacytoid DC
Dendritic cell,36,0.0,Plasmacytoid DC
Dendritic cell,37,0.0,Plasmacytoid DC
Dendritic cell,38,0.0,Plasmacytoid DC
Dendritic cell,39,0.0,Plasmacytoid DC
Plasmacytoid DC,0,0.875,Plasmacytoid DC
Plasmacytoid DC,1,1.0,Plasmacytoid DC
Plasmacytoid DC,2,1.0,Plasmacytoid DC
Plasmacytoid DC,3,1.0,Plasmacytoid DC
Plasmacytoid DC,4,1.0,Plasmacytoid DC
Plasmacytoid DC,5,1.0,Plasmacytoid DC
Plasmacytoid DC,6,1.0,Plasmacytoid DC
Plasmacytoid DC,7,0.875,Plasmacytoid DC
Plasmacytoid DC,8,1.0,Plasmacytoid DC
Plasmacytoid DC,9,1.0,Plasmacytoid DC
Plasmacytoid DC,10,1.0,Plasmacytoid DC
Plasmacytoid DC,11,1.0,Plasmacytoid DC
Plasmacytoid DC,12,1.0,Plasmacytoid DC
Plasmacytoid DC,13,1.0,Plasmacytoid DC
Plasmacytoid DC,14,1.0,Plasmacytoid DC
Plasmacytoid DC,15,1.0,Plasmacytoid DC
Plasmacytoid DC,16,1.0,Plasmacytoid DC
Plasmacytoid DC,17,1.0,Plasmacytoid DC
Plasmacytoid DC,18,1.0,Plasmacytoid DC
Plasmacytoid DC,19,1.0,Plasmacytoid DC
Plasmacytoid DC,20,1.0,Plasmacytoid DC
Plasmacytoid DC,21,1.0,Plasmacytoid DC
Plasmacytoid DC,22,1.0,Plasmacytoid DC
Plasmacytoid DC,23,1.0,Plasmacytoid DC
Plasmacytoid DC,24,1.0,Plasmacytoid DC
Plasmacytoid DC,25,1.0,Plasmacytoid DC
Plasmacytoid DC,26,1.0,Plasmacytoid DC
Plasmacytoid DC,27,1.0,Plasmacytoid DC
Plasmacytoid DC,28,1.0,Plasmacytoid DC
Plasmacytoid DC,29,1.0,Plasmacytoid DC
Plasmacytoid DC,30,1.0,Plasmacytoid DC
Plasmacytoid DC,31,1.0,Plasmacytoid DC
Plasmacytoid DC,32,1.0,Plasmacytoid DC
Plasmacytoid DC,33,1.0,Plasmacytoid DC
Plasmacytoid DC,34,1.0,Plasmacytoid DC
Plasmacytoid DC,35,1.0,Plasmacytoid DC
Plasmacytoid DC,36,1.0,Plasmacytoid DC
Plasmacytoid DC,37,1.0,Plasmacytoid DC
Plasmacytoid DC,38,1.0,Plasmacytoid DC
Plasmacytoid DC,39,1.0,Plasmacytoid DC
HSPC,0,1.0,Pre-B large
HSPC,1,0.5555555555555556,Pre-B large
HSPC,2,0.125,Pre-B large
HSPC,3,0.0,Pre-B large
HSPC,4,0.0,Pre-B large
HSPC,5,0.0,Pre-B large
HSPC,6,0.0,Pre-B large
HSPC,7,0.0,Pre-B large
HSPC,8,0.0,Pre-B large
HSPC,9,0.0,Pre-B large
HSPC,10,0.0,Pre-B large
HSPC,11,0.0,Pre-B large
HSPC,12,0.0,Pre-B large
HSPC,13,0.0,Pre-B large
HSPC,14,0.0,Pre-B large
HSPC,15,0.0,Pre-B large
HSPC,16,0.0,Pre-B large
HSPC,17,0.0,Pre-B large
HSPC,18,0.0,Pre-B large
HSPC,19,0.0,Pre-B large
HSPC,20,0.0,Pre-B large
HSPC,21,0.0,Pre-B large
HSPC,22,0.0,Pre-B large
HSPC,23,0.0,Pre-B large
HSPC,24,0.0,Pre-B large
HSPC,25,0.0,Pre-B large
HSPC,26,0.0,Pre-B large
HSPC,27,0.0,Pre-B large
HSPC,28,0.0,Pre-B large
HSPC,29,0.0,Pre-B large
HSPC,30,0.0,Pre-B large
HSPC,31,0.0,Pre-B large
HSPC,32,0.0,Pre-B large
HSPC,33,0.0,Pre-B large
HSPC,34,0.0,Pre-B large
HSPC,35,0.0,Pre-B large
HSPC,36,0.0,Pre-B large
HSPC,37,0.0,Pre-B large
HSPC,38,0.0,Pre-B large
HSPC,39,0.0,Pre-B large
Pre-B large,0,0.0,Pre-B large
Pre-B large,1,0.4444444444444444,Pre-B large
Pre-B large,2,0.875,Pre-B large
Pre-B large,3,1.0,Pre-B large
Pre-B large,4,1.0,Pre-B large
Pre-B large,5,1.0,Pre-B large
Pre-B large,6,1.0,Pre-B large
Pre-B large,7,1.0,Pre-B large
Pre-B large,8,1.0,Pre-B large
Pre-B large,9,1.0,Pre-B large
Pre-B large,10,1.0,Pre-B large
Pre-B large,11,1.0,Pre-B large
Pre-B large,12,1.0,Pre-B large
Pre-B large,13,1.0,Pre-B large
Pre-B large,14,1.0,Pre-B large
Pre-B large,15,1.0,Pre-B large
Pre-B large,16,1.0,Pre-B large
Pre-B large,17,1.0,Pre-B large
Pre-B large,18,1.0,Pre-B large
Pre-B large,19,1.0,Pre-B large
Pre-B large,20,1.0,Pre-B large
Pre-B large,21,1.0,Pre-B large
Pre-B large,22,1.0,Pre-B large
Pre-B large,23,1.0,Pre-B large
Pre-B large,24,1.0,Pre-B large
Pre-B large,25,1.0,Pre-B large
Pre-B large,26,1.0,Pre-B large
Pre-B large,27,1.0,Pre-B large
Pre-B large,28,1.0,Pre-B large
Pre-B large,29,1.0,Pre-B large
Pre-B large,30,1.0,Pre-B large
Pre-B large,31,1.0,Pre-B large
Pre-B large,32,1.0,Pre-B large
Pre-B large,33,1.0,Pre-B large
Pre-B large,34,1.0,Pre-B large
Pre-B large,35,1.0,Pre-B large
Pre-B large,36,1.0,Pre-B large
Pre-B large,37,1.0,Pre-B large
Pre-B large,38,1.0,Pre-B large
Pre-B large,39,1.0,Pre-B large
Erythroid late,0,1.0,Erythroid late
Erythroid late,1,1.0,Erythroid late
Erythroid late,2,1.0,Erythroid late
Erythroid late,3,1.0,Erythroid late
Erythroid late,4,1.0,Erythroid late
Erythroid late,5,1.0,Erythroid late
Erythroid late,6,1.0,Erythroid late
Erythroid late,7,1.0,Erythroid late
Erythroid late,8,1.0,Erythroid late
Erythroid late,9,1.0,Erythroid late
Erythroid late,10,1.0,Erythroid late
Erythroid late,11,1.0,Erythroid late
Erythroid late,12,1.0,Erythroid late
Erythroid late,13,1.0,Erythroid late
Erythroid late,14,1.0,Erythroid late
Erythroid late,15,1.0,Erythroid late
Erythroid late,16,1.0,Erythroid late
Erythroid late,17,1.0,Erythroid late
Erythroid late,18,1.0,Erythroid late
Erythroid late,19,1.0,Erythroid late
Erythroid late,20,1.0,Erythroid late
Erythroid late,21,1.0,Erythroid late
Erythroid late,22,1.0,Erythroid late
Erythroid late,23,1.0,Erythroid late
Erythroid late,24,1.0,Erythroid late
Erythroid late,25,1.0,Erythroid late
Erythroid late,26,1.0,Erythroid late
Erythroid late,27,1.0,Erythroid late
Erythroid late,28,1.0,Erythroid late
Erythroid late,29,1.0,Erythroid late
Erythroid late,30,1.0,Erythroid late
Erythroid late,31,1.0,Erythroid late
Erythroid late,32,1.0,Erythroid late
Erythroid late,33,1.0,Erythroid late
Erythroid late,34,1.0,Erythroid late
Erythroid late,35,1.0,Erythroid late
Erythroid late,36,1.0,Erythroid late
Erythroid late,37,1.0,Erythroid late
Erythroid late,38,1.0,Erythroid late
Erythroid late,39,1.0,Erythroid late
Erythroid early,0,1.0,Erythroid early
Erythroid early,1,1.0,Erythroid early
Erythroid early,2,1.0,Erythroid early
Erythroid early,3,1.0,Erythroid early
Erythroid early,4,1.0,Erythroid early
Erythroid early,5,1.0,Erythroid early
Erythroid early,6,1.0,Erythroid early
Erythroid early,7,1.0,Erythroid early
Erythroid early,8,1.0,Erythroid early
Erythroid early,9,1.0,Erythroid early
Erythroid early,10,1.0,Erythroid early
Erythroid early,11,1.0,Erythroid early
Erythroid early,12,1.0,Erythroid early
Erythroid early,13,1.0,Erythroid early
Erythroid early,14,1.0,Erythroid early
Erythroid early,15,0.9642857142857143,Erythroid early
Erythroid early,16,0.9642857142857143,Erythroid early
Erythroid early,17,1.0,Erythroid early
Erythroid early,18,0.9642857142857143,Erythroid early
Erythroid early,19,1.0,Erythroid early
Erythroid early,20,0.9285714285714286,Erythroid early
Erythroid early,21,1.0,Erythroid early
