gene,bin,scaled,lineage
SCN9A,32,-0.24039826,Plasmacytoid DC
SCN9A,33,0.4717751,Plasmacytoid DC
SCN9A,34,0.30623227,Plasmacytoid DC
SCN9A,35,1.245758,Plasmacytoid DC
SCN9A,36,-0.26179823,Plasmacytoid DC
SCN9A,37,-0.11182575,Plasmacytoid DC
SCN9A,38,-1.5698804,Plasmacytoid DC
SCN9A,39,0.6043749,Plasmacytoid DC
UGCG,0,0.09328524,Plasmacytoid DC
UGCG,1,-0.10460487,Plasmacytoid DC
UGCG,2,-1.8133621,Plasmacytoid DC
UGCG,3,-0.38377854,Plasmacytoid DC
UGCG,4,-1.3437123,Plasmacytoid DC
UGCG,5,-0.8052434,Plasmacytoid DC
UGCG,6,0.37437642,Plasmacytoid DC
UGCG,7,1.338042,Plasmacytoid DC
UGCG,8,1.5670894,Plasmacytoid DC
UGCG,9,-0.22804926,Plasmacytoid DC
UGCG,10,0.6236403,Plasmacytoid DC
UGCG,11,-1.4998986,Plasmacytoid DC
UGCG,12,2.107603,Plasmacytoid DC
UGCG,13,0.09986161,Plasmacytoid DC
UGCG,14,-0.69540966,Plasmacytoid DC
UGCG,15,-0.7556709,Plasmacytoid DC
UGCG,16,-0.2239725,Plasmacytoid DC
UGCG,17,0.6647919,Plasmacytoid DC
UGCG,18,-0.04462101,Plasmacytoid DC
UGCG,19,0.53818244,Plasmacytoid DC
UGCG,20,-0.6133894,Plasmacytoid DC
UGCG,21,0.22801122,Plasmacytoid DC
UGCG,22,-1.4200102,Plasmacytoid DC
UGCG,23,1.0347923,Plasmacytoid DC
UGCG,24,-0.44534093,Plasmacytoid DC
UGCG,25,0.71449023,Plasmacytoid DC
UGCG,26,-0.3782723,Plasmacytoid DC
UGCG,27,0.30592877,Plasmacytoid DC
UGCG,28,-2.3787124,Plasmacytoid DC
UGCG,29,0.46324039,Plasmacytoid DC
UGCG,30,-0.63712025,Plasmacytoid DC
UGCG,31,0.91405785,Plasmacytoid DC
UGCG,32,1.2171857,Plasmacytoid DC
UGCG,33,-0.8802335,Plasmacytoid DC
UGCG,34,1.5264853,Plasmacytoid DC
UGCG,35,0.39013702,Plasmacytoid DC
UGCG,36,1.8924063,Plasmacytoid DC
UGCG,37,-0.7677044,Plasmacytoid DC
UGCG,38,-0.4132328,Plasmacytoid DC
UGCG,39,-0.2612514,Plasmacytoid DC
JCHAIN,0,-1.6308992,Plasmacytoid DC
JCHAIN,1,-1.8938158,Plasmacytoid DC
JCHAIN,2,-2.3647337,Plasmacytoid DC
JCHAIN,3,-0.00046116416,Plasmacytoid DC
JCHAIN,4,-1.178976,Plasmacytoid DC
JCHAIN,5,-0.32486603,Plasmacytoid DC
JCHAIN,6,-0.5537298,Plasmacytoid DC
JCHAIN,7,-2.8851876,Plasmacytoid DC
JCHAIN,8,-0.17506987,Plasmacytoid DC
JCHAIN,9,-0.6911553,Plasmacytoid DC
JCHAIN,10,-0.56024927,Plasmacytoid DC
JCHAIN,11,0.0011152158,Plasmacytoid DC
JCHAIN,12,-0.4858354,Plasmacytoid DC
JCHAIN,13,-0.30103764,Plasmacytoid DC
JCHAIN,14,0.43915325,Plasmacytoid DC
JCHAIN,15,0.23279077,Plasmacytoid DC
JCHAIN,16,0.063507535,Plasmacytoid DC
JCHAIN,17,0.39699918,Plasmacytoid DC
