cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
Pre-B large,Reactome,Transcription-Coupled Nucleotide Excision Repair (TC-NER),0.7602432797153663,1.2663667819885245,0.0,0.044617560979377024,0.992,49/74,15.10%,PCNA;UBB;RPA3;POLR2G;RBX1;COPS3;POLE3;POLR2J;RFC5;POLR2K;RPA1;LIG1;TCEA1;RFC2;POLR2E;RFC4;POLR2I;POLR2C;COPS8;POLD2;DDB1;RFC3;RFC1;COPS6;POLR2D;POLR2H;COPS5;PRPF19;RPA2;COPS4;POLR2B;GTF2H5;POLR2F;COPS2;GPS1;POLR2A;POLD1;POLD3;POLR2L;ERCC1;XRCC1;ISY1;PPIE;POLE4;POLE;XPA;MNAT1;COPS7B;POLE2
Pre-B large,Reactome,Processing of Capped Intronless Pre-mRNA,0.7862773362861217,1.2656266769598132,0.008016032064128256,0.04465182409404354,0.992,22/29,15.98%,SLBP;SNRPB;SNRPE;SNRPD3;SNRPG;SNRPF;NUDT21;CPSF6;PABPN1;PAPOLA;FIP1L1;NCBP2;CPSF3;WDR33;CPSF4;CSTF3;LSM10;CPSF7;NCBP1;SYMPK;CSTF2T;CPSF2
Pre-B large,Reactome,Aerobic Respiration and Respiratory Electron Transport,0.7432845838280991,1.26595056608872,0.0,0.04484276522225687,0.992,151/233,17.48%,VDAC1;UBB;IDH2;PKM;ATP5F1C;LDHA;ATP5MC3;NDUFA4;GLO1;COX5A;ATP5F1B;ATP5PF;MPC2;MDH1;ATP5MG;COX8A;NDUFB4;ATP5MF;NDUFS6;COX6C;LDHB;UQCRH;ATP5F1A;COX7B;COX6A1;NDUFAF3;NDUFB3;ATP5PB;CYC1;UQCRC2;UQCRFS1;NDUFA6;SDHA;SUCLG1;NDUFA2;NDUFS3;UQCRC1;NDUFB10;UCP2;NDUFC2;ATP5PO;NDUFAB1;NDUFS8;CYCS;NDUFB6;SLC25A11;NDUFA12;ATP5MC2;UQCRQ;UQCR10;NDUFV1;ETFA;SDHC;FH;NDUFB11;NDUFA10;COX17;NDUFA11;NDUFV2;PNKD;ATP5MC1;NDUFA9;IDH3B;COX7A2L;COX6B1;NDUFB5;MDH2;NDUFA5;NDUFS7;TMEM126A;SDHB;PDHA1;PDHB;GID8;NDUFA13;RAB5IF;NDUFB7;NDUFS4;MPC1;COX7A2;PYURF;ISCA2;UQCC3;NDUFB1;SDHAF3;HSPA9;IDH3G;NDUFA8;NDUFA1;COX20;NDUFB8;ME2;ETFB;HIGD1A;SDHD;COA1;GOT2;OXA1L;TMEM126B;COA3;ATP5PD;NDUFB9;COX11;DLD;COX14;MRPS36;CS;NDUFAF8;DLST;TIMMDC1;LYRM4;NDUFS2;NNT;NDUFAF1;NDUFA3;SUCLG2;LETM1;SMIM20;NDUFA7;UQCC2;ATP5ME;SUCLA2;SDHAF2;ACAT1;TRAP1;COX5B;PET100;ACO2;COA5;FOXRED1;COX19;NDUFS1;ATP5F1D;MAEA;DLAT;RMND5A;LYRM2;NDUFC1;NDUFAF6;NDUFB2;NDUFAF4;COQ10A;ECSIT;ISCA1;CSKMT;NDUFV3;IDH3A;TTC19;GSTZ1;SFXN4;ACAD9
Pre-B large,Reactome,Activation of BH3-only Proteins,0.7811353973598052,1.2656960687723395,0.009036144578313253,0.04486341616745857,0.992,16/30,14.27%,YWHAQ;YWHAE;YWHAH;TFDP1;TFDP2;DYNLL1;YWHAB;E2F1;TP53;PMAIP1;YWHAZ;BID;BAD;PPP3CC;YWHAG;AKT2
Pre-B large,Reactome,Attenuation Phase,0.7924697088752857,1.26368821696286,0.009109311740890687,0.04584223863073088,0.997,11/25,13.13%,UBB;HSP90AA1;HSPA8;PTGES3;HSBP1;MRPL18;HSP90AB1;FKBP4;HSPH1;DNAJB6;HSF1
Pre-B large,Reactome,RHOBTB1 GTPase Cycle,0.7907027137712223,1.263734841550167,0.025329280648429583,0.0460414334776602,0.997,14/23,8.54%,RBMX;HNRNPC;CCT2;VIM;CCT7;TRA2B;TXNL1;ROCK1;DBN1;SRRM1;RBBP6;COPS4;COPS2;GPS1
Pre-B large,Reactome,Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects,0.7795358483181032,1.2629464836626232,0.006018054162487462,0.046193444772569585,0.997,30/36,20.11%,CCND3;UBE2C;TFDP1;TFDP2;ANAPC11;UBE2E1;CDK4;E2F1;E2F2;UBE2S;RB1;CDK2;CDK6;ANAPC15;ANAPC5;SKP2;CCNE2;CDC26;CDC27;ANAPC10;ANAPC2;FZR1;ANAPC7;ANAPC4;CDC16;CDC23;ANAPC16;CCNE1;UBE2D1;E2F3
Pre-B large,Reactome,Abortive Elongation of HIV-1 Transcript in the Absence of Tat,0.7959207582083752,1.2630185455526335,0.014098690835850957,0.04633180429383642,0.997,17/23,9.82%,POLR2G;POLR2J;POLR2K;NELFE;POLR2E;POLR2I;POLR2C;POLR2D;POLR2H;SUPT4H1;POLR2B;NCBP2;NELFCD;POLR2F;GTF2F1;POLR2A;POLR2L
Pre-B large,Reactome,AURKA Activation by TPX2,0.7584112395813177,1.2617466933374044,0.0,0.04701976291796842,0.998,59/71,21.23%,TUBB;HSP90AA1;YWHAE;TUBB4B;HAUS1;DYNLL1;CDK1;TPX2;MAPRE1;PPP2R1A;DCTN3;CEP57;TUBA1A;SSNA1;HMMR;DCTN2;PCM1;TUBG1;CEP135;CNTRL;OFD1;ODF2;CEP78;PLK1;DYNC1I2;CCP110;CDK5RAP2;CETN2;ACTR1A;CKAP5;CEP41;CEP63;PAFAH1B1;HAUS8;PLK4;NEK2;DYNC1H1;HAUS2;AKAP9;CENPJ;SDCCAG8;YWHAG;CSNK1E;CEP152;PCNT;CEP70;HAUS5;HAUS6;HAUS4;CSNK1D;CEP131;AURKA;TUBA4A;CEP76;CEP192;HAUS3;HAUS7;CEP290;DCTN1
Pre-B large,Reactome,Mismatch Repair,0.820343853612726,1.261961602018988,0.030832476875642344,0.04703600463227515,0.998,11/15,10.56%,PCNA;RPA3;RPA1;LIG1;POLD2;MSH6;RPA2;MSH2;POLD1;POLD3;MLH1
