cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
Dendritic cell,KEGG,Glycerophospholipid metabolism,0.6110988493782467,0.9868875976500687,0.606,0.7476860588429957,1.0,27/84,25.89%,PLD4;LYPLA1;CHPT1;GPAT3;MBOAT7;AGPAT2;DGKZ;LPCAT2;PLD3;PTDSS1;LPGAT1;CRLS1;AGPAT1;PNPLA6;GPCPD1;LYPLA2;PCYT1A;PLB1;CDIPT;ETNK1;TAZ;GPAT4;CHKA;CDS2;AGPAT3;PEMT;MBOAT2
Dendritic cell,KEGG,Peroxisome,0.6148800436102783,0.9859590191287111,0.621,0.750475727226012,1.0,36/76,29.62%,CAT;SCP2;IDH2;ACAA1;PRDX1;PRDX5;ECH1;PMVK;GSTK1;PEX16;PXMP2;ACSL5;FAR1;AGPS;ACOT8;HSD17B4;PEX2;ACSL4;DHRS4;MPV17;SOD2;IDH1;ECI2;ACSL3;CRAT;MPV17L2;PEX26;ABCD3;PEX14;HACL1;PEX13;NUDT19;PEX19;PEX11B;ACOX1;HMGCL
Dendritic cell,KEGG,Human papillomavirus infection,0.5993118163620051,0.9846599143992834,0.668,0.7554206910075495,1.0,93/287,23.38%,PKM;ATP6V0B;ATP6V1F;RBPJ;GRB2;GNAS;EIF4EBP1;ATP6V0D1;ITGB7;ATP6AP1;MAP2K1;CSNK1A1;HDAC2;PPP2CA;CTNNB1;BAX;RHEB;CDC42;PSMC1;ATP6V0E1;PPP2R1A;BCAP31;ATP6V1E1;PTGER4;SLC9A3R1;RB1;ISG15;ATP6V1D;TP53;TCIRG1;COL9A2;CDKN1A;ATP6V1H;PPP2R3C;CDK4;NFKB1;CCND3;MAPK1;HDAC1;TNFRSF1A;IFNAR2;TADA3;ITGA4;TYK2;PTEN;KRAS;ATP6V1B2;ITGB1;TRADD;ATP6V1A;EIF2AK2;NRAS;CREB1;UBE3A;EP300;RAF1;IFNAR1;JAK1;BAD;CHD4;MAP2K2;PTGS2;CREB5;NOTCH2;MFNG;TBPL1;PRKACA;PSEN1;CREBBP;STAT1;MAML3;ATP6V1C1;BAK1;MX1;CREB3;CREB3L2;TBK1;STAT2;GSK3B;CASP8;AKT1;MX2;RELA;PPP2R2A;PPP2R5E;CCNA2;VEGFA;IKBKB;HRAS;ITGA5;AKT2;PXN;ATP6V0A1
Dendritic cell,KEGG,"Glycine, serine and threonine metabolism",0.6287159387880612,0.9814983108634623,0.5903614457831325,0.7712370070318444,1.0,7/34,18.58%,PGAM1;GRHPR;SHMT2;DLD;PHGDH;ALDH7A1;GCSH
Dendritic cell,KEGG,Th1 and Th2 cell differentiation,0.6079146497163425,0.980210535563989,0.659,0.7755532947275489,1.0,29/87,17.65%,HLA-DPA1;HLA-DRA;HLA-DRB1;HLA-DPB1;HLA-DMA;HLA-DQB1;HLA-DQA1;HLA-DMB;HLA-DRB5;FOS;RBPJ;IFNGR1;NFKB1;HLA-DOA;MAPK1;JAK2;CD4;HLA-DQA2;STAT6;TYK2;IFNGR2;PPP3CA;JAK1;PPP3R1;NOTCH2;MAPK14;STAT1;MAML3;IL2RG
Dendritic cell,KEGG,AMPK signaling pathway,0.6047441294957978,0.9769331547741384,0.66,0.7912602962883701,1.0,46/106,28.37%,EIF4EBP1;PPP2CA;CD36;FBP1;RHEB;RAB8A;PPP2R1A;ELAVL1;ADIPOR1;RAB2A;PFKL;RAB14;RAB11B;PPP2R3C;PRKAG2;RAB10;PRKAG1;G6PC3;CREB1;INSR;CAB39;CREB5;TBC1D1;PFKFB3;CREB3;CREB3L2;CPT1A;FOXO3;AKT1;PFKP;PPP2R2A;HMGCR;PPP2R5E;PDPK1;CCNA2;AKT2;STRADB;STRADA;PIK3CB;TSC2;MAP3K7;CRTC2;PPP2CB;ADIPOR2;PCK2;PPP2R5A
Dendritic cell,KEGG,Cushing syndrome,0.6004887245701038,0.9767643472342461,0.673,0.7890356557842454,1.0,40/128,25.25%,GNAI2;GNAS;GNAI3;MAP2K1;ATF4;GNAQ;CTNNB1;RAP1A;NR4A1;AIP;RB1;PLCB2;AHR;CDKN1A;CDK4;FH;MAPK1;ADCY7;USP8;CREB1;MAP2K2;CREB5;RAP1B;PRKACA;ATF6B;CREB3;CREB3L2;ASH2L;CAMK2G;GSK3B;ITPR1;E2F3;WDR5;BRAF;POMC;CDKN2C;DVL3;SP1;MAPK3;LDLR
Dendritic cell,KEGG,Coronavirus disease,0.6031951010724081,0.9766728373435688,0.675,0.7863635737004004,1.0,53/107,30.15%,FOS;CASP1;SYK;MYD88;IL1B;IL6R;ISG15;HBEGF;PRKCB;NFKB1;CYBB;MAPK1;TNFRSF1A;IFNAR2;CFD;TYK2;TAB2;NLRP3;EIF2AK2;RSL24D1;IFNAR1;FCGR2A;JAK1;ADAR;IRAK1;MAPK14;STAT1;IRAK4;MX1;NFKBIB;TBK1;ADAM17;STAT2;OAS1;MX2;RELA;IKBKB;MAPK3;PIK3CB;F13A1;STAT3;MAP3K7;IKBKG;CHUK;MAPK9;OAS2;IRF9;PIK3CD;MAPK8;NFKBIA;OAS3;CGAS;PLCG2
Dendritic cell,KEGG,Herpes simplex virus 1 infection,0.5907328186799778,0.9758782474764894,0.778,0.787580892061557,1.0,65/463,15.31%,HLA-DPA1;HLA-DRA;HLA-DRB1;HLA-DPB1;CD74;HLA-DMA;HLA-DQB1;HLA-DQA1;HLA-DMB;CFP;HLA-DRB5;BID;BST2;PPP1CA;PDIA3;EIF4EBP1;SRSF9;CALR;SRSF2;PPP1CB;CYCS;SRSF3;IFNGR1;BAX;RHEB;SYK;PPP1CC;TAPBP;MYD88;EIF2AK4;IL1B;SRSF6;PILRA;SRSF4;TP53;IRF7;NFKB1;HLA-DOA;TAP1;SRSF1;SP100;JAK2;TNFRSF1A;IFNAR2;APAF1;HLA-DQA2;SRSF5;EIF2AK1;TYK2;ALYREF;TAB2;EIF2B1;EIF2S1;SRSF7;TAP2;TRADD;IFNGR2;HCFC1;EIF2AK2;IFNAR1;JAK1;BAD;BIRC2;POU2F2;ZNF791
Dendritic cell,KEGG,AGE-RAGE signaling pathway in diabetic complications,0.6008237054443542,0.9715646285058264,0.681,0.8079433476566804,1.0,41/90,30.15%,RAC1;BAX;CDC42;IL1B;PLCB2;DIAPH1;CDK4;PRKCB;NFKB1;CYBB;MAPK1;TGFB1;JAK2;PRKCD;KRAS;ICAM1;NRAS;SMAD2;MAPK14;THBD;STAT1;TGFBR1;BCL2;AKT1;RELA;VEGFA;HRAS;AKT2;TGFBR2;MAPK3;PIK3CB;STAT3;PLCD1;MAPK9;VEGFB;SMAD3;PIK3CD;MAPK8;PRKCE;EGR1;PLCG2
