cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
Monocyte non-classical,GO_BP,Nucleosome Disassembly (GO:0006337),-0.6346072041235897,-1.2001047482986689,0.26721763085399447,0.6050977189362677,1.0,11/15,12.76%,SUPT16H;SSRP1;SMARCA4;SMARCC2;NFE2;SMARCC1;SMARCB1;GRWD1;SMARCD1;SMARCE1;HMGA1
Monocyte non-classical,GO_BP,Protein Modification By Small Protein Removal (GO:0070646),-0.44294853683608404,-1.199933405317291,0.06521739130434782,0.6014289949248209,1.0,16/91,8.37%,HINT1;TNFAIP3;EIF3F;USP48;USP10;CDK1;UCHL5;USP34;USP11;USP14;COPS5;COPS7B;USP1;COPS6;USP5;DEPDC1B
Monocyte non-classical,GO_BP,Regulation Of Peptidyl-Threonine Phosphorylation (GO:0010799),0.6555231021134411,1.1998919147240688,0.23483870967741935,0.44657446118484506,1.0,6/33,4.77%,CALM2;TGFB1;RIPK2;PRKAG2;CALM3;MAPK1
Monocyte non-classical,GO_BP,Protein Methylation (GO:0006479),-0.537053771850917,-1.199218279596188,0.19548872180451127,0.5992052156545006,1.0,15/30,15.40%,TRMT112;PRMT2;PRMT1;CSKMT;GSPT1;FAM98B;METTL21A;EEF1AKMT2;PRMT7;PRMT5;EEF1AKMT1;LCMT1;FAM98A;ICMT;PRMT3
Monocyte non-classical,GO_BP,Regulation Of Protein Autophosphorylation (GO:0031952),0.6629587877235541,1.1992110293499982,0.2589041095890411,0.4478612761434052,1.0,11/29,11.30%,CALM2;CHP1;DDX3X;MVP;CALM3;RASSF2;VEGFA;ENG;RAP2C;NBN;RAP2A
Monocyte non-classical,GO_BP,Purine Ribonucleotide Catabolic Process (GO:0009154),-0.566084709402561,-1.1987362972603606,0.22992700729927007,0.5964946804031104,1.0,4/24,10.34%,HINT1;NUDT8;SUCLG2;SORD
Monocyte non-classical,GO_BP,Regulation Of BMP Signaling Pathway (GO:0030510),0.6169439587260516,1.1986397092349301,0.21245421245421245,0.4488206217135763,1.0,23/59,20.58%,UBE2D3;RBPJ;UBE2D1;SKIL;ENG;SMAD2;XIAP;SMAD7;FSTL1;GPR155;HIPK2;CHRDL1;TNFAIP6;PPARG;BMPR2;SMURF1;TMEM53;PCSK6;FST;FSTL3;BMPER;TRIM33;SKI
Monocyte non-classical,GO_BP,Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412),0.6184781708834334,1.1985536717090552,0.2186761229314421,0.4486059262641482,1.0,9/53,9.10%,CNIH4;UTRN;YWHAE;MEF2C;DAPK1;YWHAH;APP;PPIF;PTK2B
Monocyte non-classical,GO_BP,Respiratory Chain Complex IV Assembly (GO:0008535),0.692814846226818,1.1982966996717943,0.26564673157162727,0.44882104088203384,1.0,5/23,6.20%,PET100;COX17;STMP1;SURF1;COX14
Monocyte non-classical,GO_BP,Chondrocyte Differentiation (GO:0002062),0.6823585465243694,1.1982250345939407,0.24820659971305595,0.44855206344653487,1.0,3/26,5.55%,TGFB1;MEF2C;SULF2
