cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
HSPC,Reactome,Switching of Origins to a Post-Replicative State,0.7432938047024871,1.3095306156279283,0.0,0.029497174028611923,0.899,55/77,15.87%,PSMA4;SEM1;PSMA2;PSMA1;UBE2E1;PSMB7;MCM7;PSMB2;PSMA5;MCM3;PSMA3;ANAPC5;UBB;PSMC5;PSMB5;PSMD8;MCM5;PSMC3;PSMB1;PSMD6;RBX1;PSMD7;PSMB6;PSMB4;PSMC1;ANAPC11;PSMD14;CDT1;PSMD2;PSMA7;PSMD13;CDC26;PSMC6;PSMC2;PSMD3;PSMB3;ADRM1;ANAPC15;MCM4;MCM2;PSMC4;SKP1;PSMD11;PSMD12;PSMD1;MCM6;GMNN;PSMA6;CUL1;CDC16;CDK2;ORC4;ANAPC7;UBE2C;ORC6
HSPC,Reactome,HSP90 Chaperone Cycle for Steroid Hormone Receptors (SHR) in the Presence of Ligand,0.7604601366990044,1.3091523132394032,0.0,0.02952768610991763,0.9,25/50,13.21%,HSP90AB1;TUBA1B;HSP90AA1;DYNLL1;TUBA1C;PTGES3;TUBA1A;FKBP4;CAPZA2;DCTN2;DNAJA1;DYNC1I2;HSPA8;TUBB4B;CAPZA1;DCTN3;ACTR10;DYNC1H1;STIP1;DCTN6;CAPZB;FKBP5;DNAJA2;ACTR1A;DYNC1LI1
HSPC,Reactome,UCH Proteinases,0.7476607086493338,1.305284629053336,0.0,0.03216316464396967,0.916,45/69,15.18%,PSMA4;SEM1;PSMA2;PSMA1;PSMB7;PSMB2;PSMA5;PSMA3;UBB;PSMC5;PSMB5;PSMD8;PSMC3;YY1;PSMB1;PSMD6;PSMD7;PSMB6;PSMB4;PSMC1;PSMD14;RUVBL1;PSMD2;PSMA7;PSMD13;UCHL3;PSMC6;PSMC2;PSMD3;NEDD8;ACTL6A;PSMB3;ADRM1;PSMC4;PSMD11;PSMD12;PSMD1;INO80C;UCHL5;OGT;PSMA6;TFPT;HCFC1;MCRS1;TGFB1
HSPC,Reactome,Mitochondrial Calcium Ion Transport,0.7825476310277029,1.303775830340642,0.009081735620585268,0.03311721544712027,0.923,15/22,14.53%,VDAC1;STOML2;PHB;VDAC2;PHB2;VDAC3;PMPCB;PARL;AFG3L2;MICU2;YME1L1;SPG7;PMPCA;SMDT1;LETM1
HSPC,Reactome,RHOBTB GTPase Cycle,0.7674703094316686,1.3015808694272009,0.002004008016032064,0.03452498470256741,0.935,21/35,12.09%,HSP90AB1;ACTG1;MSI2;CCT2;HSP90AA1;CCT6A;RBMX;CCT7;TXNL1;HNRNPC;PHIP;CDC37;COPS4;ROCK1;VIM;COPS2;RBBP6;SRRM1;TRA2B;GPS1;ACTN1
HSPC,Reactome,Citric Acid Cycle (TCA Cycle),0.7698237238740395,1.3014654775834444,0.001,0.03433627476968685,0.935,25/34,14.44%,IDH2;MDH2;SUCLG1;SDHC;LYRM4;SDHD;SDHAF3;DLD;SDHA;IDH3B;FH;MRPS36;FXN;SDHB;IDH3G;ACAT1;TRAP1;SUCLA2;CS;ISCA1;ACO2;NNT;ISCA2;DLST;SDHAF2
HSPC,Reactome,Regulation of APC C Activators Between G1 S and Early Anaphase,0.7431542029627594,1.3012059075771807,0.0,0.03436594890766718,0.937,46/66,15.27%,PSMA4;SEM1;PSMA2;PSMA1;UBE2E1;PSMB7;PSMB2;PSMA5;PSMA3;ANAPC5;UBB;MAD2L1;PSMC5;PSMB5;PSMD8;PSMC3;PSMB1;PSMD6;PSMD7;PSMB6;PSMB4;PSMC1;ANAPC11;PSMD14;PSMD2;PSMA7;PSMD13;CDC26;PSMC6;PSMC2;PSMD3;PSMB3;ADRM1;ANAPC15;BUB3;PSMC4;SKP1;PSMD11;PSMD12;PSMD1;PSMA6;CUL1;CDC16;CDK2;ANAPC7;UBE2C
HSPC,Reactome,Defective Intrinsic Pathway for Apoptosis,0.776140055759747,1.2991944694874522,0.010040160642570281,0.035799666561509756,0.943,10/25,9.48%,PRDX1;YWHAE;C1QBP;PRDX2;TP53;LMNB1;APP;CAPNS1;CAPN1;SOD2
HSPC,Reactome,Signaling by ROBO Receptors,0.7343305951849977,1.2989705531007734,0.0,0.035696352206678605,0.945,55/104,13.46%,PSMA4;SEM1;PSMA2;PSMA1;PSMB7;PSMB2;PSMA5;PSMA3;MAGOH;UBB;PSMC5;PSMB5;PSMD8;PSMC3;RNPS1;PSMB1;PSMD6;RBX1;PSMD7;ELOC;PSMB6;PSMB4;NCBP2;PSMC1;PRKACB;RBM8A;UPF3A;RAC1;RHOA;PSMD14;PAK2;PSMD2;PSMA7;PSMD13;EIF4A3;PSMC6;PSMC2;PSMD3;MAGOHB;UPF3B;PSMB3;UPF2;ADRM1;GSPT1;PSMC4;PSMD11;PSMD12;CAP1;PSMD1;ETF1;PABPC1;EIF4G1;NCK1;PSMA6;VASP
HSPC,Reactome,Metabolism of Amino Acids and Derivatives,0.7213206154929769,1.29595102836301,0.0,0.03778922848010939,0.952,99/224,17.84%,AMD1;PSMA4;SEM1;GCSH;PSMA2;PSMA1;AHCY;GLUL;PSMB7;SMS;SRM;GRHPR;PSMB2;ECHS1;MPST;PSMA5;PSMA3;TXN2;PHGDH;GAMT;PCBD1;PXMP2;PSMC5;PSMB5;PSMD8;PSMC3;PSMB1;PSMD6;PSMD7;PSMB6;PSMB4;PSMC1;EEF1E1;HSD17B10;PSMD14;NMRAL1;ADI1;ETHE1;PSMD2;PSMA7;AIMP1;DLD;PSMD13;GLUD1;PSMC6;PSMC2;PYCR2;PSMD3;TSTD1;PAPSS1;SERINC3;QDPR;MRPS36;FAH;SEPHS2;APIP;PSMB3;HIBCH;ADRM1;BCKDK;ENOPH1;ODC1;PSMC4;ACAT1;SLC3A2;OAZ2;PSMD11;PSMD12;PSMD1;TXNRD1;OAT;BCAT1;ALDH9A1;AZIN1;AIMP2;GOT2;KYAT3;ASRGL1;SECISBP2;GCAT;ALDH18A1;SLC44A1;PSMA6;ALDH7A1;DLST;BCKDHB;MCCC1;PYCR1;GCDH;GSTZ1;HIBADH;AFMID;IVD;RIMKLB;ALDH6A1;BCAT2;PSPH;MTAP;MCCC2
HSPC,Reactome,Interleukin-12 Family Signaling,0.7445245816751561,1.2948878344335792,0.001,0.038447976015147704,0.957,32/53,20.54%,TALDO1;PPIA;CANX;TCP1;GSTO1;MIF;HNRNPF;HSPA9;HNRNPA2B1;PSME2;P4HB;SOD1;PAK2;LMNB1;CAPZA1;SNRPA1;MSN;ARF1;HNRNPDL;PDCD4;RALA;SOD2;RAP1B;VAMP7;AIP;LCP1;STAT1;CNN2;MTAP;STAT3;IL27RA;JAK1
HSPC,Reactome,Signaling by FGFR2 in Disease,0.7605639742720247,1.2948860325179183,0.005005005005005005,0.038156703469578404,0.957,19/34,16.81%,POLR2F;POLR2E;POLR2G;POLR2I;NCBP2;POLR2K;POLR2H;GTF2F1;POLR2J;POLR2L;POLR2D;POLR2C;GTF2F2;POLR2B;KRAS;GRB2;POLR2A;PIK3R1;NRAS
HSPC,Reactome,RNA Polymerase II Transcription Termination,0.7462109709568349,1.2945008371280684,0.0,0.038295892249545896,0.958,51/66,19.62%,SNRPE;THOC7;SRSF9;SRSF3;SNRPF;SRSF6;PABPN1;SNRPB;SNRPD3;SRSF2;MAGOH;SLBP;RNPS1;SNRPG;NCBP2;CPSF6;RBM8A;SRSF1;THOC2;NUDT21;DDX39A;PAPOLA;SRSF11;SLU7;THOC6;EIF4A3;FYTTD1;MAGOHB;CSTF3;CHTOP;UPF3B;SRSF5;SRSF4;CPSF3;FIP1L1;SRRM1;WDR33;U2AF2;THOC3;PCF11;SYMPK;CSTF2T;CDC40;SRSF7;CPSF1;POLDIP3;CPSF7;CPSF4;ALYREF;THOC1;CASC3
HSPC,Reactome,RA Biosynthesis Pathway,0.7991232097664878,1.2913793154728226,0.011235955056179775,0.04073708803445222,0.969,5/17,13.16%,AKR1C3;ALDH1A1;RDH11;DHRS4;RDH14
HSPC,Reactome,Cristae Formation,0.7729185510000712,1.2894071957170437,0.0030211480362537764,0.042324292200298125,0.976,18/26,10.77%,ATP5F1B;ATP5F1C;ATP5F1A;ATP5MC2;ATP5PF;ATP5MC3;ATP5MC1;ATP5PB;HSPA9;ATP5MF;CHCHD3;ATP5PD;IMMT;ATP5PO;SAMM50;MTX1;ATP5F1D;MTX2
HSPC,Reactome,Selenoamino Acid Metabolism,0.7834497635823663,1.288913125469298,0.012133468149646108,0.04256626602321742,0.978,8/20,12.28%,AHCY;EEF1E1;AIMP1;PAPSS1;SEPHS2;TXNRD1;AIMP2;SECISBP2
HSPC,Reactome,Processing of SMDT1,0.7972813884891464,1.288873692909336,0.019289340101522844,0.04229835379541537,0.979,11/15,13.30%,STOML2;PHB;PHB2;PMPCB;PARL;AFG3L2;MICU2;YME1L1;SPG7;PMPCA;SMDT1
HSPC,Reactome,Complex III Assembly,0.7802729049548723,1.28788404505818,0.01104417670682731,0.042898091840660076,0.979,14/22,9.54%,UQCRH;UQCRC2;UQCRFS1;HSPA9;CYC1;UQCC2;LYRM4;UQCRC1;TTC19;UQCRQ;FXN;UQCR10;UQCC3;LYRM7
HSPC,Reactome,mRNA 3'-End Processing,0.7444841264510921,1.2854042962537295,0.001,0.04488799657116867,0.981,45/57,19.62%,THOC7;SRSF9;SRSF3;SRSF6;PABPN1;SRSF2;MAGOH;RNPS1;NCBP2;CPSF6;RBM8A;SRSF1;THOC2;NUDT21;DDX39A;PAPOLA;SRSF11;SLU7;THOC6;EIF4A3;FYTTD1;MAGOHB;CSTF3;CHTOP;UPF3B;SRSF5;SRSF4;CPSF3;FIP1L1;SRRM1;WDR33;U2AF2;THOC3;PCF11;SYMPK;CSTF2T;CDC40;SRSF7;CPSF1;POLDIP3;CPSF7;CPSF4;ALYREF;THOC1;CASC3
