direction,n_patterns,reconstruction_error,n_iter
outgoing,2,5.640524181367335,31
outgoing,3,4.623528928518919,79
outgoing,4,4.143530887955914,76
outgoing,5,3.8370597767485655,188
outgoing,6,3.318929346185631,168
incoming,2,6.122050947198475,29
incoming,3,5.4330934371966695,43
incoming,4,4.883230505394921,55
incoming,5,4.254626670775245,40
incoming,6,3.686446887731216,26
