,Platelet,Plasmacytoid DC,Pre-B large,Erythroid late,Erythroid early,B naive,Monocyte classical,NK
NADK,-0.009503060870729834,0.09869397258867774,0.0554928816203848,-0.004868139165500619,0.058349594199640004,0.005615622754214427,0.10060566495937837,-0.12668440028740333
GNB1,-0.009408962391855447,0.07549012325436934,0.07525415158996274,-0.02402770770246731,0.03262807844309122,-0.03513834178262151,0.1538466585924778,-0.12006854929670722
PRKCZ,-0.002532721692877932,-0.006260881863849478,-0.007854450750160636,-0.013440803029294558,-0.016086213909035803,-0.0033197835383624065,-0.031351532013293444,0.03746818982474643
AL590822.2,-0.0013959818283922937,-0.0025562141576218923,-0.005727119957037279,-0.007176140332425189,-0.00651403330506232,0.00039883002094044385,-0.01740753974430735,0.01825877195055513
FAAP20,-0.011229770160842041,0.05231474045504165,0.02090666796321908,-0.022839867554899626,0.017487346301262474,0.008534138995036718,0.09819180478000741,-0.09224456576191406
SKI,-0.004247988592247281,-0.008184248761558387,-0.014887063629391078,-0.0077069840716087286,0.02570739997039684,-0.01957079754442823,0.0033991077657167432,0.010483162965120469
MORN1,-0.002585213397866265,0.015670417731658573,0.015375417593380588,0.010453900054455146,0.03954239486393091,0.0016175063908760742,-0.018047907463108265,-0.010503757623164876
RER1,-0.005661204073755477,0.041743364735123065,0.040020067231785576,0.025302672444488576,0.13956863326194222,-0.04348791471576313,0.01883390260826177,-0.051276006710717886
PEX10,-0.004221245304386717,0.005011244600476247,0.04528634466770228,0.060458662924251436,0.09931359068298633,0.005319432442479073,-0.024085929998387063,-0.04632680664479313
PLCH2,-0.0029335697037573705,-0.011493375968840208,-0.008861980150265718,-0.010591263103227016,-0.01152007045067317,-0.0017659576677641223,-0.027863690090848003,0.032647787329815436
PANK4,-0.001006641533568266,-0.0015552571593914345,0.009138653805013518,0.012382947252988663,0.04085449847635795,-0.010182851240006114,-0.014239813202726766,-0.000669441862340431
AL139246.5,0.02720443761286728,-0.006358858928695687,-0.01618823553636274,-0.018531139905192884,-0.01976011742917639,-0.018282098980330803,0.010342148730073908,0.020381904269947418
TNFRSF14-AS1,-0.004190151484693448,-0.009388031338083786,-0.010261781680383041,-0.01211508142001073,-0.015040893567108917,-0.004954466323933272,-0.012994961106689613,0.02585641452804084
TNFRSF14,-0.01222260369149122,-0.016441050541252205,-0.010618488958489065,-0.05114157122761148,-0.054473595365795296,0.04153023132144808,-0.052570832017794375,0.04438528076091251
AL139246.3,0.0026947344018556107,-0.005997216860699819,-0.007157594236965893,-0.006632580435405503,-0.009893939675123956,0.002780220033787944,-0.01892437094131758,0.019193075886376396
FAM213B,-0.0033599653974602977,-0.010025880387471969,0.010468534549185863,0.07977096891170904,0.2283657498821326,-0.03616072240166711,-0.03450928565243032,-0.04679754430828184
MMEL1,0.0012801063253137495,0.0008741996174543747,-0.0019361192384020134,-0.004513178940816152,-0.006655934759880179,-0.020244217227678406,0.01510824253544969,0.008184222206604115
TTC34,-0.0017305647203527661,0.009363386669341573,0.004738774297926091,-0.006163305579219641,-0.003938322817018156,0.015314678708815433,-0.01469236679680787,-0.0008185575094832814
MEGF6,-0.0013104094547986911,-0.002906297058254047,0.007419786657140982,-0.007927915593294428,-0.010022114640854667,0.01221822075377178,-0.014749768769545294,0.0059234421417200854
TPRG1L,-0.004165564410166251,0.01255231431753478,-0.008547448884545547,-0.0006939572686050128,0.04080739584997955,-0.0162395905066102,-0.0045591866966687,0.0014308262334513464
WRAP73,-0.0067744965889977235,0.010133532605831825,0.01690720657931234,0.005547682719464973,0.037167606551134165,-0.0011358101342170657,-0.033687693183448074,0.006171480661186913
SMIM1,0.004656523757011696,-0.042474399624874405,-0.015880602110790447,0.37475577172487284,0.6649445530097867,-0.08926379475398169,-0.07892997328100357,-0.18835440915067928
LRRC47,-0.009114591311226229,0.007496514383344541,0.04843501737468603,0.03377963030296664,0.1473397751116751,-0.037412901487162774,-0.021713884298031522,-0.026126616675377523
CEP104,-0.005223941025281667,0.005450359833223705,0.028229923609055466,0.00043617271868371695,0.06051798264814899,0.005981025281731383,-0.02052324067936647,-0.017516234702824693
DFFB,-0.0012315856219273012,-0.0007334804354244443,0.004846612358814575,0.011871830057079764,0.04202051394378824,-0.01395978793462054,-0.022469289627916413,0.008734627487857659
C1orf174,7.954391536972293e-06,-0.010404889550258268,0.03595476917584051,0.04580997654117495,0.14050113499229286,-0.04357053693570561,-0.03923564494111474,-0.003871580553301511
NPHP4,-0.0016336577360315987,0.02252223273166001,0.01614813260260691,0.0015563602591967235,0.015309852618949075,-0.007250921874900709,0.006713669877572036,-0.012571179481974415
KCNAB2,-0.010550684416050466,0.03580734615495976,0.013613219150953104,-0.03162245466047117,-0.03405485527093988,-0.06624880302711525,0.08764665910824965,-0.0018552790803522449
RPL22,-0.09568370936372442,0.016061482349136756,0.03709563708994257,0.021873462226744328,0.031873614897778756,0.06365060525774197,-0.1709229843986017,0.05632765495420449
RNF207,-0.00046778403159722967,-0.0032302791898340963,-0.006133135794306715,-0.0055824850833469854,-0.007378985864122448,-0.011500492001248051,-0.00357703967938346,0.01739627422252329
