donor,resource,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MantonBM1,consensus,CD8 T cytotoxic,NK,B2M,KLRD1,3.6423383,0.0,9.975159,2.0037874307043215,1.9125067022358744,0.03301131,0.97384185,0.022110410207889446,3.906792348999894e-07
MantonBM1,consensus,NK,NK,B2M,KLRD1,3.5727143,0.0,9.7206,1.9214434287360067,1.825359014607555,0.032168884,0.97351056,0.022110410207889446,6.945087954406065e-07
MantonBM1,consensus,CD8 T memory,NK,B2M,KLRD1,3.5609941,0.0,9.677749,1.9075791822652326,1.8510693408619598,0.032027073,0.9734535,0.022110410207889446,1.0851196463050427e-06
MantonBM1,consensus,CD4 T memory,NK,B2M,KLRD1,3.4593098,0.0,9.305971,1.787317617148858,1.6774353538835358,0.03079673,0.97294265,0.022110410207889446,1.5624998352789726e-06
MantonBM1,consensus,Pre-B large,Pre-B large,HMGB1,CXCR4,3.3843164,0.0,10.876474,1.484172715301411,1.9139219167252923,0.015088254,0.97492135,0.046119337558046355,2.7775205640048613e-06
MantonBM1,consensus,Plasmacytoid DC,NK,B2M,KLRD1,3.330633,0.0,8.835503,1.6351306549007607,1.4567803188658366,0.029239789,0.97225136,0.022110410207889446,6.248262506548008e-06
MantonBM1,consensus,Monocyte non-classical,NK,B2M,KLRD1,3.3213413,0.0,8.801531,1.624141791946835,1.5125014320009798,0.029127361,0.9721993,0.022110410207889446,7.332691362392308e-06
MantonBM1,consensus,CD8 T cytotoxic,CD8 T cytotoxic,B2M,KLRD1,3.5156572,0.0,8.592668,1.7860128598294551,1.6975791439245926,0.02843616,0.9718729,0.022110410207889446,9.761552719271095e-06
MantonBM1,consensus,CD4 T naive,NK,B2M,KLRD1,3.2439058,0.0,8.518412,1.532559071824833,1.3370227244714101,0.028190423,0.9717541,0.022110410207889446,1.2537012391102567e-05
MantonBM1,consensus,NK,CD8 T cytotoxic,B2M,KLRD1,3.4460332,0.0,8.373388,1.7036688578611403,1.6104314562962732,0.02771049,0.97151744,0.022110410207889446,1.5658968289821216e-05
MantonBM1,consensus,CD8 T memory,CD8 T cytotoxic,B2M,KLRD1,3.434313,0.0,8.336476,1.6898046113903662,1.636141782550678,0.027588334,0.9714562,0.022110410207889446,1.734985298870401e-05
MantonBM1,consensus,CD8 T cytotoxic,CD8 T cytotoxic,HLA-B,CD3D,3.163404,0.0,9.198181,1.105546466519518,1.3385020845814775,0.024293715,0.9727889,0.022110410207889446,2.4979155349648977e-05
MantonBM1,consensus,Pre-B small,NK,B2M,KLRD1,3.1401365,0.0,8.139011,1.4098301488323974,1.2022496374551581,0.026934851,0.971122,0.022110410207889446,2.7102861524508118e-05
MantonBM1,consensus,CD4 T memory,CD8 T cytotoxic,B2M,KLRD1,3.3326287,0.0,8.016225,1.5695430462739917,1.462507795572254,0.026528506,0.9709081,0.022110410207889446,2.931309958771448e-05
MantonBM1,consensus,Monocyte classical,NK,B2M,KLRD1,3.1287174,0.0,8.09726,1.3963230334059027,1.232206164720536,0.026796684,0.9710498,0.022110410207889446,3.3993104537819974e-05
MantonBM1,consensus,Dendritic cell,NK,B2M,KLRD1,3.1239498,0.0,8.079829,1.390684749112002,1.1713257929304572,0.026738998,0.9710195,0.022110410207889446,3.9019072839235586e-05
MantonBM1,consensus,Monocyte classical,NK,S100A9,ITGB2,3.3312554,0.0,7.709075,2.088955605225639,3.813923144910843,0.065264665,0.9703512,0.002385413435610342,4.439092571935157e-05
MantonBM1,consensus,CD8 T memory,CD8 T cytotoxic,HLA-B,CD3D,3.0985808,0.0,8.904665,1.041112388885171,1.307526714292619,0.023518493,0.9723563,0.022110410207889446,5.0108544612075356e-05
MantonBM1,consensus,Plasmacytoid DC,CD8 T cytotoxic,B2M,KLRD1,3.2039518,0.0,7.6109605,1.4173560840258943,1.2418527605545548,0.025187347,0.9701664,0.022110410207889446,5.0108544612075356e-05
MantonBM1,consensus,Monocyte non-classical,CD8 T cytotoxic,B2M,KLRD1,3.1946602,0.0,7.5816965,1.4063672210719687,1.297573873689698,0.0250905,0.9701106,0.022110410207889446,5.309698942761255e-05
MantonBM1,consensus,Monocyte classical,Dendritic cell,S100A9,ITGB2,3.3131762,0.0,7.5220647,2.067081531630742,3.5271333417669783,0.063681446,0.9699959,0.002689000669637597,5.6171841740805145e-05
MantonBM1,consensus,Monocyte classical,NK,S100A8,ITGB2,3.252508,0.0,7.4743204,2.0658034054139587,3.6870277009703716,0.07115738,0.9699031,0.0015560010739514415,5.9333089490306986e-05
MantonBM1,consensus,B naive,NK,B2M,KLRD1,3.0611167,0.0,7.850099,1.31637136596663,1.0745335105960376,0.02597874,0.97061086,0.022110410207889446,6.933508474320707e-05
MantonBM1,consensus,CD4 T naive,CD8 T cytotoxic,B2M,KLRD1,3.1172247,0.0,7.3378158,1.3147845009499666,1.1220951661601284,0.024283415,0.9696329,0.022110410207889446,7.284179362448491e-05
MantonBM1,consensus,Monocyte classical,Dendritic cell,S100A8,ITGB2,3.2344286,0.0,7.293005,2.043929331819062,3.400237897826507,0.06943121,0.9695426,0.0018246331083881953,8.01142047144306e-05
MantonBM1,consensus,NK,CD8 T cytotoxic,HLA-B,CD3D,3.030285,0.0,8.595421,0.9732271464934776,1.1666444810447518,0.022701737,0.97187734,0.022110410207889446,8.387988280040622e-05
