resource,source,target,ligand_complex,receptor_complex,donor_significant,significant_full
consensus,Granulocyte precursor,Dendritic cell,S100A9,ITGB2,8,True
consensus,Granulocyte precursor,CD8 T memory,LGALS1,CD69,8,True
consensus,CD8 T cytotoxic,CD8 T memory,HLA-B,CD8A,8,False
consensus,Granulocyte precursor,Monocyte non-classical,S100A8,CD68,8,True
consensus,Granulocyte precursor,Monocyte non-classical,S100A8,ITGB2,8,True
consensus,Granulocyte precursor,Monocyte non-classical,S100A9,CD68,8,True
consensus,Granulocyte precursor,Monocyte non-classical,S100A9,ITGB2,8,True
consensus,Granulocyte precursor,NK,S100A8,ITGB2,8,True
consensus,Granulocyte precursor,NK,S100A9,ITGB2,8,True
consensus,Granulocyte precursor,Plasmacytoid DC,S100A8,CD68,8,True
consensus,Granulocyte precursor,Plasmacytoid DC,S100A9,CD68,8,True
consensus,CD8 T cytotoxic,NK,HLA-B,KLRD1,8,True
consensus,Monocyte non-classical,CD8 T cytotoxic,LGALS1,PTPRC,7,False
consensus,Monocyte non-classical,Dendritic cell,B2M,CD1C,7,False
consensus,CD4 T memory,Dendritic cell,B2M,CD1C,7,True
consensus,Monocyte non-classical,NK,B2M,KLRC1,7,True
consensus,NK,CD8 T cytotoxic,HLA-C,CD8A,7,False
consensus,NK,CD8 T cytotoxic,HLA-A,CD8A,7,False
consensus,NK,CD8 T cytotoxic,HLA-B,CD3D,7,False
consensus,NK,CD8 T cytotoxic,HLA-B,CD8A,7,False
consensus,Plasmacytoid DC,HSPC,APP,CD74,7,True
consensus,NK,Monocyte non-classical,HLA-C,LILRB2,7,True
consensus,NK,Monocyte non-classical,HLA-B,LILRB2,7,True
consensus,NK,Dendritic cell,B2M,CD1C,7,True
consensus,NK,Monocyte non-classical,HLA-A,LILRB2,7,True
consensus,CD4 T memory,CD8 T memory,HLA-A,CD8A,7,False
consensus,NK,CD8 T memory,HLA-B,CD3D,7,False
consensus,Pre-B small,NK,B2M,KLRD1,7,True
consensus,Monocyte non-classical,CD8 T memory,LGALS1,PTPRC,7,False
consensus,CD4 T memory,NK,B2M,KLRC1,7,True
consensus,CD8 T cytotoxic,CD8 T cytotoxic,HLA-B,CD8A,7,False
consensus,Monocyte classical,CD8 T cytotoxic,LGALS1,ITGB1,7,False
consensus,Monocyte classical,CD8 T cytotoxic,S100A8,CD69,7,True
consensus,Monocyte classical,CD4 T memory,LGALS1,CD69,7,False
consensus,Monocyte classical,Dendritic cell,S100A9,CD36,7,True
consensus,Monocyte classical,Dendritic cell,S100A8,CD36,7,True
consensus,Monocyte classical,Erythroid early,LGALS1,ITGB1,7,False
consensus,Monocyte classical,Dendritic cell,TNFSF13B,HLA-DPB1,7,True
consensus,Monocyte classical,NK,S100A8,CD69,7,True
consensus,Monocyte classical,Plasmacytoid DC,S100A9,CD36,7,True
consensus,Monocyte classical,Pre-B small,LGALS1,CD69,7,False
consensus,Monocyte classical,NK,LGALS1,CD69,7,False
consensus,Monocyte classical,Plasmacytoid DC,S100A8,CD36,7,True
consensus,CD8 T cytotoxic,CD8 T cytotoxic,HLA-B,CD3D,7,False
consensus,CD8 T cytotoxic,CD8 T cytotoxic,HLA-A,CD8A,7,False
consensus,CD8 T cytotoxic,CD8 T cytotoxic,HLA-C,CD8A,7,False
consensus,CD8 T cytotoxic,Monocyte non-classical,HLA-C,LILRB2,7,True
consensus,CD8 T cytotoxic,CD8 T memory,HLA-B,CD3D,7,False
consensus,CD8 T cytotoxic,NK,B2M,KLRC1,7,True
consensus,Granulocyte precursor,CD8 T memory,LGALS1,PTPRC,7,False
consensus,Granulocyte precursor,CD8 T memory,S100A8,CD69,7,True
consensus,Granulocyte precursor,Monocyte classical,S100A8,CD36,7,True
consensus,Granulocyte precursor,Monocyte classical,S100A9,CD68,7,True
consensus,Granulocyte precursor,Monocyte classical,S100A8,CD68,7,True
consensus,Granulocyte precursor,Monocyte classical,S100A8,ITGB2,7,False
consensus,CD8 T cytotoxic,Monocyte non-classical,HLA-A,LILRB2,7,True
consensus,Granulocyte precursor,Erythroid early,LGALS1,ITGB1,7,False
consensus,CD8 T cytotoxic,Dendritic cell,B2M,CD1C,7,True
consensus,CD8 T cytotoxic,CD8 T memory,HLA-C,CD8A,7,True
consensus,Dendritic cell,Dendritic cell,TNFSF13B,HLA-DPB1,7,True
consensus,Dendritic cell,Erythroid early,LGALS1,ITGB1,7,False
consensus,Dendritic cell,Plasmacytoid DC,HLA-DRA,CD4,7,True
consensus,Dendritic cell,NK,LGALS1,CD69,7,False
consensus,CD8 T cytotoxic,Monocyte non-classical,HLA-B,LILRB2,7,True
consensus,Dendritic cell,Pre-B small,LGALS1,CD69,7,False
consensus,Dendritic cell,CD4 T memory,LGALS1,CD69,7,False
consensus,Dendritic cell,CD4 T memory,LGALS1,PTPRC,7,False
consensus,CD8 T memory,Monocyte non-classical,HLA-A,LILRB2,7,True
consensus,CD8 T memory,Monocyte non-classical,HLA-B,LILRB2,7,True
consensus,CD8 T memory,NK,B2M,KLRC1,7,True
consensus,CD8 T memory,Dendritic cell,B2M,CD1C,7,True
consensus,CD8 T memory,CD8 T memory,HLA-B,CD3D,7,False
consensus,CD8 T memory,CD8 T cytotoxic,HLA-B,CD8A,7,False
consensus,CD8 T memory,CD8 T cytotoxic,HLA-B,CD3D,7,False
consensus,CD8 T memory,CD8 T cytotoxic,HLA-A,CD8A,7,False
consensus,Pre-B small,Monocyte non-classical,RPS19,C5AR1,6,False
consensus,Pre-B small,CD8 T cytotoxic,HLA-B,KLRD1,6,False
consensus,B naive,Monocyte non-classical,RPS19,C5AR1,6,False
consensus,Pre-B small,CD8 T memory,HLA-B,CD8A,6,False
consensus,Plasmacytoid DC,Dendritic cell,B2M,CD1C,6,False
consensus,CD8 T memory,Monocyte non-classical,HLA-C,LILRB2,6,True
consensus,Plasmacytoid DC,Pre-B large,APP,CD74,6,True
consensus,CD8 T memory,CD8 T memory,HLA-C,CD8A,6,False
consensus,CD8 T memory,CD8 T memory,HLA-B,CD8B,6,False
consensus,CD8 T memory,CD8 T memory,HLA-C,CD8B,6,False
consensus,Plasmacytoid DC,CD8 T memory,HLA-B,CD8A,6,False
consensus,CD8 T memory,Monocyte non-classical,RPS19,C5AR1,6,False
consensus,CD8 T memory,CD8 T cytotoxic,HLA-B,CD8B,6,False
consensus,CD8 T memory,CD8 T cytotoxic,HLA-C,CD8A,6,False
consensus,CD8 T memory,CD8 T cytotoxic,HLA-C,CD8B,6,False
consensus,CD8 T memory,CD8 T cytotoxic,HLA-A,CD8B,6,False
consensus,CD8 T memory,CD8 T memory,HLA-A,CD8B,6,False
consensus,Monocyte non-classical,CD8 T cytotoxic,B2M,KLRD1,6,False
consensus,Dendritic cell,Monocyte non-classical,HLA-DRA,CD4,6,True
consensus,Monocyte classical,NK,LGALS1,PTPRC,6,False
consensus,CD4 T memory,CD8 T memory,HLA-C,CD8B,6,False
consensus,NK,CD8 T memory,HLA-B,CD8B,6,False
consensus,NK,CD8 T cytotoxic,HLA-C,CD8B,6,False
consensus,NK,CD8 T cytotoxic,HLA-B,CD8B,6,False
consensus,NK,CD8 T cytotoxic,HLA-A,CD8B,6,False
