donor,resource,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MantonBM7,consensus,CD8 T cytotoxic,NK,B2M,KLRD1,3.6567597,0.0,9.922038,1.545061937265502,1.9482250606742857,0.037427403,0.9746835,0.02051387752873015,5.162501617767349e-07
MantonBM7,consensus,NK,NK,B2M,KLRD1,3.5881896,0.0,9.67527,1.4608683713887372,1.8712147933118468,0.036496557,0.9743709,0.021704409305827135,9.177292071163048e-07
MantonBM7,consensus,CD8 T memory,NK,B2M,KLRD1,3.545218,0.0,9.520625,1.408105272070213,1.782544921956471,0.035913214,0.97416896,0.021704409305827135,1.4338754405579391e-06
MantonBM7,consensus,Platelet,NK,B2M,KLRD1,3.4665897,0.0,9.23766,1.3115591622710814,1.6872045239289377,0.03484583,0.9737866,0.021704409305827135,2.810096957796776e-06
MantonBM7,consensus,CD4 T memory,NK,B2M,KLRD1,3.42462,0.0,9.086621,1.2600272742747438,1.5834407604835896,0.034276087,0.97357535,0.021704409305827135,4.644767198123544e-06
MantonBM7,consensus,Monocyte non-classical,NK,B2M,KLRD1,3.306378,0.0,8.661097,1.1148409821461418,1.4150498019892928,0.032670945,0.97295135,0.021704409305827135,6.937740924277276e-06
MantonBM7,consensus,Plasmacytoid DC,NK,B2M,KLRD1,3.2188833,0.0,8.346224,1.0074093120191099,1.2606753418607142,0.0314832,0.9724598,0.021704409305827135,1.6565010917254593e-05
MantonBM7,consensus,Plasmacytoid DC,Dendritic cell,APP,CD74,3.207906,0.0,8.326119,2.898439576422173,2.4830811504819312,0.05338544,0.9724275,0.004028341757550277,1.8570164374319586e-05
MantonBM7,consensus,CD4 T naive,NK,B2M,KLRD1,3.2039998,0.0,8.292662,0.989132807546171,1.1947353930707274,0.031281155,0.9723734,0.021704409305827135,2.0689728576421675e-05
MantonBM7,consensus,Plasmacytoid DC,B naive,APP,CD74,3.1625156,0.0,8.162144,2.8732095507792756,2.8259046446751066,0.052334055,0.97215956,0.004519619163409739,2.5272019435862253e-05
MantonBM7,consensus,Monocyte classical,Erythroid early,S100A9,CD36,3.3042028,0.0,7.894521,3.2755814541732597,4.443040203603242,0.15605304,0.97170484,4.620252726942095e-05,2.773470610876952e-05
MantonBM7,consensus,Monocyte classical,NK,B2M,KLRD1,3.1588585,0.0,8.130209,0.9337074737635199,1.2311560978101215,0.03066836,0.97210646,0.021704409305827135,3.0311730239330408e-05
MantonBM7,consensus,Plasmacytoid DC,Plasmacytoid DC,APP,CD74,3.1552796,0.0,8.1360035,2.869187386127375,2.391367562713123,0.052166447,0.9721161,0.004583648953515684,3.580871758605624e-05
MantonBM7,consensus,Monocyte classical,Dendritic cell,S100A9,ITGB2,3.2561073,0.0,7.409435,2.077515585837884,3.786280101696799,0.063270316,0.9708199,0.0018955683975252035,5.155081394014757e-05
MantonBM7,consensus,B naive,NK,B2M,KLRD1,3.0917656,0.0,7.8887577,0.8513264870988259,1.1034666536243958,0.029757569,0.9716948,0.021704409305827135,5.864711524535679e-05
MantonBM7,consensus,Monocyte classical,Erythroid early,S100A8,CD36,3.1473675,0.0,7.4034834,3.2771903468912065,4.371465906285869,0.18092848,0.9708085,4.543525111046154e-05,5.864711524535679e-05
MantonBM7,consensus,Pre-B small,NK,B2M,KLRD1,3.079893,0.0,7.8460317,0.8367479915022024,1.0821384207032814,0.029596398,0.97162,0.021704409305827135,7.014768403209314e-05
MantonBM7,consensus,Monocyte classical,Monocyte non-classical,S100A9,ITGB2,3.2383018,0.0,7.22985,2.0578763286411,3.9202215228274424,0.06173681,0.97047037,0.0020718907222350823,7.420942215188161e-05
