donor,resource,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MantonBM5,consensus,Monocyte classical,Erythroid early,S100A9,CD36,3.5447772,0.0,9.13642,1.839406011549125,3.457885677317986,0.12686384,0.9725439,6.718808564095737e-05,7.71128850555929e-08
MantonBM5,consensus,Monocyte classical,Erythroid early,S100A8,CD36,3.4611547,0.0,8.8532715,1.825630035058176,3.3568318305704823,0.14235464,0.97212046,7.430716228032284e-05,3.0843250411665967e-07
MantonBM5,consensus,Monocyte classical,NK,S100A9,ITGB2,3.4135253,0.0,7.71981,1.6534961193246214,3.469626464504932,0.074940905,0.9702027,0.0005965886688203952,6.939302666650474e-07
MantonBM5,consensus,Monocyte classical,NK,S100A8,ITGB2,3.329903,0.0,7.480564,1.6397201428336725,3.3685726177574287,0.08409162,0.96974427,0.000276089353960029,1.9273462843351095e-06
MantonBM5,consensus,Monocyte classical,Pre-B small,S100A8,CD69,3.323695,0.0,7.415638,1.516574197381332,3.2842054593234447,0.083312646,0.9696161,0.0003524451756805165,3.7771321291466085e-06
MantonBM5,consensus,CD8 T cytotoxic,NK,B2M,KLRD1,3.3067331,0.0,6.986792,2.1173635861259834,1.9789495596411881,0.03561978,0.9687263,0.0024546755897421704,4.9330925997181994e-06
MantonBM5,consensus,Monocyte classical,Dendritic cell,S100A9,ITGB2,3.3427458,0.0,6.9558787,1.55723382190091,3.033363358825718,0.067524955,0.96865904,0.0011652261121190145,6.2430599493958345e-06
MantonBM5,consensus,Monocyte classical,Dendritic cell,S100A8,ITGB2,3.2591233,0.0,6.7403083,1.5434578454099612,2.9323095120782146,0.07577014,0.9681776,0.0005445466512286649,9.324901069408033e-06
MantonBM5,consensus,NK,NK,B2M,KLRD1,3.2216008,0.0,6.7620673,2.0326568383599355,1.817239834467613,0.034474097,0.9682272,0.004846661547310526,9.324901069408033e-06
MantonBM5,consensus,Plasmacytoid DC,NK,B2M,KLRD1,3.1118464,0.0,6.472348,1.9234526689476463,1.6377829152442813,0.032997064,0.9675467,0.013256705108414951,3.3964806934142744e-05
MantonBM5,consensus,Monocyte classical,Monocyte non-classical,S100A9,ITGB2,3.286044,0.0,6.3438916,1.4801178305177922,3.1751951998966694,0.06158403,0.9672305,0.0018402537809645585,3.3964806934142744e-05
MantonBM5,consensus,CD8 T memory,NK,B2M,KLRD1,3.1020591,0.0,6.4465127,1.913713742447922,1.6804485320719937,0.032865345,0.9674839,0.010302237174902088,4.073733481844867e-05
MantonBM5,consensus,Monocyte classical,T activated,S100A8,CD69,3.2158399,0.0,6.2876253,1.3864407130786285,2.9943220940015367,0.07063974,0.96708906,0.0008746261934736324,4.073733481844867e-05
MantonBM5,consensus,CD4 T memory,NK,B2M,KLRD1,3.0776966,0.0,6.3822026,1.88947294026647,1.6185538687595034,0.032537483,0.9673258,0.014708646261015933,5.204788589540078e-05
MantonBM5,consensus,Monocyte non-classical,NK,B2M,KLRD1,3.04223,0.0,6.288581,1.8541849807334718,1.566913488967383,0.032060187,0.96709144,0.016617404352138425,6.035576145787444e-05
MantonBM5,consensus,Monocyte classical,Monocyte non-classical,S100A8,ITGB2,3.2024214,0.0,6.1472874,1.4663418540268431,3.074141353149166,0.06910379,0.9667279,0.000992461250164145,6.035576145787444e-05
MantonBM5,consensus,Monocyte classical,Monocyte non-classical,S100A9,CD68,3.2551057,0.0,6.0099735,1.7905244536711793,3.364066960915775,0.12546247,0.96636266,8.32251725545313e-05,8.381009286217757e-05
MantonBM5,consensus,CD8 T cytotoxic,NK,B2M,KLRC1,3.2053528,0.0,5.9134574,3.4405209327612,1.968297091246118,0.073542796,0.96609855,0.0006779949118367668,9.972243133320137e-05
MantonBM5,consensus,Monocyte classical,Monocyte non-classical,S100A8,CD68,3.1714833,0.0,5.8237176,1.7767484771802304,3.2630131141682717,0.14078216,0.96584725,9.425510990977923e-05,0.00011109673616565852
MantonBM5,consensus,NK,NK,B2M,KLRC1,3.1202207,0.0,5.7232556,3.3558141849951517,1.8065873660725429,0.07117735,0.96555907,0.0008253683887927698,0.00012930677125925344
MantonBM5,consensus,Plasmacytoid DC,Dendritic cell,APP,CD74,2.9428031,0.0,6.2828207,2.561439439505154,2.210192290483374,0.07768752,0.96707684,0.0004701689376683069,0.00014221214955111662
MantonBM5,consensus,Plasmacytoid DC,NK,B2M,KLRC1,3.010466,0.0,5.478044,3.246610015582863,1.6271304468492112,0.06812777,0.9648235,0.0011056018187384266,0.00019219923310826316
MantonBM5,consensus,CD8 T memory,NK,B2M,KLRC1,3.000679,0.0,5.456177,3.2368710890831385,1.6697960636769236,0.06785582,0.96475554,0.0011277191661532419,0.0002078569649572639
MantonBM5,consensus,CD4 T memory,NK,B2M,KLRC1,2.9763165,0.0,5.4017467,3.2126302869016867,1.6079014003644332,0.0671789,0.9645847,0.001195816690718369,0.00022412565786978226
MantonBM5,consensus,T activated,NK,B2M,KLRD1,2.8955753,0.0,5.901456,1.7082650858468957,1.3464007633679294,0.030086562,0.9660653,0.016617404352138425,0.00024967388792858185
MantonBM5,consensus,Plasmacytoid DC,B naive,APP,CD74,2.8863115,0.0,6.1245356,2.529276146498414,2.692361183417141,0.07573031,0.96666825,0.0005491485636523844,0.00025849521852121834
MantonBM5,consensus,Monocyte classical,Erythroid late,S100A9,CD36,3.1923409,0.0,5.332546,1.3631320398382492,3.2424814957241668,0.074045114,0.9643638,0.000849761755785399,0.0002674691284766744
MantonBM5,consensus,Plasmacytoid DC,Plasmacytoid DC,APP,CD74,2.8736007,0.0,6.0889206,2.52203944753072,2.0695035237674317,0.075289935,0.96657413,0.0005820834390094638,0.0002858745251973324
MantonBM5,consensus,Monocyte non-classical,NK,B2M,KLRC1,2.9408498,0.0,5.322508,3.177342327368688,1.5562610205723129,0.06619345,0.96433145,0.00127459767424781,0.0002858745251973324
MantonBM5,consensus,CD8 T cytotoxic,CD8 T cytotoxic,B2M,KLRD1,3.148706,0.0,5.3137245,1.7361274388073915,1.790838775244478,0.027090216,0.964303,0.00917091305688475,0.00030488994224651294
MantonBM5,consensus,CD4 T naive,NK,B2M,KLRD1,2.8450859,0.0,5.7681785,1.6580283547137527,1.2949154064773412,0.029407091,0.9656888,0.016617404352138425,0.00034474978701353034
MantonBM5,consensus,Monocyte classical,Erythroid late,S100A8,CD36,3.1087184,0.0,5.1672845,1.3493560633473,3.1414276489766633,0.083086446,0.9638189,0.0008935862582400159,0.00039800157676143477
MantonBM5,consensus,Monocyte classical,Plasmacytoid DC,S100A9,CD68,3.1766436,0.0,5.163125,1.6473598910470937,3.1927815899472685,0.10778392,0.96380484,0.00019485114356282413,0.0004091085980724074
MantonBM5,consensus,Monocyte classical,NK,B2M,KLRD1,2.8223827,0.0,5.708249,1.635439135384118,1.3274893238149064,0.029101564,0.9655154,0.016617404352138425,0.0004203677704331996
MantonBM5,consensus,NK,CD8 T cytotoxic,B2M,KLRD1,3.0635738,0.0,5.1428127,1.6514206910413434,1.629129050070903,0.02621888,0.96373606,0.013973569521940007,0.00043177906528959207
MantonBM5,consensus,Monocyte classical,CD8 T cytotoxic,S100A9,ITGB2,3.1648893,0.0,5.0362606,1.3153443334510782,3.1084970332772954,0.048890054,0.9633684,0.006250263928188344,0.0004911163159966122
MantonBM5,consensus,Monocyte classical,Plasmacytoid DC,S100A8,CD68,3.0930212,0.0,5.0031137,1.6335839145561448,3.091727743199765,0.120944954,0.9632517,0.00020913113225002876,0.0005159150974669573
MantonBM5,consensus,T activated,NK,B2M,KLRC1,2.7941952,0.0,4.994854,3.0314224324821124,1.3357482949728592,0.06211857,0.96322244,0.0017694562440433539,0.0005285422796684128
MantonBM5,consensus,Dendritic cell,NK,B2M,KLRD1,2.777241,0.0,5.589088,1.5905243212893252,1.157067018498863,0.028494062,0.96516246,0.016617404352138425,0.0005285422796684128
