donor,resource,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MantonBM2,consensus,NK,NK,B2M,KLRD1,3.9255285,0.0,12.704072,1.4390505747789284,1.9962597493388035,0.039696537,0.9762205,0.009808226886217549,4.610039740732792e-08
MantonBM2,consensus,CD8 T cytotoxic,NK,B2M,KLRD1,3.9228387,0.0,12.691803,1.4352610981779779,1.9657202196110604,0.0396582,0.9762093,0.009808226886217549,1.8439279058377337e-07
MantonBM2,consensus,CD8 T memory,NK,B2M,KLRD1,3.8398614,0.0,12.313323,1.318245658393748,1.8160491187177839,0.03847556,0.9758552,0.009808226886217549,4.148639247318057e-07
MantonBM2,consensus,Platelet,NK,B2M,KLRD1,3.8002355,0.0,12.132579,1.2623662076167759,1.7926887436664403,0.037910786,0.97568035,0.009808226886217549,7.375007699707869e-07
MantonBM2,consensus,CD4 T memory,NK,B2M,KLRD1,3.674283,0.0,11.558078,1.0847519584895646,1.5702538245273827,0.036115635,0.97509813,0.009808226886217549,1.1522898653427842e-06
MantonBM2,consensus,Monocyte non-classical,NK,B2M,KLRD1,3.6403995,0.0,11.403526,1.0369686877289628,1.509410533431845,0.03563271,0.97493416,0.009808226886217549,1.6592181247459915e-06
MantonBM2,consensus,Plasmacytoid DC,NK,B2M,KLRD1,3.5490892,0.0,10.987038,0.9082041436569497,1.3783944971596236,0.0343313,0.9744755,0.009808226886217549,2.2582726119480466e-06
MantonBM2,consensus,Monocyte classical,NK,B2M,KLRD1,3.5450013,0.0,10.968391,0.9024403886197412,1.3961641260453523,0.034273036,0.9744544,0.009808226886217549,2.949439940968693e-06
MantonBM2,consensus,CD4 T naive,NK,B2M,KLRD1,3.4966803,0.0,10.747987,0.8342961234268947,1.279751956178494,0.033584338,0.9742005,0.009808226886217549,5.575486168955583e-06
MantonBM2,consensus,Monocyte classical,Monocyte non-classical,S100A9,CD68,3.4766946,0.0,9.8666115,3.2453989648319705,4.664309620187627,0.121515766,0.97310317,0.00015428754396274325,9.03007237543552e-06
