donor,resource,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
MantonBM6,consensus,CD8 T cytotoxic,NK,B2M,KLRD1,3.876953,0.0,12.509295,1.8662832475735227,2.0885826154132343,0.034757,0.9758809,0.012151848526219823,3.6284251995986536e-08
MantonBM6,consensus,NK,NK,B2M,KLRD1,3.8657498,0.0,12.458007,1.8524939740255275,2.0757167966311876,0.034614496,0.9758325,0.012151848526219823,1.4513086396825933e-07
MantonBM6,consensus,CD8 T memory,NK,B2M,KLRD1,3.8007123,0.0,12.16026,1.7724335830051454,1.9949592223600816,0.03378721,0.97554564,0.012151848526219823,3.2653059495031605e-07
MantonBM6,consensus,CD4 T memory,NK,B2M,KLRD1,3.6868806,0.0,11.639129,1.6323081713954255,1.7871148508708838,0.03233925,0.9750177,0.012151848526219823,5.804743037475427e-07
MantonBM6,consensus,CD8 T cytotoxic,CD8 T cytotoxic,B2M,KLRD1,3.6248786,0.0,9.754191,1.5389472952791272,1.6794191746430047,0.027101964,0.97277325,0.012151848526219823,8.159117912884156e-06
MantonBM6,consensus,Monocyte non-classical,NK,B2M,KLRD1,3.5942886,0.0,11.215236,1.5183287557777916,1.6669789827431871,0.031161463,0.97456187,0.012151848526219823,8.159117912884156e-06
MantonBM6,consensus,NK,CD8 T cytotoxic,B2M,KLRD1,3.6136756,0.0,9.714199,1.525158021731132,1.666553355860958,0.026990844,0.9727188,0.012151848526219823,9.28287025591321e-06
MantonBM6,consensus,CD8 T memory,CD8 T cytotoxic,B2M,KLRD1,3.548638,0.0,9.48203,1.44509763071075,1.585795781589852,0.026345761,0.97239596,0.012151848526219823,1.1747635841946262e-05
MantonBM6,consensus,Monocyte classical,NK,S100A9,ITGB2,3.6785483,0.0,9.091954,1.6954202800414788,3.8826812964189785,0.0641158,0.97182655,0.0024220480315225858,1.450202650416186e-05
MantonBM6,consensus,CD4 T naive,NK,B2M,KLRD1,3.494793,0.0,10.759737,1.395851649256235,1.4818409469916753,0.029895863,0.97404283,0.012151848526219823,1.450202650416186e-05
MantonBM6,consensus,Plasmacytoid DC,NK,B2M,KLRD1,3.4356983,0.0,10.489197,1.3231062451165485,1.4506264038024859,0.02914417,0.97371894,0.012151848526219823,1.5987806006029756e-05
MantonBM6,consensus,Monocyte classical,NK,S100A8,ITGB2,3.6721547,0.0,9.071859,1.685364206707992,3.7833284894930475,0.07121459,0.9717962,0.001987546122333459,1.7545966387586123e-05
MantonBM6,consensus,CD4 T memory,CD8 T cytotoxic,B2M,KLRD1,3.4348063,0.0,9.075675,1.30497221910103,1.3779514101006543,0.02521671,0.971802,0.012151848526219823,1.7545966387586123e-05
MantonBM6,consensus,Pre-B large,Pre-B small,HMGB1,CXCR4,3.4204555,0.0,10.920999,1.6642308580510459,2.28366703549466,0.013893901,0.97423023,0.04820192230898303,1.9176492719276404e-05
MantonBM6,consensus,Monocyte classical,Monocyte non-classical,S100A9,ITGB2,3.6657782,0.0,8.944187,1.6814043447348779,3.5824801611787507,0.06307376,0.97160137,0.002611934732704134,1.9176492719276404e-05
MantonBM6,consensus,Monocyte classical,Monocyte non-classical,S100A8,ITGB2,3.6593845,0.0,8.924418,1.671348271401391,3.4831273542528196,0.070057176,0.9715708,0.002085182289810029,2.0879378575512306e-05
MantonBM6,consensus,Monocyte classical,Erythroid early,S100A9,CD36,3.650576,0.0,8.76828,2.283788885301865,3.9551609862402053,0.14881471,0.97132605,0.00022592433856888003,2.4502195451296773e-05
MantonBM6,consensus,Monocyte classical,Erythroid early,S100A8,CD36,3.6441824,0.0,8.7489,2.2737328119683786,3.855808179314274,0.1652912,0.9712952,0.00024028596643146133,2.64221047177301e-05
