,group,n_cells,median_pseudotime,median_lineage_fate,median_n_genes_by_counts,median_n_genes,median_total_counts,median_pct_counts_mt,median_doublet_score,median_predicted_doublet
0,Pre-B small in tail bins,172,0.8588447122992503,0.9484527688866765,574.0,574.0,1274.5,3.0199246406555176,0.04040404040404041,0.0
1,B naive in tail bins,130,0.8519961408910225,0.9746715599854924,630.0,630.0,1876.0,3.879143238067627,0.03424110610488379,0.0
2,all Pre-B small,1025,0.8317630801033095,0.9423037488703434,660.0,660.0,1476.0,2.5742573738098145,0.031721268850754034,0.0
3,all committed B naive,6038,0.8458835719662781,0.9676380925305024,612.0,611.0,1879.0,3.609389305114746,0.02794883941260067,0.0
