,gene,cell_type,n_cells,n_expressing,mean_all,mean_expressing,max_count,pct_expressing
87,PTCRA,Monocyte non-classical,901,3,0.0033296337,1.0,1.0,0.003329633740288568
76,PTCRA,B naive,5018,3,0.00079713034,1.3333333730697632,2.0,0.0005978477481068154
86,PTCRA,Monocyte classical,5030,3,0.0015904573,2.6666667461395264,6.0,0.0005964214711729623
88,PTCRA,NK,2153,1,0.00046446818,1.0,1.0,0.00046446818392940084
78,PTCRA,CD4 T naive,10765,4,0.00037157454,1.0,1.0,0.00037157454714352065
80,PTCRA,CD8 T memory,2977,1,0.00033590864,1.0,1.0,0.0003359086328518643
77,PTCRA,CD4 T memory,2713,0,0.0,0.0,0.0,0.0
79,PTCRA,CD8 T cytotoxic,2307,0,0.0,0.0,0.0,0.0
81,PTCRA,Dendritic cell,497,0,0.0,0.0,0.0,0.0
82,PTCRA,Erythroid early,1151,0,0.0,0.0,0.0,0.0
83,PTCRA,Erythroid late,597,0,0.0,0.0,0.0,0.0
84,PTCRA,Granulocyte precursor,926,0,0.0,0.0,0.0,0.0
93,PTCRA,T activated,583,0,0.0,0.0,0.0,0.0
94,PTCRA,T proliferating,47,0,0.0,0.0,0.0,0.0
